Vizepräsident der Kommission.	Vice-President of the Commission.
Herr Abgeordneter! Sie wissen, dass die Kommission in ihrem Beschluss zu den CO2-Emissionen von Fahrzeugen nur Eckwerte festgelegt hat.	Honourable Member, as you know, the Commission only set benchmarks in its decision on vehicle CO2 emissions.
Einer der Eckwerte ist die Erhöhung des Anteils von Biotreibstoffen.	One of those benchmarks is the increase in the proportion of biofuels.
Ein konkretes Programm, wie diese Erhöhung des Anteils von Biotreibstoffen realisiert werden soll, gibt es noch nicht, zumal der Europäische Rat den entsprechenden Vorschlag der Kommission erst am Freitag vergangener Woche angenommen hat.	There is as yet no specific programme for how this increase in biofuel content is to be achieved, especially as the European Council only accepted the Commission proposal on Friday of last week.
Die Kommission wird jetzt sehr schnell die entsprechenden Vorschläge machen.	The Commission will now be making the relevant proposals very quickly.
Ich kann Ihnen allerdings sagen, dass die allgemeine Auffassung dahin geht, dass wir in Europa in der Lage sein werden, das Problem dadurch zu lösen, dass wir die Biotreibstoffe den in Raffinerien erzeugten konventionellen Kraftstoffen beimischen.	I can however tell you that the general opinion is that we in Europe will be able to solve the problem by mixing biofuels with the conventional fuels produced in refineries.
Wir sind der Überzeugung, dass wir uns dabei auf Biotreibstoffe der zweiten Generation konzentrieren sollten, um schädliche ökologische Nebenwirkungen zu vermeiden.	We are convinced that we should concentrate on second-generation biofuels in order to avoid harmful ecological side effects.
Biokraftstoff wird im Rahmen der Gemeinsamen Agrarpolitik durch die einheitliche Flächenzahlung gefördert.	The common agricultural policy supports biofuels through the single area payment.
Wie Sie wissen, können Landwirte auf stillgelegten Flächen zwar keine Nahrungspflanzen anbauen, dafür aber Non-Food-Pflanzen, einschließlich Pflanzen für die Erzeugung von Biokraftstoffen.	As you know, farmers are not allowed to grow food plants on land that has been set aside, but they can grow non-food plants, including plants for the production of biofuels.
Der Anbau entsprechender Kulturen, einschließlich Zuckerrüben, kann durch die Gewährung von Energiepflanzenprämien in Höhe von 45 Euro pro Hektar gefördert werden.	The growing of such crops, including sugar beet, can be supported by the granting of energy plant premiums of EUR 45 per hectare.
Diese Regelung wurde nun auf alle Mitgliedstaaten ausgeweitet.	This rule has now been extended to all Member States.
Die neue EU-Politik für ländliche und regionale Entwicklung sieht auch Stützungsmaßnahmen für erneuerbare Energien vor.	The new EU policy for rural and regional development also provides support measures for renewable energies.
Dasselbe gilt für das Forschungsrahmenprogramm, das sich vor allem auf Biokraftstoffe der zweiten Generation konzentriert.	The same applies for the research framework programme, which concentrates primarily on second-generation biofuels.
