Herr Präsident! Vielen Dank an den Ratspräsidenten für seinen Bericht.	Mr President, I should like to thank the President-in-Office for his report.
Es war in der Tat ein erfolgreicher Gipfel, und wie immer hat der Erfolg viele Väter, der Misserfolg ist ein Findelkind.	It is true that it was a successful summit, and as always success has many fathers, while failure is a foundling.
In diesem Fall war es in erster Linie ein Erfolg von Bundeskanzlerin Merkel, die ja immerhin vor vielen Jahren vier Jahre lang Umweltministerin war und den europäischen Umweltministerrat kennt.	In this case the success was primarily due to Germany's Chancellor, Mrs Merkel, who was after all Environment Minister for four years many years ago and is familiar with the European Environment Council.
Schwerpunkt Energie- und Klimapolitik: Leider hat die öffentliche Debatte nach diesem erfolgreichen Gipfel nur die interne Auseinandersetzung um die erneuerbaren Energien dargestellt.	The focus was on energy and climate policy. Unfortunately, the public debate following this successful summit has only described the internal discussions about renewable energies.
Es ist ja in der Tat - das Gipfeldokument dokumentiert das - viel mehr beschlossen worden zum Thema Energieversorgungssicherheit und zur Klimaverträglichkeit.	In fact, as the Council Conclusions attest, much more was decided on the issues of security of energy supply and climate impact.
Wichtig ist auch die Sozialverträglichkeit der vorgelegten Vorschläge, und wenn wir Ziele vorgeben, z. B. 20% oder 30%, dann müssen diese Ziele realistisch sein.	The impact on society of the proposals made is also important and if we set targets, for example 20% or 30%, then these targets have to be realistic.
Kollege Schulz hat Herrn Blair gelobt für 60%.	Mr Schulz praised Mr Blair for his 60% target.
Herr Blair wird das nicht mehr umsetzen müssen, wie wir alle wissen, und ich bin sicher, dass sein konservativer Herausforderer spätestens morgen 70% fordern wird.	Mr Blair will not have to implement that, as we all know, and I am sure that his Conservative challengers will be demanding 70% by tomorrow at the latest.
Diese Ziele müssen also realistisch sein, sonst haben sie keinen echten Wert.	These targets must therefore be realistic; otherwise they are of no real value.
Zweitens bleiben bei allem Erfolg noch Fragen offen, etwa die Frage nach dem burden sharing.	Secondly, despite all of this success there are still some outstanding issues, such as the question of burden-sharing.
Ich hoffe, dass Kommission und deutsche Ratspräsidentschaft vor Jahresmitte etwas dazu sagen.	I hope that the Commission and the German Presidency will comment on this before the middle of the year.
Wie ist die Rolle der Kernenergie?	What is the role of nuclear energy?
Man kann nicht so verfahren, wie in der innerdeutschen Diskussion gesagt wurde.	We cannot proceed as was stated in the internal German discussion.
Es ist ein Faktum, dass für eine Kilowattstunde aus der Kernenergie 15 Gramm CO2 anfallen, für eine Kilowattstunde aus Braunkohle 970 Gramm.	It is a fact that generating one kilowatt-hour from nuclear energy produces 15 grams of CO2 whereas generating one kilowatt-hour from brown coal produces 970 grams.
Das heißt, wir müssen die Diskussion darüber offen führen.	We must therefore be open-minded when debating this.
Ich glaube schon, dass der Erfolg der deutschen Ratspräsidentschaft sich am Ende daran messen lassen wird, ob es gelingt, diese europäischen Benchmark, die beschlossen wurde, in den internationalen Verhandlungen mit den USA, Russland, Indien und China zu einem internationalen Standard zu machen.	I certainly believe that at the end of the day the success of the German Presidency will be judged on whether it is possible, in international negotiations with the United States, Russia, India and China, to convert this European benchmark into an international standard.
Dann wird die deutsche Ratspräsidentschaft ein dauerhafter Erfolg sein.	If so, the German Presidency will leave a lasting legacy.
