amtierender Ratspräsident. Herr Präsident!	President-in-Office of the Council.
Ich bedanke mich ganz herzlich für Ihre überwiegend positive Beurteilung des Frühjahrsgipfels der Staats- und Regierungschefs.	Mr President, thank you very much for your predominantly positive assessment of the Spring Summit of the Heads of State or Government.
Herr Lambsdorff, Ihnen will ich sagen, für mich und für die deutsche Regierung ist weder der Gipfel noch die positive Kommentierung Anlass zu Selbstzufriedenheit.	Mr Lambsdorff, I wish to say to you that for me and for the German Government neither the Summit nor the positive comments are cause for complacency.
Ich will mir aber nicht ausreden lassen, dass dennoch für den weiteren Verlauf, für die zweite Hälfte unserer Präsidentschaft, etwas Zuversicht notwendig - jedenfalls nicht schädlich - ist.	However, I remain convinced that, nonetheless, a degree of confidence is necessary for the remainder, the second half, of our Presidency, or at least it will do no harm.
Oder umgekehrt gesagt: Wer in dieser Lage einer doch gewissen europäischen Agonie, oder sagen wir besser einer Stagnation - nachdem der Erneuerungsprozess zum Stillstand gekommen ist - ohne Ehrgeiz, ohne Willen, ohne Glauben an die Reform und Veränderungsfähigkeit Europas an die Arbeit geht, der sollte aus meiner Sicht eine solche Arbeit gar nicht erst beginnen.	Or to put it another way: at a time when Europe is after all not in the best of health, or let us say is stagnating - now that the renewal process has come to a standstill - anyone who does this job without ambition, without desire, without faith in the ability of Europe to reform and change should not in my view even bother starting such a job at all.
Ich kann Ihnen versichern: Ich bin schon vor Beginn und erst recht nach Beginn unserer Ratspräsidentschaft vielfach, insbesondere auch von Journalisten, immer wieder gefragt worden: Wie wollt Ihr dieses Programm eigentlich schaffen?	I can assure you that even before our Council Presidency had begun and certainly once it had started I was repeatedly asked many times, particularly by journalists: how do you actually intend to achieve this programme?
Und mit Blick auf den ersten Gipfel: Wie soll das eigentlich gelingen, bei so weit auseinander liegenden Positionen der europäischen Mitgliedstaaten ein gemeinsames Ergebnis zu bringen?	With a view to the first Summit they also asked: how can you actually succeed in brokering an agreement when the positions of the Member States are so far apart?
Ich glaube, das Geheimnis ist gar nicht so furchtbar groß.	I do not believe that it is such a great secret.
Sie kennen das alle aus Ihrer Arbeit.	You are all familiar with this from your work.
Man braucht viel Geduld - auch gerade mit jenen Partnern, die Zweifel haben, die zögern mit Blick auf bestimmte Ergebnisse.	You need a great deal of patience, particularly with those partners who have doubts, who are hesitant about certain outcomes.
Man braucht den notwendigen Ehrgeiz, und man braucht vor allen Dingen Fairness, um auch mit denen umzugehen, die sich den gemeinsam verabredeten Zielen nur mit größeren Schwierigkeiten nähern können als andere.	You need the necessary ambition and above all you need to be fair, particularly towards those who will find it much more difficult than others to reach the targets agreed.
