Verfasser. - Herr Präsident! Die Menschenrechtssituation in Guatemala ist erschreckend.	author. - Mr President, the human rights situation in Guatemala is frightening.
Der Kollege Czarnecki hat auf den konkreten Vorfall hingewiesen, aufgrund dessen wir das Thema heute behandeln.	Mr Czarnecki has referred to the specific case on the basis of which we are dealing with the subject today.
Bezeichnend allerdings für die Lage in Guatemala ist der starke Einfluss gesellschaftlicher Gruppen außerhalb der politischen Parteien, insbesondere auch des Militärs und der Unternehmer.	The situation in Guatemala is of course marked by the strong influence of social groups outside the political parties, especially the military and business.
In Teilen des Landes ist das Vertrauen - vor allem der indianischen Bevölkerung - in das staatliche Rechtssystem erheblich gestört.	In some parts of the country, the Indian population in particular has little confidence in the state legal system.
Nach Aussage von Menschenrechtsexperten in Guatemala werden jährlich mehrere tausend Morde verübt, es werden aber nur ungefähr 2% der Fälle tatsächlich aufgeklärt oder entsprechende Verhaftungen vorgenommen.	Human rights experts in Guatemala say that several thousand people are murdered every year, but only around 2% of cases are actually solved or lead to arrests.
Gestern wurde ein deutscher Staatsbürger in Guatemala erschossen.	Yesterday, a German citizen was shot dead in Guatemala.
Gewerkschafter, wie z. B. Pedro Zamora in Puerto Quetzal, oder Bauernführer und ihre Familien sind zu Beginn dieses Jahres getötet worden.	Trade unionists, like Pedro Zamora in Puerto Quetzal, or farmers' leaders and their families were killed at the start of this year.
Zeugen von Morden oder ihre gesetzlichen Vertreter werden bedroht, es finden Einbrüche statt und es kommt zu Übergriffen auf diese Personen.	Witnesses of murders or their legal representatives are threatened and attacked and their homes broken into.
Für die Verbesserung der Sicherheitssituation braucht es eine politische Lösung und keine weitere Aufrüstung der Sicherheitskräfte.	If the security situation is to improve, there needs to be a political solution, not further arming of the security forces.
Deshalb ist es ganz wesentlich festzustellen, dass genau diese so genannten Sicherheitskräfte Teil dieses Problems in Guatemala sind.	That is why it is essential to note that these very 'security forces' are part of the problem in Guatemala.
Jetzt hat die EU angekündigt, dass sie genau diese Sicherheitskräfte unterstützen und leider auch weiterhin auf eine Verschärfung des Freihandels setzen will.	Now the European Union has announced that it intends to support these selfsame security forces and unfortunately also to continue backing an intensification of free trade.
Die Reaktion von tausenden Menschen aus Guatemala ist relativ klar; man hat das jetzt gesehen, als der US-amerikanische Präsident George W. Bush Guatemala besucht hat.	The response from thousands of people from Guatemala is relatively clear; we saw that when US President George W. Bush visited Guatemala.
Es gab große Demonstrationen gegen seinen Besuch.	There were large demonstrations against his visit.
Es gibt ein Freihandelsabkommen zwischen den USA und den mittelamerikanischen Ländern, das so genannte CAFTA, und dies sei vorteilhaft für alle Beteiligten, sagte Bush gestern im Gespräch mit dem Präsidenten von Guatemala, Oscar Berger.	There is a free trade agreement between the USA and the countries of Central America, the CAFTA, and Bush told Guatemalan President Oscar Berger yesterday that it was advantageous for all sides.
Ferner versprach Busch Guatemala weitere Unterstützung bei der Bekämpfung der organisierten Kriminalität und vor allem der Drogenbanden.	Bush also promised Guatemala further support in fighting organised crime, especially drug gangs.
Aber wie schon in Brasilien, Uruguay und Kolumbien, den ersten Stationen der Reise Bushs, wurde der Besuch des Präsidenten immer wieder von Protesten begleitet.	As in Brazil, Uruguay and Columbia, however, the first stops on Bush's journey, the president's visit was repeatedly accompanied by protests.
Das ist gut so.	It is good that it was.
Wenn also die Europäische Union dem Beispiel US-Politik folgt, so könnte das sehr problematisch werden.	If the European Union follows the US policy example, that could therefore become highly problematical.
Statt Freihandel und Aufrüstung der Sicherheitskräfte bedarf es wirklicher Armutsbekämpfung und einer Verbesserung der rechtlichen Situation der Mehrheit der Bevölkerung.	What is needed is not free trade and arms for the security forces but real steps to prevent poverty and an improvement in the legal situation of the majority of the population.
