Herr Präsident, lieber Herr Vizepräsident! Meine Fraktion steht voll hinter dem Berichterstatter.	Mr President, Mr Vice-President, my group stands four-square behind the rapporteur.
Lassen Sie uns ganz offen sein!	Let us make no bones about this.
Wir als Parlament haben schon 2002 die Mitgliedstaaten ermahnt, dass sie sich an den Kosten der Maßnahmen für die öffentliche Sicherheit und Ordnung beteiligen müssen.	Our Parliament reminded the Member States back in 2002 that they had to meet their share of the cost of measures for the protection of public safety and order.
Wir haben Sie gebeten, ein Konzept vorzustellen, wie man die Frage der Finanzierung zwischen den Flughäfen wettbewerbsneutral regeln soll.	We asked you to formulate a strategy for resolving the issue of funding the security measures without distorting competition between airports.
Sie haben dann einen Bericht vorgelegt, aber in dem Bericht haben Sie weder gesagt: "Hier ist ein Vorschlag, wie wir das wettbewerbsneutral regeln können", noch haben Sie gesagt, es sei nicht sinnvoll, einen Vorschlag zu machen.	You then presented a report, but in that report you neither said, 'Here is a way we could resolve the issue without distorting competition', nor did you say there was no point in making a proposal.
Also warten wir immer noch auf einen Vorschlag.	So we still await a proposal.
Wir haben letztes Jahr dem Ministerrat gesagt, dass wir erwarten, dass er sich klar zu seiner Finanzverantwortung bekennt.	We told the Council last year that we expected it to acknowledge clearly its financial responsibility.
Er hat wieder erklärt, dazu sei er nicht bereit.	It stated once more that it was not prepared to do so.
Wir sind nicht mehr bereit, diese Spielereien seit 2002 - fünf Jahre lang - mitzumachen.	We are no longer prepared to play these games, which have been going on since 2002, in other words for five long years.
Es gibt auch keinen wirklichen Druck, diese Revision durchzuführen, denn die Grundverordnungen, die wir jetzt haben - das beste Beispiel ist die Unterverordnung für Flüssigkeiten im Handgepäck -, haben Sie auf dieser Grundlage machen können.	There is no real pressure to carry out this revision, because you were able to enact the basic regulations we now have - the measure regarding liquids in hand baggage being the prime example - on the strength of these rules.
Ich bin nicht ganz sicher, ob diese Verordnung lange Bestand haben wird.	I am not entirely sure whether this measure will remain in place for long.
Es gibt keinen Grund zu sagen: "Wir müssen sie jetzt zurückziehen, weil wir irgendwelche Sicherheitsmaßnahmen behindern".	There is no reason to say that it has to be scrapped now because it is blocking some other security measures.
Wenn Sie neue Sicherheitsmaßnahmen vorschlagen wollen, kommen Sie ins Parlament.	If you want to propose new security measures, bring them before Parliament.
Wir sind dazu bereit.	We are open to new proposals.
Wir meinen, dass wir vor allen Dingen neben der Frage der Flüssigkeiten im Handgepäck - der Ausschuss für Verkehr und Fremdenverkehr wird hierzu eine Anhörung veranstalten - die Risikoanalyse aufgreifen müssen, und das hoffentlich gemeinsam mit Ihnen.	What we mean is that, besides the issue of liquids in hand baggage, on which the Committee on Transport and Tourism is to hold a hearing, we must tackle risk analysis as a matter of priority, and I hope we can do that together with you.
Ich habe große Zweifel, ob die jetzige Verordnung wirklich einen Zugewinn an Sicherheit darstellt oder ob sie nicht unverhältnismäßig ist.	I have serious doubts as to whether the present Regulation actually enhances security or whether it is too heavy-handed.
Aber lassen Sie uns das offen besprechen!	But let us discuss that openly.
Bitte sagen Sie dann nicht: "Die Geheimdienstleute haben Informationen, die sie uns nicht weitergeben können".	Please do not say, 'The intelligence people have information that they cannot pass on to us'.
Wir sind gegenüber dem Bürger verantwortlich, klare Antworten zu geben.	We have a responsibility to the public to provide straight answers.
Wenn Ihre Dienststellen und vor allen Dingen die Dienststellen des Ministerrats nicht bereit sind, mit offenen Karten zu spielen, werden wir diese Taktik nicht weiter hinnehmen.	Your departments, and more particularly those of the Council, must be prepared to lay their cards on the table, for we will no longer tolerate the present tactics.
