amtierender Ratspräsident.	President-in-Office of the Council.
Herr Präsident, sehr geehrter Herr Vizepräsident der Kommission, und vor allem sehr geehrter Herr Rocard, liebe Kolleginnen und Kollegen! Die aktuelle Debatte darüber, wie sich die arabische Welt in der internationalen Politik aufstellt, findet zur rechten Zeit statt.	Mr President, Mr Vice-President of the Commission, Mr Rocard, ladies and gentlemen, the present debate on the position of the Arab world in international politics is timely.
Dabei geht es für uns auch um die Frage, wie der Westen mit den arabischen Staaten noch besser zusammenarbeiten kann, damit beide Seiten hiervon profitieren.	As we see it, one of the issues here is how to further improve cooperation between the West and the Arab states, so that both sides can benefit from it.
Ich möchte mich bei Ihnen, Herr Rocard, ganz herzlich bedanken. Mit diesem Bericht unterstreicht auch das Europäische Parlament die Bedeutung der Zusammenarbeit zwischen der Europäischen Union und der arabischen Welt.	I should like to extend the warmest of thanks to Mr Rocard, with whose report the European Parliament, too, underlines the importance of EU-Arab cooperation.
Bereits seit einigen Jahren hat das regionale Engagement der Arabischen Liga an Dynamik gewonnen - ich nenne nur die Beiruter Friedensinitiative vom März 2002.	Greater dynamism has been apparent in the Arab League's regional involvement for some years now - the Beirut Peace Initiative of March 2002 being just one example.
Gerade in den letzten Wochen manifestiert sich ein massives Interesse der arabischen Welt, auch selbst die Hand zur engeren Koordinierung und Kooperation - über die Grenzen der Region hinaus - auszustrecken.	Recent weeks, in particular, have seen a massive interest on the part of the Arab world in reaching out beyond the borders of the region for closer coordination and cooperation - including on its own initiative.
Diese Entwicklung scheint mir einerseits das Ergebnis einer gewissen arabischen Rückbesinnung auf die Arabische Liga als ein zwischenzeitlich vernachlässigtes Instrument der Zusammenarbeit.	On the one hand, this development strikes me as resulting from a return, to a certain extent, by the Arab world to the Arab League as an instrument of cooperation that has been neglected over time.
Andererseits sehe ich darin aber auch die Antwort auf die Suche nichtarabischer Staaten und Organisationen nach einem verlässlichen regionalen Partner in einer instabilen Region.	On the other hand, I see it as representing a response to the quest on the part of non-Arab states and organisations for a reliable regional partner in an unstable region.
Das anhaltende Engagement der Arabischen Liga im Libanon, welches unmittelbar nach dem Krieg im vergangenen Sommer einsetzte, ist sehr wertvoll. Wir ermutigen die Arabische Liga daher, an den bisherigen Bemühungen festzuhalten.	The ongoing involvement of the Arab League in Lebanon, which started immediately after last summer's war, is very important; and so we encourage the Arab League to continue its present endeavours.
Aber die eigentlich neue Qualität des internationalen Engagements der Arabischen Liga unter der kraftvollen Regie Saudi-Arabiens kommt meines Erachtens am deutlichsten in der Bekräftigung der Arabischen Friedensinitiative auf dem Gipfel von Riad Ende März zum Ausdruck.	Nevertheless, I believe that the clearest illustration of the new quality of international involvement by the Arab League, under the powerful leadership of Saudi Arabia, was the confirmation of the Arab Peace Initiative at the Riyadh Summit in late March.
Die Initiative zeigt die Perspektiven für eine Normalisierung der Beziehungen zwischen Israel und den arabischen Staaten auf.	This Initiative shows the prospects of a return to normal for relations between Israel and the Arab States.
