Frau Präsidentin! Die Situation ist in der Tat tragisch.	Madam President, the situation is indeed a tragic one.
Radikale Gruppierungen der Hamas beschießen täglich Sderot mit Qassam-Raketen. Diese Raketenangriffe sind kein Zufall, sie sind vielmehr der mittlerweile fünfte Bruch des Waffenstillstandes.	Groups of Hamas radicals are day by day bombarding Sderot with Qassam rockets, and these attacks, far from being random, are the fifth breach of the cease-fire so far.
Erneut ist der Versuch zu erkennen, von den internen Kämpfen zwischen den Palästinensern selber, also zwischen Hamas und Fatah abzulenken. Es hat in diesen Kämpfen 55 palästinensische Tote gegeben, gestorben von palästinensischer Hand.	What is evident is that the attempt is again being made to distract attention from the in-fighting between the Palestinians themselves, that is to say between Hamas and Fatah, with fighting in which 55 Palestinians have died, killed by Palestinian hands.
Jetzt schien die Zeit gekommen, um die Aufmerksamkeit erneut auf den gemeinsamen Feind Israel zu lenken.	It seemed to them that the time was ripe for attention to be diverted to their common foe, Israel, and how did Israel respond?
Und wie reagiert Israel? Mit harter Hand.	It responded with the mailed fist.
Diese israelische Regierung, die Zustimmungsraten von um die 3% erzielt, tut der Hamas den Gefallen und versucht, die Quelle der Angriffe militärisch auszuschalten. Wieder gab es zivile palästinensische Opfer, die wir bedauern.	This Israeli Government, whose approval ratings lie around the 3% mark, is doing Hamas a favour by trying to wipe out the source of the attacks by military means, leading to more Palestinian victims, whose deaths we lament.
Wieder hat die Hamas Zeit gewonnen und kann notwendige politische Konzessionen aufschieben.	Hamas has again won itself time and can put off to another day the political concessions that have to be made.
Wieder scheinen wir wie gelähmt.	Yet again, we appear to be paralysed.
Denn es hat ja in Mekka Konzessionen gegeben. Sie reichten nicht aus, keine Frage, aber trotz der Schwächen von Mekka waren diese Konzessionen ein wichtiger Schritt in Richtung eines Friedens.	Concessions were, after all, made in Mecca; they may not, to be sure, have been sufficient, but, despite the weaknesses of Mecca, these concessions amounted to a major step in the direction of peace.
Diese Vereinbarung ist jetzt durch die erneute Gewalt in ihrem Kern verletzt worden.	That agreement has now been stricken to the heart by this resumption of violence.
Ich glaube daher, dass es bis auf Weiteres wichtig und richtig ist, dass die Europäische Union auf die Einhaltung der vollständigen Bedingungen des Quartetts und der Vereinbarungen von Mekka drängt, bevor sie ihre Zahlungen an die Einheitsregierung wieder aufnimmt.	I do believe, then, that it is for the time being right and proper that the European Union should insist on compliance with all the Quartet's conditions and with what was agreed at Mecca before it resumes making payments to the unity government.
Dies steht nicht im Widerspruch zur Forderung des Kollegen McMillan-Scott, eine pragmatische, umfassende Zusammenarbeit dort zu suchen, wo es tatsächlich dem Wohl der Bevölkerung dient.	This does not run counter to Mr McMillan-Scott's call for pragmatic and all-round cooperation to be sought where it really is for the people's benefit.
Dennoch sollten wir dieses wichtige Instrument nicht zu früh aus der Hand geben.	We should not, nevertheless, abandon this vital tool before it is time to do so.
Ich ermutige Rat und Kommission und die Arabische Liga, in ihren Bemühungen Fortschritte zu erzielen, und würde mir sehr wünschen, dass sie möglichst schnell zum Erfolg führen.	I would encourage the Council, the Commission and the Arab League to make the effort to press ahead, and would very much like to see them achieve success as soon as possible.
