amtierender Ratspräsident. Sehr geehrter Herr Abgeordneter!	President-in-Office of the Council.
Soweit ich unterrichtet bin, hatten wir in der Vergangenheit beispielsweise bei der Körperschaftssteuer eine Debatte über die Höhe der Steuersätze und über die unterschiedlichen Indikatoren für eine gemeinsame steuerliche Bemessungsgrundlage.	Mr Leichtfried, I understand that a debate has been held in the past on tax rates and the various common tax base indicators in the field of corporation tax, for example.
Sie wissen, dass unter der deutschen Ratspräsidentschaft einige Arbeiten dazu geleistet worden sind, aber noch keine Einigung erzielt wurde.	You will be aware that, under the German Council Presidency, some work has been done on this, but no agreement reached as yet.
In Bezug auf die Mehrwertsteuer sage ich noch einmal, dass wir uns als nächsten Punkt damit befassen werden.	With regard to VAT, I would reiterate that this is the next item on our agenda.
Was bringt dieser Expertenbericht?	What will this expert report find?
Welche Vorschläge und welche Auswertungen nimmt die Kommission vor?	What are the Commission's proposals and analyses?
Welche Vorschläge werden dem Rat unterbreitet?	What is being proposed to the Council?
Eine aktuelle Diskussion über die konkrete Frage, die der Abgeordnete gestellt hat, hat es im Rat jedoch nicht gegeben.	There is no current discussion in the Council on the specific question put by the honourable Member, however.
Betrifft: Grenzüberschreitende Zusammenarbeit der EU zum Schutz der Kinder vor Missbrauch - gegenseitige Anerkennung der Aberkennung von Qualifikationen für die Arbeit mit Kindern	Subject: EU cross-border cooperation to protect children from child abuse - mutual recognition of disqualifications from working with children
Innerhalb der EU besteht dringender Bedarf an wirksamen Systemen, die sicherstellen, dass ungeeignete Personen kein Beschäftigungsverhältnis aufnehmen können, das sie in Kontakt mit Kindern bringt.	There is an urgent need for effective systems within the EU to ensure that unsuitable people are not able to gain employment which brings them into contact with children.
Das Europäische Parlament hat am 1. Juni 2006 seinen Bericht über die 2004 auf den Weg gebrachte "Initiative des Königreichs Belgien im Hinblick auf die Annahme durch den Rat eines Rahmenbeschlusses betreffend die Anerkennung und Vollstreckung in der Europäischen Union von Berufsverboten aufgrund von Verurteilungen wegen Sexualstraftaten gegen Kinder" (14207/2004 - C6-0244/2004 - angenommen.	On 1 June 2006 the European Parliament adopted its report on the 2004 'Initiative of the Kingdom of Belgium with a view to the adoption by the Council of a framework decision on the recognition and enforcement in the European Union of prohibitions arising from convictions for sexual offences committed against children' (14207/2004 - C6-0244/2004 -.
Welche Fortschritte in Richtung Annahme des vorgeschlagenen Rahmenbeschlusses durch den Rat sind bisher erzielt worden, ist dies doch für die Gewährleistung des Schutzes der Kinder in Europa von entscheidender Bedeutung?	What progress is being made towards adoption by the Council of the proposed framework decision, which is crucial for ensuring the protection of children in Europe?
Wenn es im Hinblick auf die Annahme keine Fortschritte geben sollte, wie gedenkt der Rat dann dafür zu sorgen, dass alle mit dieser Initiative angestrebten Ziele erreicht werden? (Es gilt sicherzustellen, dass die Mitgliedstaaten Verbote für die Arbeit mit Kindern, die Einzelpersonen von anderen Mitgliedstaaten auferlegt wurden, anerkennen und im eigenen Land ebenfalls durchsetzen.)	In the event of a lack of progress towards adoption, how does the Council intend to ensure that all the objectives this initiative aims to achieve will be otherwise met? (it aims to ensure that Member States recognise and enforce bans on working with children imposed on individuals by other Member States.)
