Herr Präsident, sehr geehrte Ratspräsidentin, liebe Kolleginnen und Kollegen, Herr Kommissar!	Mr President, President-in-Office of the Council, Commissioner, ladies and gentlemen!
Bravo, Frau Merkel, herzlichen Glückwunsch!	Well done, Mrs Merkel, warm congratulations!
Sie haben Ihre Verpflichtung als Vorsitzende des Rates erfüllt.	You have fulfilled your obligations as President of the Council.
Das Europäische Parlament hatte Sie beauftragt, eine Regierungskonferenz einzuberufen und den verfassungsgebenden Weg der Europäischen Union wieder aufzunehmen, einen Weg, der uns Frieden und Wohlstand gebracht hat und der nun ein Modell der Demokratie und Solidarität gegenüber der globalisierten Welt darstellt.	The European Parliament had asked you to convene an Intergovernmental Conference and to resume the European Union's journey towards a constitution, a journey that has brought us peace and prosperity that now offers the globalised world a model of democracy and solidarity.
Die Mehrheit der Staaten und Bürgerinnen und Bürger hat sich nach einer zweijährigen Reflexionsperiode dafür ausgesprochen, die Zukunft Europas voranzutreiben.	After a two-year period of reflection, the majority of the states and citizens came out in favour of forging ahead towards Europe's future.
Trotz mancher Aufhebungen, die hoffentlich nicht die Kohäsion der EU aufreiben, haben wir denjenigen geholfen, die Schwierigkeiten mit dem Vertrag hatten.	Despite many abrogations, which I hope will not upset the EU's cohesion, we have helped those who had difficulties with the treaty.
Wir haben jetzt ein Mandat zu diesem Reformvertrag auszuarbeiten, und wir halten das für positiv.	We now have to prepare a mandate for this reform treaty, and we believe that is a good thing.
Er enthält ein klares Bekenntnis zu den Prinzipien, Werten und Zielen der EU.	It contains a clear commitment to the principles, values and objectives of the EU.
Die Rechtsverbindlichkeit der Grundrechtecharta sollte meiner Meinung nach gleich nach der Präambel im Vertrag verankert werden Positiv ist auch die Ausweitung des Mitentscheidungsverfahrens und die Abstimmung mit qualifizierter Mehrheit.	In my opinion, the legally binding nature of the Charter of Fundamental Rights should be enshrined in the treaty immediately after the preamble. The extension of codecision and qualified majority voting are also positive aspects.
Trotzdem bedaure ich, dass Klarheit und Transparenz verloren gegangen sind.	I nevertheless regret that clarity and transparency have been lost.
Auch die Symbole, die Flagge und die Hymne bezeugen die Freude und Freiheit in Europa, wie Beethoven und Schiller sie hervorgehoben haben.	The symbols, the flag and the anthem also bear witness to the joy and freedom in Europe that Beethoven and Schiller emphasised.
Ich kann Ihnen versichern, dass wir diese Symbole weiter benutzen und mit echtem Stolz hochhalten werden.	I can assure you that we will continue to use these symbols and hold them up with genuine pride.
Frau Ratspräsidentin, in dieser Überzeugung werden wir jetzt in der Regierungskonferenz mit den nationalen Parlamenten und der Zivilgesellschaft zusammenarbeiten, um die Europäische Union verfassungsrechtlich zu stärken.	In this conviction, President-in-Office, we will now in the Intergovernmental Conference work together with the national parliaments and civil society to strengthen the European Union constitutionally.
Wir werden weiter kämpfen auf diesem Weg, den Kollege Walter Hallstein als constructio continua bezeichnet hat, und von dem Jean Monnet als "Schritt für Schritt" gesprochen hat.	We will continue to fight on this road, which Walter Hallstein described as constructio continua, and which Jean Monnet spoke of as 'step by step'.
Und wie Sherpas - Schritt für Schritt - erklimmen wir den Himalaja.	And like sherpas, step by step, we will climb the Himalayas.
