amtierende Ratspräsidentin.	President-in-Office of the Council.
Herr Präsident ! Es ist ein interessanter Zustand im Europäischen Parlament, wenn alle Chefs noch da sind.	Mr President, it is an interesting state of affairs in the European Parliament when all the leaders are still here.
Insofern danke ich für die Aussprache.	I therefore thank you for the debate.
Ich möchte nur kurz auf zwei Punkte eingehen.	I would just like to deal briefly with two points.
Erstens auf die Frage Binnenmarkt und Wettbewerb, die hier doch große Sorge hervorgerufen hat.	Firstly, the question of the internal market and competition, which has been a great cause for concern here.
Es gab eine Diskussion im Rat, ob der Wettbewerb ein Ziel unserer Bemühungen ist.	We debated in the Council whether competition is one of our objectives.
Ich glaube, dass der Wettbewerb kein Ziel ist, sondern ein Mittel.	I believe competition is not an end but a means.
Deshalb haben wir ihn aus der Rubrik Ziele herausgenommen, haben aber durch das Protokoll, das wir über den Binnenmarkt und den Wettbewerb einfügen werden, absolut klar gemacht, dass dieses Mittel unverändert und in seiner vollen Bedeutung - und darauf hat auch die Kommission ganz klar geachtet - erhalten bleibt.	That is why we removed it from the 'objectives' heading, but we have made absolutely clear in the protocol on the internal market and competition that we will be inserting that this means remains intact and its importance is undiminished, and the Commission has also made quite sure of that.
Es ändert sich also nichts.	So nothing has changed.
Beschäftigung und Wohlstand sind unser Ziel, aber unser Ziel ist nicht der Wettbewerb als solcher, sondern er ist ein Mittel.	Employment and prosperity are our objective, but our objective is not competition as such, it is a means.
Zweitens: Zum Abstimmungssystem ist viel gesagt worden.	Secondly, a lot has been said about the voting system.
Ich möchte hier der Klarheit wegen noch einmal wiederholen: Alle möglichen Formen von Gewichtung, zu denen ja auch Wurzelsysteme gehören, sind denkbar, wenn man sie als alleinige Abstimmungsform nimmt.	For clarity I would like to repeat here once again: all possible forms of weighting, including root systems, are conceivable if you take them as the only form of voting.
Hätten wir bei Null zu diskutieren begonnen, könnte man ja über alles reden.	If we had been starting from scratch, we could have discussed them all.
Aber es gibt eine doppelte Mehrheit, und diese doppelte Mehrheit bringt die Gewichtung zwischen Bevölkerungszahl und dem Prinzip "ein Land-eine Stimme".	There is, however, a double majority, and this double majority brings the weighting between population and the 'one country, one vote' principle.
Nur in dieser Doppelung ist das Stimmensystem akzeptabel, und wir haben jetzt wohl auch einen Weg gefunden, der uns wieder zu richtigen internationalen Weltproblemen führt und gleichzeitig ein hohes Maß an Gerechtigkeit hat.	Only this doubling makes the voting system acceptable, and we have probably now found a way that leads us back again to real international world problems and at the same time has a high level of fairness.
Ich möchte abschließen mit einem herzlichen Dankeschön.	I would like to conclude with a sincere thank you.
Ich darf aus unserer Regierung berichten, dass wir heute eine Kabinettssitzung hatten, in der wir Bilanz gezogen haben, und dass alle Regierungsmitglieder stolz darauf waren, diese Präsidentschaft mit Enthusiasmus und viel Engagement geführt zu haben, und dass die sozialdemokratischen genau wie die christdemokratischen Regierungsmitglieder ihren Beitrag dazu geleistet haben.	I can report from our government that we had a cabinet meeting today in which we took stock, and that all the members of the government were proud to have conducted this Presidency with enthusiasm and great commitment, and that the Social Democrat just as much as the Christian Democrat members of the government have contributed to that.
(Beifall)	(Applause)
Zweitens möchte ich mich ganz herzlich bei der Kommission bedanken, bei José Manuel Barroso und bei allen Kommissaren.	Secondly, I would like to extend my sincere thanks to the Commission, to José Manuel Barroso and to all the Commissioners.
Wir haben intensiv und gut zusammengearbeitet, wir haben freundschaftliche, harte, immer wieder bis in die Nacht hinein dauernde Gespräche gehabt, aber wir haben uns zusammengerauft und ich glaube, Kommission und Rat gehen gestärkt aus dieser Präsidentschaft hervor.	We have worked together intensively and well, we have had friendly, tough conversations, often extending into the night, but we reached agreement and I believe the Commission and Council have come out of this Presidency stronger.
Es hat Spaß gemacht, mit Dir, José Manuel, ganz persönlich zusammenzuarbeiten, und es hat auch Spaß gemacht, mit der ganzen Kommission und allen ihren Mitarbeitern zusammenzuarbeiten.	I have enjoyed working with you personally, José Manuel, and I have also enjoyed working with the entire Commission and all its staff.
Ein herzliches Dankeschön!	Thank you very much!
Ein Dankeschön auch an das Europäische Parlament.	My thanks are also due to the European Parliament.
Es ist schön, in diesem Parlament zu diskutieren, den Geist Europas zu spüren und mit dem Rückenwind - auch mit einem Stück Idealismus, der hier vielleicht öfter anzutreffen ist als anderswo - manche schwierige Aufgabe zu bewältigen.	It is nice to debate in this Parliament, to feel the spirit of Europe and to accomplish many difficult tasks with the wind behind you - and with a bit of idealism that is perhaps found more often here than elsewhere.
Denn eines ist klar: Wo es keinen Idealismus mehr gibt, gibt es nur noch Nationalismus, da gibt es nur noch Beharren auf den eigenen Besitzständen.	Because one thing is clear: where there is no more idealism there is only nationalism and clinging to your own vested interests.
Das führt uns nicht weiter, und deshalb dem ganzen Europäischen Parlament und insbesondere denen, die immer Rückenwind gegeben haben, ein herzliches Dankeschön!	That does not get us anywhere and I therefore extend my sincere thanks to the entire European Parliament and especially to those who always helped us along.
Ich werde die Zusammenarbeit fast vermissen, aber man darf ja auch noch einmal als Besucher hierher kommen.	I will almost miss the cooperation, but one can always come here again as a visitor.
Herzlichen Dank!	Thank you very much!
(Beifall)	(Applause)
