im Namen der PPE-DE-Fraktion. - Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen!	on behalf of the PPE-DE Group. - Mr President, Commissioner, ladies and gentlemen.
Herr Cramer, dass Ihr Bericht bei mir nicht immer und überall Begeisterung hervorgerufen hat, wissen Sie. Darüber brauchen wir uns heute nicht zu unterhalten.	Mr Cramer, you already know that I have not always been enthused by your report in all respects - we do not need to discuss this fact today.
Es fehlt die Ausgewogenheit, und es fehlt die Praxisnähe.	The report lacks balance and practical relevance.
So waren darin viele Regelungen enthalten, denen ein inhaltlicher Zusammenhang zur Implementierung des ersten Eisenbahnpaketes fehlt.	For example, it contains many provisions unrelated to the implementation of the first railway package in terms of content.
Aus diesem Grund haben wir - unser Obmann, Herr Jarzembowski und ich - zwanzig Änderungsanträge eingebracht, von denen allein elf auf die Streichung kompletter Absätze abzielen.	Therefore, we - our coordinator Mr Jarzembowski and I - have tabled 20 amendments, only 11 of which involve the deletion of whole paragraphs.
Die Abstimmung im Ausschuss für Verkehr und Fremdenverkehr verlief dann zu meiner Zufriedenheit.	I was pleased with the outcome of the vote in the Committee on Transport and Tourism.
Wichtige Punkte sind zum einen die Aufforderung an die Kommission, unverzüglich gegen diejenigen Mitgliedstaaten vorzugehen, die das erste und das zweite Eisenbahnpaket noch nicht fristgerecht umgesetzt haben.	The important points are, firstly, the call for the Commission to take action, without delay, against Member States who have not implemented the first and second railway packages by the specified date.
Zum anderen war es uns wichtig, dass bei der Frage der Finanzierung des weiteren Ausbaus der europäischen Verkehrswege vor allem die dreißig prioritären Projekte der Transeuropäischen Netze vorrangig gefördert werden sollen.	Secondly, we consider it important, with regard to the financing of the further development of the European transport routes, that support be given in particular to the 30 priority trans-European network projects.
Bedauerlicherweise konnte die komplette Streichung des Absatzes "Regulierung der Trennung von Netz und Betrieb" nicht durchgesetzt werden.	Unfortunately, the complete deletion of the paragraph headed 'Regulation of the separation between network and operation' could not be pushed through.
Ich lehne eine Einschränkung der Wahlmöglichkeit zwischen den verschiedenen Organisationsmodellen strikt ab.	I reject out of hand a limitation of the choice between the various organisational models.
Wir benötigen fundierte Erkenntnisse.	We need solid evidence.
Wir müssen wissen, welche Vor- und Nachteile eine solche Trennung tatsächlich mit sich bringt.	We need to know the advantages and disadvantages of such a separation.
Wir brauchen heute noch Flexibilität für die Eisenbahnunternehmen.	We still need flexibility for railway undertakings.
Deswegen haben wir eine getrennte Abstimmung beantragt.	That is why we have requested a split vote.
Ich möchte noch kurz etwas zur Problematik der der "Gigaliner", also der überlangen 60-Tonnen-LKW, sagen.	I should also like to say a few brief words about the problem of 'gigaliners': that is, ultra-long lorries of 60 tonnes and upwards.
Wir werden morgen bei der Abstimmung über diesen Bericht, der ja das Eisenbahnpaket zum Inhalt hat, Ihrem diesbezüglichen Änderungsantrag, Herr Cramer, nicht zustimmen können.	We cannot support Mr Cramer's amendment concerning these in tomorrow's vote on this report - which, after all, concerns the railway package.
Ich teile aber uneingeschränkt die Auffassung, dass Güter auf die Schiene gehören. Deswegen mag das widersprüchlich sein, aber ein Änderungsantrag zum Thema Gigaliner hat in diesem Bericht nichts zu suchen.	I do fully agree that goods belong on the railways, and thus my position may appear contradictory, but an amendment on gigaliners has no place in this report.
Wir werden das beim Bericht Ayala Sender diskutieren. Dort wird dann auch Zeit für die Debatte sein.	We shall discuss this within the framework of the Ayala Sender report - when we shall also have time for the debate.
