anstelle des Verfassers. - Herr Präsident, Herr Kommissar! Ich verlese die Rede von Tobias Pflüger.	deputising for the author. - Mr President, Commissioner, I shall read Tobias Pflüger's speech.
Die Debatte über die Hilfe für die irakischen Flüchtlinge führen wir leider erst heute.	'Sadly, not until today have we held a debate on assistance for the Iraqi refugees.
Ich bedauere dies zutiefst.	I deeply regret that.
Warum haben denn die Fraktionen der Liberalen, Rechtsnationalisten und Konservativen das Thema von der Tagesordnung der letzten Plenarsitzung abgesetzt?	Why did the liberal, right-wing nationalist and conservative groups drop the subject from the agenda of the last plenary part-session?
Stattdessen wurden hier ideologische Debatten über Kuba geführt.	Instead, the House engaged in ideological debates about Cuba.
Die Lage im Irak ist dramatisch.	The situation in Iraq is desperate.
Seit dem Einmarsch der USA und der so genannten Koalition der Willigen sind über 600 000 Menschen getötet worden.	Since the US invasion and the formation of the so-called 'coalition of the willing', more than 600 000 people have been killed.
Über 2 Millionen Irakerinnen und Iraker sind ins Ausland geflüchtet.	More than two million Iraqis have fled the country.
Dazu kommen 2 Millionen Binnenvertriebene und über 40 000 nichtirakische Flüchtlinge.	To these may be added two million within the country who have been driven from their homes and more than 40 000 non-Iraqi refugees.
Aber auch die Opferzahlen der US-Armee steigen täglich, auf jetzt insgesamt 3 600.	The number of US service personnel who have lost their lives rises daily and has now reached 3 600.
Leider tragen auch Mitgliedstaaten der EU durch ihre Kriegsbeteiligung und Kriegsunterstützung - speziell auch Deutschland - ein hohes Maß an Mitverantwortung für die Situation im Irak.	Regrettably, through their participation in the war and their support of the war, Member States of the EU - and Germany is one of the foremost culprits - bear a substantial share of responsibility for the situation in Iraq.
Nun muss den Flüchtlingen wirklich geholfen werden.	Real help must now be given to the refugees.
Das kann nicht allein Aufgabe der Nachbarländer sein.	That cannot be the task of the neighbouring countries alone.
Hier muss sich die EU finanziell einsetzen.	The EU must commit funds for this purpose.
Abschiebungen in den Irak müssen sofort gestoppt werden.	Deportations to Iraq must be brought to an immediate halt.
Die Truppen der USA und der so genannten Koalition der Willigen müssen zurückgezogen werden.	The troops of the United States and its allies in the so-called coalition of the willing must be withdrawn.
Die Kriegsunterstützung durch EU-Mitgliedstaaten ist zu beenden.	EU Member States must stop supporting the war.
Ein Ende des völkerrechtswidrigen Krieges und der Besatzung des Irak ist notwendig.	An end to the illegal war and the occupation of Iraq is imperative.
