im Namen der Verts/ALE-Fraktion. - Herr Präsident! Ich stimme Frau Kauppi ausdrücklich zu.	on behalf of the Verts/ALE Group. - Mr President, I emphatically agree with Mrs Kauppi.
Bei dem Punkt Steuerpolitik zeigen sich die Widersprüche der Fraktionen hier im Europaparlament immer deutlicher.	The disagreements between the groups here in the European Parliament on the subject of taxation policy are becoming clearer and clearer.
Wir müssen diese Auseinandersetzung in den nächsten Monaten noch viel ernster führen.	We must give this debate much more serious attention over the next few months.
Ich möchte mich bei der Berichterstatterin und bei den Schattenberichterstattern für die viele Mühe bedanken, die sie sich gemacht haben, um diesen Bericht zu einem guten Ende zu bringen.	I should like to thank the rapporteur and shadow rapporteur for the significant effort they have made in order to bring this report to a good conclusion.
Gutes Ende - für uns allerdings nicht.	A good conclusion - but not for us.
Wir werden als Fraktion am Ende diesem Bericht nicht zustimmen können.	As a Group we shall not be able to accept this report in its final form.
Er hat erfreuliche Aspekte. Er hat den erfreulichen Aspekt, dass der wichtige Schritt hin zu einer konsolidierten Bemessungsgrundlage für Unternehmenssteuern beschrieben und gefordert wird.	It has some pleasant aspects, for example it describes and demands the important step towards a consolidated tax base for corporate taxes.
Das ist ein wichtiger erster Schritt.	This is an important first step.
Aber dieser wichtige erste Schritt muss begleitet werden durch ebenso klare Aussagen in Richtung Harmonisierung von Mindeststeuersätzen, weil wir sonst nämlich in diesem Bereich einen nicht zu kontrollierenden Steuerwettbewerb bekommen werden.	However, this must be accompanied by similarly clear declarations as regards harmonising minimum tax rates, because otherwise it will lead to unchecked tax competition, specifically in this area.
Wir sehen auch Probleme in Ziffer 17, wo sich der Ausschuss leider eindeutig gegen Mindeststeuersätze für Verbrauchssteuern ausgesprochen hat.	We also see problems under Article 17, where the committee has unfortunately clearly stated that it is against minimum tax rates for excise duty.
Auch das liegt leider auf einer Linie mit den Abstimmungen der letzten Wochen, und wir bedauern das außerordentlich.	This, too, is unfortunately in line with the votes of recent weeks and we greatly regret this.
Wir unterstützen hier die Fraktion.	We support the group here.
Wir glauben, dass wir im Bereich der Verbrauchssteuern zu einer Harmonisierung in Europa kommen müssen, dass diese Harmonisierung eher gestärkt werden muss, weil wir sonst zu einem unkontrollierten Steuerwettbewerb im Bereich der Verbrauchssteuern kommen.	We believe that we have to achieve harmonisation in European excise duty and that this harmonisation must be strengthened, if anything, because otherwise we will have unchecked tax competition in excise duty.
Wir finden es außerdem problematisch, dass viel zu wenig zu den Themen Klimawandel und Ökosteuern gesagt wird.	We also think it is a problem that far too little is being said on the subjects of climate change and eco-taxes.
Hier möchte ich auch der Berichterstatterin widersprechen.	I, too, wish to disagree with the rapporteur here.
Ich glaube, dass die Ökosteuern ein wichtiges Instrument sind, um genau diesen Herausforderungen des Klimawandels gerecht zu werden.	I believe that eco-taxes are an important instrument for meeting these challenges of climate change.
Wir müssen viel mehr in diesem Bereich tun.	We have to do much more in this respect.
Allerdings halte ich den Ansatz für falsch, hier auf Nuklearenergie zu setzen oder auf so genannte saubere Energien.	I do, however, think that the approach of focussing on nuclear energy here, or on 'clean' forms of energy, is wrong.
Wichtig ist, dass wir unseren Schwerpunkt klar im Bereich Energieeinsparung und Energieeffizienz setzen.	It is important that we focus clearly on energy saving and energy efficiency.
Das sind die wichtigen Antworten.	These are the important answers.
Und wenn man sich anschaut, vor welchen Herausforderungen wir in den Bereichen Gebäudesanierung und Verkehrswesen stehen, dann zeigt sich, dass wir den Kyoto-Ansatz - Energieeinsparung - wirklich erfüllen können, wenn hier sehr viel mehr getan wird.	When we look at the challenges facing us in the refurbishment of buildings and in the field of transport, it seems that we can genuinely meet the Kyoto aim of energy saving if a great deal more is done here.
Steuerpolitik kann einen wichtigen Beitrag dazu leisten, dass wir hier zu mehr Energieeinsparung kommen, zu mehr Energieeffizienz, und den Herausforderungen des Klimawandels wirklich entsprechen.	Tax policy can make an important contribution to achieving greater energy savings and, greater energy efficiency and to genuinely meeting the challenges of climate change.
Leider gibt dieser Bericht diese Position nicht wieder.	Unfortunately, this report does not reflect this position.
Deshalb werden wir diesem Bericht, wie ich bereits angekündigt habe, nicht zustimmen.	As I have already announced, we shall therefore not be voting in favour of this report.
