schriftlich. - Der Bericht Reul ist ein Protegierbericht der Atomindustrie.	in writing. - The Reul report is an apology for the nuclear industry.
Die Atomenergie wird wider jede Vernunft als Zukunftstechnologie dargestellt. Noch mehr EU-Forschungsgelder und EU-Haushaltsmittel sollen in die Förderung dieser gefährlichen Dinosauriertechnologie fließen.	Flying in the face of common sense, nuclear energy is depicted as the technology of the future, with even more EU research funding and budgetary resources to flow into the development of this high-risk dinosaur technology.
Ungeachtet der jüngsten "Störfälle" in Vattenfall-Atomreaktoranlagen wird sogar noch auf den Ausbau der Atomenergie in Europa gesetzt.	Indeed, despite the recent 'incidents' at Vattenfall's nuclear plants, the focus is on expanding nuclear energy in Europe.
Angesichts dessen wirkt es geradezu zynisch zu behaupten, die atomare Energieerzeugung werde "immer sicherer".	In light of these incidents, it is extremely cynical to claim that nuclear energy generation is becoming 'ever-safer'.
Statt weiterhin in eine derart problematische Energieerzeugung zu investieren, bei der die Frage der Endlagerung bewusst ausgeklammert wird, muss endlich ein sozial-ökologischer Wechsel angestrebt werden.	Instead of continuing to invest in this troublesome energy form, with a deliberate failure to address the issue of final storage, a social and ecological revolution should finally be the aim.
Dazu müssen die privaten Monopole der Atomwirtschaft zerschlagen, eine massive Förderung regenerativer Energien und eine Kommunalisierung der Energieerzeugung in die Wege geleitet werden.	This means breaking apart the private monopolies which exist in the nuclear industry, providing a massive injection of funding for renewables and localising energy production.
Auch vor dem Hintergrund, dass gerade die Atomkonzerne eine neue Runde massiver Preissteigerungen in die Wege geleitet haben, besteht dringender Handlungsbedarf.	Given that it is the nuclear companies, in particular, which have initiated a new round of massive price increases, there is an urgent need for action.
Der Bericht bedient allein das Profitinteresse der Atomindustrie in Europa.	The report merely serves the profit interests of Europe's nuclear industry.
Die Förderung neuer Atomkraftwerke in der EU ist nicht hinnehmbar.	The call for new nuclear power plants in Europe is unacceptable.
Im EU-Reformvertrag soll die rechtliche Grundlage der Förderung auf unbestimmte Zeit festgeschrieben werden.	The legal basis for funding for an indefinite period is to be enshrined in the Reform Treaty.
Ein Grund mehr, den EU-Reformvertrag abzulehnen.	This is yet another reason to reject the Treaty.
Jeder weitere Cent für die EU-Atomförderung ist einer zuviel!	Every additional cent for EU nuclear funding is one too many.
Die einzig zukunftsfähige Energiepolitik ist die Förderung der Energiegewinnung aus nachwachsenden Rohstoffen, Solar, Wind und Wasserkraft.	Promoting energy production from renewable resources, solar, wind and hydro power, is the only sustainable energy policy.
