Ich war im Juli des Jahres mit einer Delegation unseres Parlaments in Darfur.	I was in Darfur with a delegation from our Parliament in July.
Dort haben wir uns auch mit Vertretern der AMIS getroffen, der African Union Mission im Sudan.	During our visit we met representatives of AMIS, the African Union Mission in Sudan.
Es war und ist eine unglaublich schwierige Mission, wie uns Vertreter der AMIS erklärten.	It was, and still is, an incredibly difficult mission, as we heard from some of these AMIS representatives.
Ein nigerianischer Oberst, ein Kommandeur, erklärte uns zum Beispiel, dass er sich nicht wie ein Soldat vorkomme, sondern wie ein Priester.	For example, one of the commanders, a Nigerian general, told us that he felt as though he were a priest rather than a soldier.
Er könne nur Appelle richten, dass nichts Böses passieren möge, er habe kein richtiges Mandat, um handeln zu können, und deshalb ist es auch nicht verwunderlich, dass rebellierende Gruppen diese Schwäche ausgenutzt haben.	All he could do, he said, was appeal to people to refrain from evil acts; he had no real mandate to act, and so it is hardly surprising that rebel factions have exploited this weakness.
Der Westen schaut nicht ernsthaft genug nach Afrika, das Verhältnis zwischen der Tragödie in Darfur und dem Grad unserer Aufmerksamkeit ist nicht ausgewogen.	The West is not focusing sharply enough on Africa. There is an imbalance between the extent of the tragedy in Darfur and the level of attention we devote to it.
Militärische Einsätze der EU in Afrika sind gut, aber es besteht die Gefahr, dass Afrika zum Testgebiet für derartige Einsätze wird.	Military operations in Africa are all very well, but there is a danger of Africa becoming a testing ground for that type of mission.
Wenn die EU dort Einsätze macht, müssen diese mit einem robusten Mandat ausgestattet sein, mit einer angemessenen Ausrüstung und angemessenem Personal.	When the EU conducts operations there, its forces must be armed with a robust mandate, appropriate equipment and sufficient manpower.
Auch muss die Dauer des Einsatzes abhängig gemacht werden von den zu erreichenden Zielen.	The duration of the mission must also depend on its objectives.
Wir dürfen uns nicht hinter anderen verstecken, sondern müssen unseren Verpflichtungen nachkommen.	We must not hide behind others, but must fulfil our own obligations.
Dies gilt für die Finanzierung von AMIS, von der Unterstützung von Logistik und militärischen Gütern bis hin zum Personal.	This applies to the funding of AMIS and to support ranging from logistics and military equipment to personnel.
Vor allem aber brauchen wir den politischen Willen aller, und ich bin der Meinung, nur gemeinsam mit China ist die Befriedung Darfurs und des gesamten Sudans möglich.	Above all, however, we need the political will of everyone, and it is my opinion that peace in Darfur and the whole of Sudan can be achieved only in cooperation with China.
