schriftlich. - Ich unterstütze den Bericht über eine neue EU-Tourismuspolitik.	in writing. - I endorse the report on a new EU tourism policy.
Er zeigt Handlungsmöglichkeiten der EU im Bereich des Tourismus auf.	It highlights opportunities for EU action in the realm of tourism.
Die EU hat zwar keine globalen Kompetenzen, aber sie kann Maßnahmen ergreifen, um den Tourismus zu fördern.	Although the EU has no overall powers in this area, it can still take measures to promote tourism.
Hierdurch kann auf EU-Ebene ein Beitrag zur Stärkung der Wettbewerbsfähigkeit dieses volkswirtschaftlich und insbesondere auch arbeitsmarktpolitisch bedeutenden Wirtschaftsbereichs geleistet werden.	In this way, the Union can help to enhance the competitiveness of the tourism industry, which is a significant economic factor and an even more significant source of employment.
Insbesondere wichtig ist mir dabei, dass ein nachhaltiger Tourismus gefördert wird, also ein Tourismus, der ökologische, wirtschaftliche und soziale Elemente gleichermaßen berücksichtigt.	I attach particular importance to the aim of promoting sustainable tourism, in other words a form of tourism in which environmental, economic and social elements receive equal consideration.
Der nachhaltige Tourismus ist eine Grundvoraussetzung für die Entwicklung und Aufrechterhaltung von touristischen Aktivitäten und ein entscheidender Faktor für die Bewahrung und Aufwertung unseres Kultur- und Naturerbes.	Sustainable tourism is essential as a basis for the development and continuation of tourist activities and is a crucial factor in the preservation and enhancement of our natural and cultural heritage.
Der Schutz des Naturerbes trägt essentiell zu einem erfolgreichen Fortbestand dieser wirtschaftlich wichtigen Branche bei und ermöglicht es den europäischen Tourismusregionen, sich gegen die internationale Konkurrenz zu behaupten.	Conservation of the natural heritage plays a key role in the continuing success of this economically important industry and enables European tourist destinations to hold their own in the face of international competition.
Außerdem dürfen wir nicht vergessen, dass die EU immer auch eine Schaufenster-Funktion hat.	Besides, we must not forget that the EU invariably serves as a shop window too.
Unser Beispiel wird in vielen verschiedenen Bereichen nach und nach in vielen Regionen der Welt nachgeahmt.	In numerous areas of activity our example is being followed more and more frequently in many parts of the world.
Gerade deshalb tragen wir eine hohe Verantwortung.	This imposes a heavy responsibility on us.
Daher möchte ich insbesondere alle Kolleginnen und Kollegen, die aus Tourismus-Regionen kommen, bitten, das Ziel der Nachhaltigkeit zu unterstützen!	I would therefore ask my fellow Members, particularly those who come from regions associated with tourism, to support the quest for sustainability.
