Frau Präsidentin! Politik ist die Kunst des Erreichbaren.	Madam President, politics is the art of the possible.
Das ist auch der Fall bei dieser erneuten Reform der Weinmarktordnung.	That maxim also applies to this latest reform of the common organisation of the market in wine.
Allerdings ging die Kommission 2006 von Voraussetzungen über unverkäufliche Überschüsse in der EU aus, die nicht mehr stimmen, und sie missachtete bei ihrem legislativen Vorschlag weitgehend die im Februar geäußerte Meinung des Parlaments.	It must be said, however, that the Commission's assumption in 2006 was unmarketable wine surpluses in the EU, which have not materialised, and that its legislative proposal largely disregarded the opinion delivered by Parliament in February.
Wie schon 1999 haben wir es mit Hartnäckigkeit, Einfallsreichtum und in enger Zusammenarbeit mit dem Berufsstand, insbesondere auch in der interfraktionellen Arbeitsgruppe Wein, fertiggebracht, einen Kompromiss zu schmieden, mit dem die europäische Weinwirtschaft im Süden wie im Norden in Zukunft müsste leben können, wenn sie gute Weine produziert und den Verkauf derselben in und außerhalb der EU zu fördern versteht.	As was the case back in 1999, we have managed, by dint of tenacity and resourcefulness and in close cooperation with the trade, particularly in the cross-party working group on wine, to work out a compromise with which the wine trade in both southern and northern Europe should be able to live, provided that growers produce good wines and vintners are able to market them effectively inside and outside the EU.
Dafür wollen wir das erforderliche Instrumentarium schaffen und den Regionen die Verantwortung für dessen Nutzung in einem angemessenen finanziellen Rahmen übertragen.	It is our intention to create the requisite set of instruments and make the regions responsible for using them within an appropriate financial framework.
In dem leidigen, von der Kommission überflüssigerweise angefachten Streit über önologische Verfahren haben wir uns erneut weitestgehend auf den Kompromiss von 1999 geeinigt, auch wenn das der Frau Kommissarin noch immer nicht gefällt.	In the irksome dispute about winemaking processes that was unnecessarily fuelled by the Commission, we once again reached an agreement, very largely on the basis of the 1999 compromise, even though the Commissioner is still not happy with that.
Die Vernunft und die Erkenntnis, dass Absatzprobleme im Süden nicht dadurch zu lösen sind, dass man die Produktion absetzbarer Weine im Norden unmöglich macht, haben sich durchgesetzt und werden hier hoffentlich eine große Mehrheit finden.	Common sense and awareness that sales problems in the South will not be solved by making it impossible to produce marketable wine in the North have won the day, and I hope they will also secure a large majority here.
Natürlich liegt der Teufel im Detail.	The devil, as always, is in the detail.
Ich respektiere den Kompromiss, für dessen Zustandekommen sich auch der Berichterstatter bewegen musste, was ich ihm hoch anrechne.	I respect the compromise, for which the rapporteur himself had to make concessions too, and all credit to him for that.
Ich verzichte deshalb auf neue Anträge, allerdings nicht auf die Meinungsäußerung bei der Abstimmung zu verunglückten Detailvorstellungen, die mit dem Kompromiss nichts zu tun haben.	For this reason I do not intend to table any new amendments, although I shall not refrain from expressing my opinion when it comes to the vote on disastrous specific proposals that have nothing to do with the compromise.
Es ist zum Beispiel absolut kontraproduktiv, auf dem Etikett die Herkunft von EU-Most angeben zu müssen, mit dem angereichert wird, wenn man diese Form der Anreicherung fördern will.	It is utterly counterproductive, for instance, to insist that wine labels bear an indication of the origin of EU grape must which is used to enrich the wine if the aim is to encourage that form of enrichment.
Wichtig ist, dass die Reform dazu beiträgt, mit quantitativ und qualitativ ausreichendem Produktionspotenzial zu garantieren, dass wir weltweit Marktführer bleiben, dass wir in der EU und in den Drittländern dafür sorgen, dass wir viel mehr Wein trinken im Interesse der Gesundheit!	The important thing is that the reforms help to guarantee sufficient production potential in terms of quantity and quality to maintain our global market lead and to ensure that we in the EU and elsewhere drink far more wine for the sake of our health!
(Beifall)	(Applause)
