Herr Präsident, meine Damen und Herren! Zum Inhalt des Vertrags ist hier vieles gesagt worden.	Mr President, ladies and gentlemen, a great deal has been said here on the substance of the Treaty.
Für uns deutsche Liberale waren bestimmte Kernpunkte immer ausschlaggebend.	We German Liberals have always attached vital importance to certain key points.
Zum einen sollte der Kompromiss zu den institutionellen Fragen erhalten bleiben.	Firstly, the institutional compromise had to be preserved.
Zweitens: Wir wollten einen EU-Außenminister, der nicht Zierde, sondern ein echtes Sprachrohr der Europäischen Union ist.	Secondly, we wanted an EU foreign minister, not as an embellishment but as a genuine mouthpiece of the European Union.
Was der Kollege Jacek Saryusz-Wolski eben in Sachen institutioneller Verbesserung gesagt hat, sehen wir genauso.	We agree entirely with what Jacek Saryusz-Wolski said a few moments ago about institutional improvements.
Wir glauben aber auch nach wie vor, dass leider in der Gemeinsamen Außen- und Sicherheitspolitik bis auf weiteres der politische Wille in den Hauptstädten entscheidend bleiben wird.	We still believe, however, that the Common Foreign and Security Policy will continue for the foreseeable future to stand or fall by the political will of the Member States, and that is regrettable.
Der dritte Punkt, der für uns besonders wichtig war, ist ein starker Grundrechteschutz. Wir freuen uns jetzt deswegen ausdrücklich auf die Proklamation der Charta.	The third point to which we attached particular importance was firm protection of fundamental rights, and for this reason we look forward eagerly to the proclamation of the Charter.
Insgesamt muss man sagen: Der Vertrag von Lissabon ist ein Erfolg der deutsch-portugiesischen Zusammenarbeit. Beide Präsidentschaften verdienen Glückwünsche zu diesem Erfolg.	On the whole, it must be said that the Treaty of Lisbon is a success for German-Portuguese cooperation, for which both Presidencies deserve to be congratulated.
Ein echter Wermutstropfen ist allerdings der Punkt der Bürgernähe.	A real fly in the ointment, however, is the lack of progress in bringing decision-making processes closer to the people.
Den Beschluss des Rates, keinen konsolidierten Text vorzulegen, würde man auf Deutsch Realsatire nennen. Die Realität ist so absurd, ein Satiriker könnte sich nichts Absurderes ausdenken.	The Council's decision not to present a consolidated text is what we would call Realsatire in German, meaning a real-life situation which is more absurd than anything a satirist could dream up.
Die Wirklichkeit wird diesen Entschluss allerdings überholen.	This decision will soon be overtaken by events, however.
Ich bin sicher, dass die Bürger und die Parlamente sich einen Text besorgen werden und dann wirklich nachlesen, worum es hier geht.	I am sure that the public and the parliaments will obtain copies of the consolidated text for themselves and read up on what the Treaty is really all about.
Wir müssen jetzt in eine Phase eintreten, in der die Europäische Union von einer institutionellen Nabelschau wieder zu einer globalen Perspektive übergehen muss.	We must now enter a phase in which the European Union reverts from institutional navel-gazing to the adoption of a global outlook.
Wir müssen unserer weltwirtschaftlichen Verantwortung nachkommen.	We must discharge our international economic responsibility.
Die weltwirtschaftliche Gesamtlage lässt befürchten, dass unser Wachstum und die Zahl unserer Arbeitsplätze zurückgehen.	The general state of the world economy raises the spectre of slower growth and job losses in Europe.
Ich sehe in zahlreichen Mitgliedstaaten, auch in meinem eigenen Land, wieder eine Bequemlichkeit, einen erlahmenden Reformwillen.	In many Member States, including my own, I am aware of a reversion to complacency and a weakening of the will to enact reforms.
Das muss sich ändern.	That has to change.
Zum Zweiten müssen wir auch in der internationalen Politik unsere Rolle verantwortungsvoll wahrnehmen.	My second point is that we must play our role in international politics responsibly.
Die Menschen wünschen sich eine starke globale Rolle für die Europäische Union.	People want the European Union to have a strong global role.
Diese Verantwortung ist unsere!	The responsibility is ours.
