Herr Präsident! Herr Kommissar, Sie haben mit Sicherheit keine leichte Aufgabe.	Mr President, Commissioner, you certainly do not have an easy task.
Sie haben eines der schwierigsten Ressorts überhaupt zu verwalten.	You have one of the most difficult portfolios to deal with.
Der Bereich Handel/Außenwirtschaft sieht sich vollständig neuen Herausforderungen gegenübergestellt.	The area of trade/external trade is one which faces completely new challenges.
Seit vielen Jahren reden wir über Globalisierung, aber ich glaube, wir fangen überhaupt erst an zu begreifen, worum es geht.	We have been talking about globalisation for years, but I think we are only now beginning to understand what it is about.
Sie haben, als Sie in Ihrer berühmten Churchill-Rede, die Sie in Berlin gehalten haben, davon gesprochen, dass Europa neuen Herausforderungen unterworfen ist und dass sich die Herausforderungen seit dem Ende des Krieges geändert haben, weil unsere Koordinaten nicht mehr Berlin oder Paris wären, sondern unsere Koordinaten sind Bombay, Schanghai und die anderen großen Weltstädte dieser aufstrebenden Entwicklungsländer.	In your famous speech in Berlin, the Churchill Lecture, you said that Europe is exposed to new challenges and that since the end of the war, the challenges have changed because the frame of reference is no longer Berlin or Paris but Mumbai, Shanghai and the other major cities of the emerging economies.
Da teilen wir Ihre Meinung.	We share your view.
Sie haben völlig Recht.	You are absolutely right.
Wir bewerten das ähnlich wie Sie.	We see this just as you do.
Wir sehen die Herausforderungen, denen sich die Europäische Union stellen muss, in einem neuen internationalen und globalen Kontext.	We see the challenges which the European Union must face up to in a new international and global context.
China ist real.	China is real.
China ist nicht nur ein Mythos oder ein Bild, sondern China ist für uns alle eine Realität geworden und steht als Symbol für die Veränderung.	China is not just a myth or an image; China has become a reality to all of us and is a symbol of change.
Die Frage ist: Welche Schlussfolgerungen ziehen wir daraus?	The question is, which conclusions do we draw from this?
Sie ziehen die Schlussfolgerung, dass wir die Instrumente ändern müssen.	You conclude that we must change the instruments.
Sie ziehen die Schlussfolgerung, dass wir uns den Herausforderungen stellen müssen, indem wir die Handelsschutzinstrumente oder andere Bereiche anpassen.	You conclude that we must face up to the challenges by adapting the trade defence instruments or other areas.
In meiner Fraktion haben wir die endgültige Antwort nicht gefunden, aber wir haben auf jeden Fall sehr viel mehr Zweifel.	My group has not found the conclusive answer, but we certainly have many more doubts.
Wie Sie hören, wird dieser Zweifel in diesem Haus auch geteilt.	As you can hear, these doubts are shared in this House.
Wir haben Zweifel, weil die Schutzinstrumente bewährt sind.	We have doubts because these defence instruments have proved their worth.
Die Schutzinstrumente haben eine gewisse Flexibilität.	The defence instruments have a certain flexibility.
Die Schutzinstrumente können unterschiedlich interpretiert werden.	They can be interpreted in different ways.
Die Schutzinstrumente können die Interessen der unterschiedlichen Industrien berücksichtigen. Die Schutzinstrumente können das Gemeinschaftsinteresse unterschiedlich interpretieren.	They can take account of the different industry interests, and they can interpret the Community interest in different ways.
Der Test kann unterschiedlich angewandt werden. Ja, es ist nicht immer perfekt.	The test can be applied in different ways, and no, it is not always perfect.
Es hat im Übrigen wenig Fehler in Ihrem Haus gegeben.	Incidentally, I know that you have not made many mistakes.
Ich habe selbst zwei verfolgen können, wo die Bewertung falsch war. Aber ich denke, das wird auch mit neuen Instrumenten der Fall sein.	I myself can identify two points where the evaluation was wrong, but I think that will be the case with new instruments as well.
Das heißt: Wo soll der Kurs hingehen?	Where are we going then?
Sie sagen, Sie möchten den Kurs weiterführen, Sie möchten die Beratungen weiterführen.	You say you would like to continue down this road and you would like to continue the consultations.
Sie haben die Truhe noch nicht zugemacht.	You have not yet closed the drawer.
Also, wo soll der Kurs hingehen?	Where should this road take us then?
Wie sollen die Beratungen weitergeführt werden?	Where should the consultations take us?
Wie möchten Sie die Beratungen mit diesem Haus und mit dem zuständigen Ausschuss führen?	How would you like to conduct the consultations with this House and with the committee responsible?
Drei Fragen, die sich anschließen an das, was meine Kollegen gefragt haben.	These are three questions which follow on from what my colleagues have asked.
Ich wäre Ihnen sehr dankbar, wenn Sie darauf eingehen, weil ich jeden Tag E-Mails erhalte.	I would be most grateful for some information from you, as I am receiving e-mails every day.
Ist die Umstellung in Ihrem Haus ein Indikator, dass Sie die Umstellung in Richtung Ihrer angedeuteten Mitteilung weiterführen?	Are the changes taking place in your DG an indication that you are pursuing the restructuring with a view to your forthcoming communication?
Ist die technische Umgestaltung, die Sie offensichtlich in Ihrem Haus durchführen, ein Indikator dafür?	Are the technical changes which are apparently under way in your DG an indicator of this?
Kann auch die Nichtanwendung der Handelsschutzinstrumente im Jahr 2007 als Indikator interpretiert werden? Oder ist das ein Zufall und verweist auf andere Vorgänge?	Can the non-application of the trade defence instruments in 2007 also be interpreted as an indicator, or is it just coincidence, and other factors are in play?
