Heute begehen wir zum vierten Mal den Europäischen Tag der Opfer des Terrorismus.	Today we are commemorating the fourth European Day of the Victims of Terrorism.
Es ist ein Tag, den wir im Gedächtnis behalten müssen, um all der Menschen zu gedenken, die unschuldige Opfer von Terrorismus wurden.	It is a day that we must keep in our memory in order to remember all those who have been the innocent victims of terrorism.
Die Terroranschläge von Madrid am 11. März 2004 - also heute vor vier Jahren - und von London am 7. Juli 2005 forderten viele Opfer. Mit ihnen wurden viele Familien durch barbarischen Terrorismus zerrissen.	The terrorist attacks in Madrid on 11 March 2004 -four years ago today - and in London on 7 July 2005 claimed many victims and left many families torn apart by the barbarities of terrorism.
Am Freitag der vergangenen Woche hat die terroristische Organisation ETA erneut getötet.	Just last Friday, the terrorist organisation ETA assassinated again.
Isaías Carrasco, ein sozialistischer Kommunalpolitiker, wurde erschossen, als er sein Haus in Mondragón verließ.	Isaías Carrasco, a former Socialist councillor, was shot when he left his home in Mondragón.
Ich möchte seiner Familie und allen seinen Verwandten unser tief empfundenes Beileid aussprechen.	I wish to express our deepest condolences to all his family.
Als Präsident des Europäischen Parlaments und ganz persönlich möchte ich versichern, dass uns das Andenken an die Opfer des Terrorismus - wo immer in der Welt - im Gedächtnis bleiben wird.	As President of the European Parliament and on my own behalf, I should like to reassure you that the victims of terrorism - wherever they are in the world - will never be erased from our memories.
Heute widmen wir Isaías Carrasco und allen Opfern unser Gedenken, um den Opfern des Wahnsinns von Terroranschlägen unsere Achtung und unsere Anteilnahme zu versichern.	Today, we shall commemorate Isaías Carrasco and all the victims of terrorism, in order to assure the victims of the madness of terrorist attacks of our respect and our sympathy.
Sie sind und bleiben stets präsent in unseren Herzen und bei unserer Arbeit.	They are and will always remain present in our hearts and in our work.
Unsere Anteilnahme und unsere Solidarität mit allen Familien der Opfer ist für uns alle eine Pflicht.	Sympathy for and solidarity with all the families of the victims is a duty for all of us.
Das Europäische Parlament beteiligt sich aktiv an der Bekämpfung des Terrorismus und an der Unterstützung der Opfer von Terroranschlägen.	The European Parliament is actively involved in the fight against terrorism and in supporting the victims of terrorist attacks.
Ich kann nicht oft genug wiederholen, dass es keinerlei Rechtfertigung für Terrorismus gibt.	I cannot repeat often enough that there is absolutely no justification for terrorism.
Deshalb müssen wir in diesem Kampf auf der Grundlage des Rechts und mit der ganzen Kraft des Gesetzes gemeinsam vorgehen.	We must therefore take a united approach in this fight on the basis of the rule of law and with all the force of the law.
Liebe Kolleginnen und Kollegen, ich darf Sie bitten, sich zu einem stillen Gedenken der Opfer des Terrorismus von Ihren Plätzen zu erheben.	Ladies and gentlemen, please rise from your seats for a minute's silence in memory of the victims of terrorism.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute's silence.)
