Herr Präsident! Über die Milchquoten scheiden sich die Geister.	Mr President, opinions are divided on milk quotas.
Das hat sich auch in unserem Agrarausschuss gezeigt, der sich allerdings zu einem einstimmig angenommenen Kompromiss durchgerungen hat.	We have also seen this within our Committee on Agriculture and Rural Development, which has nevertheless accepted a unanimously agreed compromise.
Wenn das Europäische Parlament damit ein Signal in Richtung Kommission und Ministerrat senden will, so muss es aber auch wissen, dass die Bauern und ihre Vertreter nach wie vor gespalten sind.	If the European Parliament therefore wants to send out a signal to the Commission and the Council of Ministers, it should also be aware, however, that the farmers and their representatives are still divided.
Die einen können sich durchaus mit einer Erhöhung der Quoten um 2 oder mehr Prozent und somit mit einer sanften Landung vor der totalen Abschaffung der Quoten anfreunden.	Some are fully able to accept an increase in quotas of 2% or more and therefore a soft landing prior to the total abolition of quotas.
Diese wollen die Wachstumschancen durch eine bessere Ausschöpfung ihres Produktionspotenzials nutzen, weil die Absatzmöglichkeiten in der EU und auf dem Weltmarkt infolge der ständig wachsenden Nachfrage sehr attraktiv sind.	They want growth opportunities through better use of their production potential, because the market opportunities in the EU and on the world market as a result of constantly rising demand are very attractive.
Die anderen befürchten einen Einbruch der erst seit kurzem angemesseneren Produktionspreise, wenn größere Mengen Milch produziert würden.	Others fear a slump in production prices, which have only recently become fairer, if greater quantities of milk are produced.
Auch über die vom Agrarausschuss vorgeschlagene europäische Saldierung scheiden sich die Geister.	Opinions are also divided on the European balancing out proposed by the Committee on Agriculture.
Bedeutet das nicht schon jetzt bei einer Unterlieferung von 3 Millionen Tonnen EU-weit den Ausstieg aus dem nationalen Milchquotensystem?	Does this not now mean abandoning the national milk quota system when there is an undersupply of 3 million tonnes across Europe?
Wäre das Ziel nicht auch durch eine Verringerung der Superabgabe und eine Erhöhung der Fettquoten zu erreichen?	Would the target not be reached too by reducing the superlevy and increasing the dairy quotas?
Welcher Milchbauer hat den Mut zum Poker in den Ländern, wo - wie in Luxemburg - die Superabgabe für 2006-2007 schon wieder durch Überschreiten der Quoten fällig wird?	Which dairy farmer has the courage to play poker in the countries where - as in Luxembourg - the superlevy for 2006-2007 will once again be falling due by overshooting the quotas?
Weil für das Milchjahr 2008-2009 eine freiwillige Erhöhung der Milchquoten um 2 % Teil des Kompromisses ist, kann ich ihn mittragen.	Because a voluntary 2% increase in milk quotas for the 2008-2009 milk year is part of the compromise, I am able to support it.
Mir gefällt an unserem Bericht besonders die Aufforderung, ein Milchfondsrestrukturierungsprogramm einzurichten.	I am particularly pleased with our report's request to set up a milk fund restructuring programme.
Ich finde es äußerst wichtig, dass kurzfristig eine Analyse der wirtschaftlichen, sozialen und ökologischen Auswirkungen der Anhebung der Milchquoten sowie ein Bericht über das Verbraucherverhalten gefordert wird, wobei ausdrücklich verlangt wird, die besonderen Gegebenheiten der Milchproduktion in benachteiligten Regionen, wie Luxemburg, mit schwierigen Produktionsbedingungen zu berücksichtigen.	I think it is extremely important that an analysis of the economic, social and ecological effects of increasing the milk quotas and a report on consumer behaviour will shortly be demanded that expressly calls for consideration of the particular factors of milk production in disadvantaged regions such as Luxembourg, with difficult production conditions.
Das für den Milchsektor vorgesehene Geld muss diesem erhalten bleiben.	The money planned for the milk sector must continue.
Es muss auch klargestellt werden, dass an den höheren Preisen für Lebensmittel die endlich angemesseneren Produzentenpreise nur geringfügig schuld sind.	It must also be clarified that producer prices, which are fairer in the long run, are only marginally to blame for higher prices for food.
Da segnen sich wieder die Zwischenhändler und die dominierenden Lebensmittelketten.	Distributors and the dominant food chains are continually counting their blessings here.
