Nach der Tagesordnung folgen die Erklärungen des Rates und der Kommission über die Lage in Tibet.	The next item is the Council and Commission statements on the situation in Tibet.
Das Europäische Parlament setzt sich seit vielen Jahren entschlossen für die Beachtung der Menschenrechte in Tibet ein.	For many years now the European Parliament has resolutely championed the cause of human rights in Tibet.
In zahlreichen Entschließungen haben wir einen konstruktiven Dialog der chinesischen Führung mit dem Dalai Lama sowie die Beachtung der Menschenrechte des tibetischen Volkes gefordert.	In numerous resolutions we have called for a constructive dialogue between the Chinese leadership and the Dalai Lama and respect for the human rights of the Tibetan people.
Dabei lassen wir uns von unseren Prinzipien und unseren Werten leiten, die die fundamentalen Menschenrechte beinhalten: die Würde jedes einzelnen Menschen, für sich und seine ethnische Gemeinschaft die kulturelle und religiöse Identität zu verwirklichen.	In doing so, we are guided by our principles and values, of which fundamental rights are an integral part: the dignity of each and every individual, and the realisation of their own and their ethnic community's cultural and religious identity are the values we espouse.
Die Ereignisse, die in Lhasa, der Hauptstadt Tibets, sowie in anderen chinesischen Städten seit dem 10. März dieses Jahres stattgefunden haben, sind in höchstem Maße beunruhigend.	The events in Lhasa, the capital of Tibet, and in other Chinese cities since 10 March this year are deeply disturbing.
Wir verurteilen jede Form der Gewalt und den unverhältnismäßigen Einsatz militärischer und polizeilicher Mittel.	We condemn every form of violence and the disproportionate use of the military and police.
(Beifall)	(Applause)
Wir verurteilen den Tod friedlicher Menschen.	We condemn the deaths of people who were acting peacefully.
Wir erklären unsere Solidarität mit dem Dalai Lama, einer Persönlichkeit des Friedens, der Verständigung und des Ausgleichs.	We declare our solidarity with the Dalai Lama, who is a symbol of peace, understanding and compromise.
Wir dürfen es nicht zulassen, dass der Dalai Lama in einen Zusammenhang mit dem Terrorismus gebracht wird.	We cannot allow a situation in which the Dalai Lama's name is linked with terrorism.
(Beifall)	(Applause)
Wir dürfen die Dämonisierung des Dalai Lama nicht zulassen.	We cannot allow the demonisation of the Dalai Lama.
Ich erkläre für mich ganz persönlich: Bei meinen Begegnungen mit dem Dalai Lama hatte ich immer den Eindruck von einer Persönlichkeit, die zutiefst dem Frieden, der Versöhnung und den Menschenrechten verpflichtet ist.	On a personal note, may I say that whenever I have met the Dalai Lama, the impression that I have always gained is of a person with a profound commitment to peace, reconciliation and human rights.
Ich vertraue dem Dalai Lama und spreche ihm meine Wertschätzung und Hochachtung aus.	I have every confidence and trust in the Dalai Lama and wish to convey my great respect and appreciation to him.
Deswegen fordere ich die Verantwortlichen in Peking auf, mit dem Dalai Lama zu verhandeln und unter Beachtung der territorialen Einheit Chinas eine Verständigung zu finden, die die kulturelle und religiöse Identität des tibetischen Volkes achtet und gewährleistet.	I therefore call on those in power in Beijing to negotiate with the Dalai Lama and, while upholding the territorial integrity of China, to reach an understanding that respects and guarantees the cultural and religious identity of the Tibetan people.
Der Dalai Lama hat unsere Einladung angenommen, um im Europäischen Jahr des Dialogs der Kulturen vor dem Europäischen Parlament zu sprechen. Dies ist für den Monat Dezember vorgesehen.	The Dalai Lama has accepted our invitation to address the European Parliament as part of the European Year of Intercultural Dialogue, and this has been scheduled for the month of December.
Ich hoffe, Sie stimmen mir zu: Angesichts der Ereignisse in Tibet ist der Dalai Lama zu jedem Zeitpunkt im Europäischen Parlament willkommen.	However, I hope you will agree that in light of recent events in Tibet, the Dalai Lama is welcome here in the European Parliament at any time.
(Beifall)	(Applause)
Dialog und Zusammenarbeit zwischen der Europäischen Union und China sind in gegenseitigem Interesse.	Dialogue and cooperation between the European Union and China are in our mutual interests.
China ist eine große Nation, mit der wir partnerschaftlich kooperieren wollen.	China is a great nation and we wish to cooperate with China on the basis of partnership.
China ist in wenigen Monaten Gastgeber der Olympischen Spiele.	In a few months' time, China will host the Olympic Games.
Wir wollen, dass diese Spiele erfolgreich sind.	We want these Games to be a success.
Doch dies hat Voraussetzungen: die Respektierung der kulturellen und religiösen Identität des tibetischen Volkes sowie eine freie und faire Berichterstattung vor und während der Spiele.	However, there are certain preconditions for this: respect for the cultural and religious identity of the Tibetan people, and free and fair reporting before and during the games.
Es ist daher zu verurteilen, dass Journalisten und Korrespondenten aus Tibet ausgewiesen wurden.	The fact that journalists and correspondents have been expelled from Tibet must therefore be condemned.
Und ich sage jetzt - als einer, der sich sehr gefreut hat, zusammen mit den Präsidenten der anderen Institutionen an der Eröffnungsfeier der Olympischen Spiele in Peking teilzunehmen - sehr bewusst hier, vor dem Plenum des Europäischen Parlaments: Jeder verantwortungsbewusste Politiker muss sich die Frage stellen, ob er an der Eröffnungsveranstaltung teilnehmen kann, wenn die chinesische Führung sich nicht um Dialog und Ausgleich bemüht.	As someone who was very pleased to be attending the opening ceremony of the Games in Beijing together with the Presidents of the other institutions, let me make one thing very clear, here and now, in the plenary sitting of the European Parliament: every politician with a sense of responsibility must ask themselves whether they can take part in the opening ceremony if the Chinese leadership does not seek dialogue and compromise.
(Beifall)	(Applause)
Liebe Kolleginnen und Kollegen! Wir wollen unseren Beitrag leisten, dass die Sportler der Welt sich in Peking in fairen und freien Wettkämpfen begegnen können.	Ladies and gentlemen, we wish to make our contribution so that the world's athletes can meet in fair and free competition in Beijing.
Aber unsere Werte und unsere Selbstachtung verlangen von uns, dass wir unsere Prinzipien dabei nicht aufgeben.	However, our values and our self-respect will not allow us to surrender our principles.
Wir als Europäisches Parlament haben dabei eine ganz besondere Verantwortung.	We in the European Parliament have a special responsibility in this regard.
(Die Mitglieder des Parlaments erheben sich und spenden lang anhaltenden Beifall.)	(The House rose and accorded the speaker a standing ovation)
