schriftlich. - Derzeit sind knapp 1000 Patienten in Österreich zur Transplantation angemeldet.	Today, almost a thousand patients are registered for transplants in Austria.
Leider erleben nicht alle dieser schwerkranken Patienten die rettende Transplantation.	Unfortunately not all these seriously ill patients will get the transplant that may save them.
Jährlich versterben etwa 150 Patienten während der Wartezeit, da die Zahl der verfügbaren Spende-Organe sehr limitiert ist.	Every year some 150 patients die while awaiting a transplant because of the very limited number of available donor organs.
Organmangel ist eine große Herausforderung, vor der wir in Europa stehen.	Organ shortage is a major challenge facing Europe.
Aus diesen Gründen ist eine Richtlinie zur Qualität und Sicherheit von Organspenden erforderlich.	That is why we need a directive on the quality and safety of organ donations.
Eine Zusammenarbeit zwischen den Mitgliedstaaten und der Austausch guter Praktiken sind jedoch genauso notwendig.	Equally, however, we need cooperation between Member States and an exchange of good practice.
Derzeit bestehen innerhalb Europas erhebliche Unterschiede in der Zahl der Organspenden sowie der Transplantationsquote.	There are, currently, considerable differences within Europe in the number of organ donations and in the transplant quota.
Die Zusammenarbeit zwischen den Mitgliedstaaten sollte sich darauf konzentrieren, die effizientesten Systeme zu ermitteln, Erfahrungen auszutauschen und bewährte Verfahren zu fördern.	Cooperation among Member States should focus on discovering the most efficient systems, exchanging experience and promoting well-established procedures.
Die Mitgliedstaaten müssen voneinander lernen.	Member States must learn from one another.
Ich bin davon überzeugt, dass die Lebendspende immer nur komplementär zur Post-mortem-Spende bleiben sollte.	I am convinced that live donation should always remain complementary to post-mortem donation.
Darüber hinaus ist es wichtig, dass die Spenden freiwillig bleiben und unentgeltlich erfolgen.	Moreover, it is important for donations to remain voluntary and unpaid.
Geldtransfers zwischen Spender und Empfänger sind unakzeptabel.	Transfers of money between donor and recipient are unacceptable.
Kommission und Mitgliedstaaten müssen Maßnahmen ergreifen, um Transplantationstourismus und den illegalen Organhandel besser zu bekämpfen.	The Commission and the Member States must take measures to combat transplant tourism and the illegal trade in organs more effectively.
