im Namen der Verts/ALE-Fraktion. - Herr Präsident, werte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, cabotage sounds like a good idea.
Von der Idee her ist Kabotage natürlich eine gute Sache. Durch die Vermeidung von Leerfahrten spart man ja auch Emissionen, und schließlich soll auch der Verkehrssektor endlich damit beginnen, Emissionen einzusparen.	Preventing unladen journeys also reduces emissions and, after all, the transport sector also has an obligation to finally start reducing emissions.
Schade ist nur, dass diese Regelung in der Vergangenheit sehr häufig missbraucht wurde, um Sozialstandards auszuhebeln und mit Dumpingpreisen Marktanteile zu gewinnen.	It is just a pity that, in the past, this regulation was frequently abused, to disregard social standards and to use dumping prices to gain market share.
Deswegen hat der Berichterstatter dankenswerterweise hier einen Zugang gewählt, der das berücksichtigt.	The rapporteur has therefore generously chosen an approach that takes this into account.
Entscheidend - und das ist auch mein Appell an die Mitgliedstaaten - ist die Kontrolle dessen, was hier beschlossen wird, ansonsten kann das Ganze nicht funktionieren.	Monitoring of everything that is decided here is crucial - and that is also my appeal to the Member States. Otherwise, none of it will work.
Diesem Teil des Pakets kann ich also zustimmen.	I can therefore agree with this part of the package.
Etwas anders sieht es aus beim Bericht über den Busverkehr. Hier wurde von einem Teil des Verkehrsausschusses der Wunsch geäußert, die berühmte 12-Tage-Regelung für die Lenk- und Ruhezeiten wieder aufzunehmen, und die sehr gut organisierte Buslobby hat uns nun seit Monaten mit einem Übermaß an Informationen versorgt, um dies zu erreichen.	That is not quite the case with the report on coach transport, however, where some members of the Committee on Transport and Tourism expressed a wish to include the famous 12-day rule on driving and rest times again, and the very well organised bus lobby has been providing us with an excessive amount of information for months on end, in order to achieve this.
Allerdings wurde in viel zu geringem Maße die Meinung der in diesem Bereich beschäftigten Arbeitnehmerinnen und Arbeitnehmer eingeholt.	However, far too little effort was made to canvas the opinions of employees working in this industry.
Dieser Regelung könnte ich nach den Änderungsanträgen allein nicht zustimmen.	I could not support this regulation, purely because of the amendments.
Wenn aber eine Einigung zwischen den Sozialpartnern zustande kommt, also zwischen den Unternehmern und anderen, die davon betroffen sind - es sind auch Menschen betroffen, die nicht gewerkschaftlich organisiert sind, wir haben in diesem Bereich einen sehr geringen Organisationsgrad -, dann will ich, dass diese Regelung mitaufgenommen wird.	However, if an agreement between the social partners comes about - I mean between the companies and the others who are affected, because this includes people who are not part of any union, as this sector has a particularly low level of union membership - then I would like the regulation to be accepted as well.
Das muss man abwarten.	We will just have to wait and see.
Diese Fairness muss man haben, wenn man die Sozialpartnerschaft anerkennt.	It is only fair to do so, if we recognise social partnership.
Deswegen lassen Sie uns diesen Teil verschieben und später eine bessere und kluge Lösung finden, damit wir nicht nachverhandeln müssen und dann vielleicht nichts mehr erreichen können.	Therefore, let us postpone this part and find a better, prudent solution later, so that we do not have to renegotiate afterwards and find ourselves in a position where we may not be able to achieve anything further.
