Frau Präsidentin! Ich glaube, wir können der Berichterstatterin gratulieren.	Madam President, I believe we can congratulate the rapporteur.
Sie hat doch ein ordentliches Ergebnis mit dem Rat erzielen können.	She has certainly managed to achieve an acceptable outcome with the Council.
Insbesondere möchte ich hervorheben, dass die abweichende Hierarchie umgesetzt werden konnte.	I particularly wish to emphasise the inclusion of the divergent waste hierarchy.
Es gibt aber auch negative Punkte, die eigentlich unverständlich sind und vom Rat in dieses Dokument eingebracht wurden.	There are, however, minus points, which are truly incomprehensible and which were put into this document by the Council.
Dies betrifft einerseits die tierischen Nebenprodukte.	The first of these relates to animal by-products.
Bisher hatten wir im Ausschuss festgelegt, dass tierische Nebenprodukte aus dieser Abfallrahmenrichtlinie herausfallen.	We had established in committee that animal by-products would be dropped from this framework waste directive.
Was der Rat jetzt gemacht hat, ist eine solche bürokratische Hürde, die einen Landwirt eigentlich auf die Barrikade treiben müsste.	What the Council has now done is to erect the sort of bureaucratic obstacle that drives farmers to the barricades.
Da wird festgelegt, dass Gülle, die zu Biogas verarbeitet wird, plötzlich Abfall ist.	It lays down that slurry processed into biogas suddenly becomes a waste product.
Wissen Sie, was das bedeutet?	Do you know what this means?
Das bedeutet, dass der Landwirt eine Genehmigung zur Verarbeitung von Abfall einholen muss, dass er genau darlegen muss, um welche Menge und um welche Art von Abfall es geht, und er muss den Standort angeben.	It means that farmers will need a waste-treatment licence and will have to specify the precise volume and nature of the waste to be treated and the place of treatment.
In der Richtlinie für Nebenprodukte ist es genau festgelegt, dass es für Gülle Ausnahmen gibt.	The Animal By-products Regulation lays down explicitly that exceptions apply to slurry.
Wenn der Bauer die Gülle also auf den Acker bringt, dann hat er es einfacher als wenn er sie zu Biogas verarbeitet.	It would now therefore be easier for a farmer to spread slurry on his fields than to process it into biogas.
Eine Methode, wie wir eigentlich fördern wollen, belegen wir jetzt mit bürokratischen Hürden.	In other words, we are creating bureaucratic obstacles to a practice we actually seek to encourage.
Der zweite Punkt ist die Frage des Altöls.	The second point concerns waste oil.
Bisher war in der Altöl-Rahmenrichtlinie - die ja jetzt aufgehoben wird - festgelegt, dass Altöl verarbeitet wird und wieder gewonnen werden soll.	The Waste Oil Directive - which, as you know, is now to be repealed - stipulates that waste oils are to be treated and regenerated.
Es sind große Mengen, die da umgesetzt werden.	There are large volumes being processed under that directive.
Natürlich stand schon fest, dass dies nicht gelten soll, wenn es wirtschaftlich nicht sinnvoll und technisch nicht umsetzbar ist.	It has already been established, of course, that waste oils need not be treated in cases where regeneration is not economically viable or technically possible.
Jetzt wurde festgelegt, dass die Mitgliedstaaten entscheiden sollen.	It has now been laid down that the Member States are to decide.
Ja, sind wir nun eine Europäische Union oder sind wir wieder Mitgliedstaaten?	Well, are we now a European Union or have we reverted to a collection of Member States?
Wir brechen also hier ganz klar den Markt wieder auf.	The fact is that we are quite clearly breaking up the market again.
Ich halte das für sehr bedenklich.	I find that very disquieting.
Nun zur Frage der Autarchieausweitung.	Let me move on to the question of increased self-sufficiency.
Die Kommunen bestimmen nun, wer, wann, was entsorgt.	Local authorities will now determine who may dispose of what and when.
Natürlich war der Druck der Kommunen, die die Verbrennungsanlagen nicht auslasten sehr stark.	Needless to say, there was a great deal of pressure from local authorities with spare incineration capacity.
Aber das ist der falsche Weg.	That, however, is the wrong way to go.
So kann es nicht gehen, und diese Ausweitung bremst die Marktwirtschaft in dieser Frage völlig aus.	It is not an option, and this extension is causing the market economy to grind to a complete halt in the realm of waste management.
