im Namen der PPE-DE-Fraktion. - Herr Präsident, meine sehr verehrten Damen und Herren!	Mr President, ladies and gentlemen, I, too, would like to thank the rapporteur.
Auch ich möchte mich beim Berichterstatter bedanken. Seit einigen Tagen gehen mir zum Thema Beitritt der Slowakei zur Eurozone zusätzliche Gedanken durch den Kopf.	I have been having a few additional thoughts about Slovakia's accession to the euro area over the last few days.
Die EVP wird diesem Bericht zustimmen. Wir haben nach den Ereignissen der Veränderung der Krone zum Euro noch einmal entsprechende Änderungsanträge und Kompromissänderungsanträge eingereicht, weil diese über die 15 % hinausgehende Veränderung auch im Parlament zu einem Disput geführt hat.	The Group of the European People's Party (Christian Democrats) and European Democrats will be voting in favour of this report. Based on the events surrounding the change from the koruna to the euro, we again submitted relevant amendments and compromise proposals because this change, which was more than the allowable 15% fluctuation, led to a dispute in Parliament too.
Wir können eigentlich die Kommission nur bitten - und nicht nur bitten, sondern sogar auffordern -, mitzuhelfen, dass für zukünftige Beitritte bestimmte Kriterien, die im Vertrag festgelegt sind, konkretisiert werden.	All we can do is ask of the Commission - and not just ask, but actually insist - that it helps out here so that for future adoptions of the single currency, the criteria that are already laid down in the Treaty will be made specific.
Seitdem ich im Europäischen Parlament bin, war ich bei allen neuen Beitritten dabei.	Since becoming a Member of the European Parliament, I have been present every time a new country has adopted the single currency.
Jedes Mal wurden uns neue Argumente präsentiert, wie insbesondere dieses: Die bisherigen Staaten konnten es ja auch so machen. Und dann werden wir hier eine endlose Geschichte bekommen.	Each time, we have been presented with new arguments, including the one that 'after all, the previous states were able to do it this way too', and this will become a neverending story.
Für mich ist es wichtig, dass wir den Beitritt zur Eurozone viel weniger als eine Frage der nationalen Ehre ansehen als vielmehr ein Ziel der Objektivierung der Kriterien, was gut für den Staat ist, der beitritt.	I consider it important that we see joining the euro area less as a matter of national honour and more as a goal of making the criteria more objective, which is good for the state that is joining.
Die Aufwertung der Krone um über 17 % ist sicherlich ökonomisch gerechtfertigt.	The upward revaluation of the koruna by more than 17% is certainly economically justified.
Ob es richtig war, den Zeitpunkt der Aufwertung mit dem Beitritt zur Eurozone zu kombinieren, ist eine andere Frage.	Whether it was right to combine the timing of the revaluation with entry to the euro area is another matter.
Daher sollten wir alles daran setzen, damit der Euro und die Gesamtwirtschaft etwas Gutes bringen, und uns nicht auf den Gesichtspunkt einer kurzfristigen politischen Lage, ob europäisch oder national, beschränken.	Therefore, we should do everything possible to ensure that the euro and the overall economy achieve something good, rather than restricting ourselves to the point of view of a political situation of limited duration, whether European or national.
Lassen Sie mich noch kurz darauf eingehen, was am Donnerstag passiert ist.	Let me mention briefly what happened on Thursday.
Ich halte es für falsch, wenn das Europäische Parlament - und wir werden ja morgen eine große Debatte dazu haben - immer wieder darüber hinweggeht.	I think it is wrong for the European Parliament to ignore this repeatedly, and we will have a major debate about this tomorrow.
Wir werden heute über den Beitritt der Slowakei zur Eurozone abstimmen und der ECOFIN im Juli.	We will vote today on whether Slovakia should join the euro area and ECOFIN will do so in July.
Wir haben aber am Donnerstag erlebt, dass ein Euroland gesagt hat: Wir wollen diese Europäische Union nicht so, wie sie ist!	We saw on Thursday how one member of the euro area said that it did not want the European Union to be the way it is.
Herr Kommissar, Ihre Heimat hat ja dann gleich mit hohen Repräsentanten in dieses Lied eingestimmt.	High representatives of your home country then chimed in along the same lines, Commissioner.
Der Euro war nie ein Endpunkt.	The euro was never an end in itself.
Der Euro war immer eine Station auf dem Weg zu einer weiteren Entwicklung der Europäischen Union.	The euro was always just a marker along the way to further development of the European Union.
Und alle zusammen - leider ist der Rat nicht da - stellen zurzeit die Frage: Wie geht es mit Europa weiter?	Now - although the Council is not here, unfortunately - everyone is asking the same question: where to with Europe now?
Was sind die nächsten konkreten Schritte?	What are the next specific steps?
Manche reden jetzt vom Kern Europas, von anderen Alternativen, manche sagen, Erweiterungsstopp, aber manche tun auch so, als würde sich nichts ändern.	Some are talking about the core of Europe, others of alternatives, still others are saying we should stop expanding, but some are behaving as if nothing will change.
Darum werden wir erst einmal einen weiteren Start zum Euro aufnehmen und dann vielleicht wieder einen.	Therefore, we will try again with the euro, and even try again after that.
Wir sollten bei unseren Entscheidungen jedoch auch die politischen Realitäten in der Europäischen Union wahrnehmen. Darum habe ich bei der heutigen Abstimmung ein gespaltenes Gefühl dabei, ob es der richtige Weg ist, das Votum - die Realität in Europa - einfach zu ignorieren.	However, when we make these decisions, we should bear in mind the political realities in the European Union, so when we vote today, I will have very mixed feelings about whether simply ignoring the vote - the reality in Europe - is really the right thing to do.
