Herr Präsident! Ich möchte mich dem Lob für die Präsidentschaft anschließen!	Mr President, I should like to add my voice to the praise given to the Presidency.
Ich glaube, dass sie sehr viel Gutes geleistet hat.	I believe that it has achieved a great deal of good.
Ich erwähne z. B. den Beginn der Verhandlungen mit Russland über ein Partnerschaftsabkommen.	The example that I would give is the launch of negotiations with Russia on a partnership agreement.
Das wird nicht leicht sein, weil wir viele unterschiedliche Auffassungen haben, aber diese Verhandlungen und dieser Dialog sind absolut notwendig.	That will be no easy task, as we have many different opinions, but these negotiations and this dialogue are absolutely necessary.
Ich möchte mich auch bedanken für die Vorbereitungen, was die Mittelmeerunion betrifft, und auch für das, was aus meiner Sicht eine "Union für das Schwarze Meer" werden soll.	I should also like to offer my thanks for the preparations that have been made as far as the Mediterranean Union is concerned and also for what, in my view, will become a 'Union for the Black Sea'.
Ich hoffe, dass dieser so genannten Ost-Dimension mehr Kraft gegeben wird, gerade auch - wenn die Kommission das vorbereitet -, weil das eine Region ist, die für unsere Energieversorgung und viele andere Fragen sehr wichtig ist.	I hope that this 'Eastern dimension' will be strengthened, especially - if the Commission is devising the strategy - since it is a region that is extremely important for our energy supply, as well as a host of other issues.
Lassen Sie mich aber auf die Frage Südosteuropa-Balkanregion konzentrieren.	However, allow me to focus on the issue of south-eastern Europe and the Balkans.
Ich glaube, wir müssen zwei Dinge klarstellen.	I think that we need to clarify two points.
Der Integrationsprozess in dieser Region, für die Sie sehr viel getan haben, muss weitergehen.	The process of integration in this region, for which you have done a great deal, must continue.
Wir würden uns selbst schaden, würden wir diesem Integrationsprozess einen Riegel vorschieben.	We would do ourselves harm, were we to put a stop to this integration process.
Es sollte aber auch klar sein - und hier erwarte ich mir vom Rat eine klare Aussage -, dass Erweiterungen erst nach den institutionellen Reformen vollzogen werden können.	However, it should also be understood - and I expect a clear statement from the Council in this regard - that enlargements can be completed only after institutional reforms.
Und das ist für uns heute der Lissabon-Vertrag.	In our view, that is now the purpose of the Lisbon Treaty.
Das sind zwei Dinge, die wir parallel führen müssen.	These are two issues that we must address in parallel.
Wir dürfen diese Verhandlungen nicht unterbrechen.	We must not suspend these negotiations.
Wir müssen die Stabilität in dieser Region vorantreiben, aber wir müssen auch klar sagen - und hier stören mich die unterschiedlichen Auffassungen im Rat -, dass wir zuerst in unserem eigenen Bereich institutionelle Reformen vollziehen müssen, damit wir auch erweiterungsfähig sind, und die neuen Staaten - Kroatien und die anderen Länder - dann auch wirklich beitreten können.	We must promote stability in this region, but we must also state very clearly - and here I am concerned by the different views held at Council level - that we must first implement institutional reforms ourselves, so that we, too, are fit for enlargement, and then the new states - Croatia and the other countries - really will be able to join.
Hier eine klare Aussage zu geben, ist auch für den Rat ganz wichtig.	It is also essential for the Council to make a clear statement in this regard.
Jedenfalls ist das unsere Meinung!	In any event, that is our opinion!
(Beifall)	(Applause)
