Berichterstatter. - Frau Präsidentin!	Madam President, allow me to make three further comments.
Auch nur drei Bemerkungen: Erstens hätte ich gerne Angelika Beer gesagt, dass ich keine Angst vor meiner eigenen Fraktion habe und diese Auseinandersetzung gerne führe.	Firstly, I would like to say to Mrs Beer that I am not afraid of my own group and would be fully up for this debate.
Einer der furchtbarsten Änderungsanträge zu meinem Bericht im Ausschuss kam aus meiner Fraktion, wo gesagt wurde, es hätte keine positiven Veränderungen in Afghanistan gegeben.	One of the most dreadful amendments to my report in committee came from my group: it stated that there had been no positive changes in Afghanistan.
Diese Arroganz empört mich wirklich.	The arrogance of this really incenses me.
Ich finde, dass wir an Afghanistan alle sehr realistisch und differenziert herangehen müssen.	I believe that we all need to take a very realistic and discriminating attitude towards Afghanistan.
Das ist eine reiche, widerspruchsvolle, vielfältige Gesellschaft, und die Probleme sind es erst recht.	That country has a society that is not only rich but also contradictory and multifaceted, and the problems facing us are even more so.
Zweitens: Manche Kollegen haben gesagt, wir müssen die Verantwortung für Afghanistan unter dem Gesichtspunkt des Terrors, des Drogenanbaus, der Korruption etc. wahrnehmen.	Secondly, many colleagues and fellow Members have said to me that we need to shoulder our responsibilities towards Afghanistan when it comes to dealing with terrorism, opium growing, corruption and so on.
Manche meiner linken Kollegen würden vielleicht sagen unter einem Gesichtspunkt von Besatzung.	Many of my left-wing colleagues would possibly say that this applies to the occupation too.
Mein Gesichtspunkt, das habe ich versucht, deutlich zu machen, sind die Interessen eines Volkes, das dreißig Jahre Krieg gehabt hat.	My own personal viewpoint, which I have tried to make clear, has to do with the interests of a people who have lived through 30 years of war.
Ich denke, dass da viel im Bericht enthalten ist, dafür noch mal meinen Dank an alle Beteiligten und an alle Fraktionen.	I think that much of this is in the report and for this I would again thank all those persons and all those groups involved.
Drittens: Auch wenn ich zu wichtigen Teilen des Berichts im Dissens stehe, werde ich doch gerne in meinem fortgesetzten Engagement für Afghanistan mit diesem Bericht arbeiten.	Thirdly, while I disagree with important parts of the text I am happy to continue to work on the report as part of my ongoing commitment to Afghanistan.
Das steht außer Frage!	There is no question of that.
