(Beifall)	(Applause)
Es gab einen einzigen Fall, bei dem ein Ratspräsident noch mehr gefeiert wurde, aber nur bei der Eröffnung.	There has been only one other time that a President-in-Office of the Council was received even more warmly, but that was only at the opening.
Am Ende hatte er auf der Agenda nichts vorzuweisen.	By the end, he had delivered nothing on the agenda.
Das war der britische Premier Blair.	That was the British Prime Minister, Tony Blair.
Wir sind sicher, Herr Präsident Sarkozy, dass Sie Ihre Ratspräsidentschaft in einem halben Jahr mit guten Ergebnissen beenden werden.	We are sure, President Sarkozy, that you will finish your Council Presidency in six months' time with good results.
Gerade Ihre Argumentation heute - wie Sie mit den Argumenten der Kollegen umgehen, wie Sie in die Dossiers eingearbeitet sind, dass Sie hier keinen Wunschzettel vortragen, sondern Ihre Schwerpunkte argumentativ vortragen - macht mir Hoffnung, dass Sie Ihr ehrgeiziges Programm auch tatsächlich durchführen können.	The way you have explained everything today - the way you have dealt with points put by our Members, the fact that you have familiarised yourself with the dossiers, and that you are not presenting a 'wish list' but a series of priorities backed up by good reasoning - all this gives me hope that you are indeed capable of carrying out your ambitious programme.
Wenn es darum geht, im Klimapaket mit Ihnen zusammen einen Abschluss zu finden, können Sie mit der Unterstützung des Parlaments rechnen.	If it is a matter of working with you to bring the climate package to completion, you can count on the support of this Parliament.
Ich befürchte eher, dass es im Rat, bei der Verantwortung des Rates und der einzelnen Mitgliedstaaten noch Probleme geben wird, dass man dort die anvisierten Quoten nicht akzeptieren wird.	However, I fear it is more likely that there will be further problems within the Council, problems with the responsibility of the Council and of the individual Member States: that the quotas envisaged will not be accepted there.
Wir stimmen auch mit Ihnen überein, dass die Kernenergie ihre Rolle in diesem Klimapaket braucht.	We also agree with you that nuclear energy needs to be represented in this climate package.
Hier in diesem Parlament gibt es eine klare Mehrheit für die zivile Nutzung der Kernenergie.	Here in this Parliament there is a clear majority in favour of the civil use of nuclear energy.
Lassen Sie sich von diesen T-Shirts nicht irritieren.	Do not let those T-shirts confuse you.
Wenn es darum geht, dass Deutschland und Frankreich zusammen die Führerschaft in der Europäischen Union bei inhaltlichen Fragen übernehmen wollen - nicht bei großen Deklarationen weltpolitischer Art -, dann haben Sie uns auf Ihrer Seite.	When it comes to Germany and France wanting to take over the leadership of the European Union together in matters of content - not for major declarations of a global political nature - then we are on your side.
Ich muss Ihnen sagen, die Kollegin Koch-Mehrin hat offensichtlich nicht zugehört, als Sie Ihre Begründung für China geliefert haben.	I must tell you that Mrs Koch-Mehrin was obviously not listening when you explained the reasons behind your position on China.
Das war eine außenpolitische Lehrstunde für dieses Parlament, und ich kann Sie nur bestärken: Bleiben Sie so konsequent und gradlinig, wie Sie auch in diesen Fragen waren!	That was a foreign affairs tutorial for this Parliament, and I can only encourage you to remain as consistent and undeviating as you have been in these matters.
