Herr Präsident! Ich habe nur Fragen zu stellen: Warum so spät, und warum so sachte?	Mr President, I merely have a list of questions to ask. Why so little so late?
Warum erklären wir im September letzten Jahres, dass wir das Jahr 2008 zum Jahr des Sozialen ausrufen, zählen es aber nicht zu den Prioritäten der Ratspräsidentschaft?	Why did we declare last September that 2008 was to be the year of Social Europe but not regard social welfare as one of the priorities of the Council Presidency?
Warum hat die Rechte bei der Dienstleistungsrichtlinie jahrelang gegen die sozialen Rechte gekämpft, wenn sie heute behauptet, wir seien doch ganz sozial?	Why did the Right wage such a lengthy struggle against social rights in the Services Directive if they are portraying themselves today as true advocates of social justice?
Warum wurde im Juli in meinem Ausschuss gegen den Bericht Hamon und für den Bericht Handzlik gestimmt, also genau das Gegenteil von dem, was heute hier erklärt worden ist?	Why did my committee vote in July against the Hamon report and in favour of the Handzlik report, the exact opposite of what has been stated here today?
Warum ist das denn so?	Why have these things happened?
Seien Sie doch ehrlich und sagen Sie, was Sie machen, anstatt den Bürgerinnen und Bürgern das Gegenteil zu sagen!	Please be honest and say what you are really doing instead of giving the public the opposite message.
Darum muss ich Sie einfach einmal bitten, das ist wirklich notwendig.	I simply must ask you to do that; it is really vital.
Aber warum ist das so?	But why do you pursue such policies?
Schlicht und einfach deshalb, weil Ihr Rechten die falsche Philosophie habt.	Purely and simply because you on the Right have espoused the wrong philosophy.
Ihr geht davon aus, dass die Menschen für die Wirtschaft da sind.	You assume that people are there to serve the economy.
Wir Sozialdemokraten sagen, das Gegenteil ist wahr: Die Wirtschaft ist für die Menschen da, und so müssen wir Politik gestalten.	We Socialists take the opposite view, namely that the economy is there to serve the people, and we must fashion our policies accordingly.
