Gestern Abend hat die terroristische Organisation ETA erneut gemordet.	Yesterday another murder was committed by the terrorist organisation ETA.
Ein 46-jähriger Militäroffizier, Luis Conde de la Cruz, ist in Nordspanien durch eine Autobombe ums Leben gekommen.	A 46-year-old army sergeant-major, Luis Conde de la Cruz, was killed by a car bomb in northern Spain.
Es war dies die dritte Autobombe, die innerhalb von 24 Stunden in Spanien explodierte.	This was the third car bomb to explode in Spain within 24 hours.
Bei den drei Anschlägen wurden mehrere Menschen verletzt, einer davon schwer.	Several people were injured in the three blasts, one of them seriously.
Das Europäische Parlament verurteilt diese terroristischen Akte aufs Schärfste und möchte seiner tiefen Besorgnis Ausdruck verleihen.	The European Parliament strongly condemns this act of terrorism and wishes to express its deep concern.
Im Namen des Europäischen Parlaments möchte ich der Familie und allen Verwandten des Offiziers Luis Conde de la Cruz mein tiefempfundenes Beileid aussprechen sowie unsere Solidarität mit Spanien, seinen Behörden und insbesondere den spanischen Sicherheitskräften bekunden.	On behalf of the European Parliament, may I express my sincere condolences to the family and relatives of Sergeant-Major Conde and our solidarity with Spain, its authorities and especially the Spanish security forces.
Auch den bei den Anschlägen Verletzten und ihren Familien möchte ich unsere Unterstützung und unser aufrichtiges Mitgefühl ausprechen.	I would also like to express our support and deep sympathy to those who were injured in the bomb blasts and to their families.
Wir müssen in aller Deutlichkeit immer wieder zum Ausdruck bringen: Terrorismus ist ein direkter Anschlag auf Freiheit, Menschenrechte und Demokratie.	We must reiterate time and again in no uncertain terms that terrorism is a direct attack on freedom, human rights and democracy.
Wir können nicht oft genug wiederholen, dass es keinerlei Rechtfertigung für den Terrorismus gibt.	We cannot repeat often enough that there is no justification whatsoever for terrorism.
Deshalb müssen wir in unserem Kampf gegen den Terrorismus immer auf der Grundlage des Rechtstaats und mit der ganzen Kraft des Gesetzes gemeinsam vorgehen.	For this reason we must act together in our fight against terrorism, always respecting the rule of law and applying the full force of the law.
Die Europäische Union ist eine Solidargemeinschaft.	The European Union is a community based on solidarity.
Ein terroristischer Anschlag in einem Mitgliedsland der Europäischen Union ist ein terroristischer Anschlag gegen die gesamte Europäische Union, gegen jeden Einzelnen von uns.	An act of terrorism in a member country of the European Union is an attack on the entire European Union, on every single one of us.
Ich bitte das Parlament, sich zu einer Schweigeminute zu erheben.	I now ask you all to rise for a minute's silence.
(Das Parlament erhebt sich zu einer Schweigeminute.)	(The House rose and observed a minute's silence.)
