Als nächster Punkt folgt die Feierliche Sitzung und die Aussprache zum Thema "Zehn Jahre Euro".	The next item is the formal sitting and debate on the 10th anniversary of the euro.
(Filmbeitrag)	(Film)
Herr Premierminister und Präsident der Eurogruppe, Jean-Claude Juncker, Herr Präsident Valery Giscard d'Estaing, Herr Präsident der Europäischen Zentralbank Jean-Claude Trichet, Herr Kommissar Joaquim Almunia, Frau Vorsitzende des Ausschusses für Wirtschaft und Währung, liebe Kollegin Pervenche Berès, liebe Kolleginnen und Kollegen, meine sehr verehrten Damen und Herren!	Mr Juncker, Mr Giscard d'Estaing, Mr Trichet, Mr Almunia, Mrs Berès, ladies and gentlemen.
Am 1. Januar 2009 ist unsere Währung, der Euro, zehn Jahre alt geworden.	The first of January 2009 was the 10th birthday of our currency, the euro.
Wir feiern heute im Europäischen Parlament eine der wichtigsten historischen Entscheidungen, die die Europäische Union bislang getroffen hat.	Here in the European Parliament today, we are celebrating one of the most important and historic decisions that the European Union has taken so far.
Die Schaffung des Euro war in einer wirtschaftlich immer mehr zusammenwachsenden Europäischen Union eine logische Entwicklung zur Festigung des Gemeinsamen Marktes und zur Vereinfachung des Handels im Binnenmarkt. Doch als vor zehn Jahren die Währungen elf souveräner Staaten durch eine einheitliche Währung ersetzt wurden, gab es viel Skepsis im Hinblick auf den Erfolg der geplanten gemeinsamen Währung.	In a European Union that was growing ever closer economically, the creation of the euro was a logical development in strengthening the common market and simplifying trade within the internal market; even so, when the currencies of 11 sovereign states were replaced by a single currency 10 years ago, there was a great deal of scepticism as to whether the planned single currency would be a success.
Ihre Einführung erforderte Mut und Entschlossenheit.	Its introduction required courage and decisiveness.
Nach zehn Jahren können wir nicht nur feststellen, dass der Euro ebenso viel Vertrauen wie die zuvor in den Ländern der Eurozone benutzten Währungen genießt, sondern auch, dass er zweifelsohne zahlreiche Vorteile für die Menschen und Unternehmen in der Europäischen Union mit sich gebracht hat.	Ten years on, we can see not only that the euro is just as trusted as the currencies previously used in the euro area, but also that it has, without doubt, brought about considerable advantages for people and businesses in the European Union.
Die Eurozone ist zu einem Fels makroökonomischer Stabilität geworden.	The euro area has become a rock of macroeconomic stability.
Angesichts des Gewichts der Wirtschaft der Eurozone und der Tatsache, dass der größte Teil des Handels Binnenhandel ist, erweist sich die Eurozone als weit besser gerüstet als früher die Mitgliedstaaten mit ihren nationalen Währungen, um externen Wirtschaftsschocks standzuhalten.	In view of the size of the economy of the euro area and the fact that the majority of its trade is internal, the euro area has proven to be much better equipped to withstand economic shocks than the Member States previously were with their national currencies.
Gerade in den letzten Monaten der weltweiten Finanzkrise hat sich der Euro als entscheidender Stabilitätsfaktor erwiesen: Die gemeinsame Währung hat uns vor den schlimmsten Folgen der bedeutendsten Finanzkrise seit den Dreißigerjahren bewahrt.	Particularly in the recent months of the global financial crisis, the euro has proven to be an important stabilising factor: the single currency has protected us from the worst effects of the most serious financial crisis since the 1930s.
