Herr Präsident! Ich danke Carlos Coelho und gratuliere ihm auch zu dem Bericht.	Mr President, my thanks go to Carlos Coelho, together with my congratulations on his report.
Wir wären auch alle enttäuscht gewesen, wenn der Bericht nicht in dieser Qualität ausgefallen wäre, weil wir diese Qualitätsstufen von ihm bereits von mehreren Berichten gewohnt sind.	We would have all been disappointed if his report had been below par, because we are already used to this standard of report from him.
Besonders gefallen hat mir, dass Carlos Coelho von Beginn an klar darauf hingewiesen hat, dass es in diesem Bericht um die Sicherheit von Kindern geht.	I particularly liked the fact that Carlos Coelho clearly pointed out from the beginning that his report was about the security of children.
Diese erreiche ich damit, dass ich sichere Pässe ausstelle und mit der Aufnahme von Fingerabdrücken auch ermögliche, dass überprüft werden kann, ob es sich bei der Person, die eben eine Grenze überschreitet, tatsächlich um die Person handelt, die der Pass vorgibt.	We can achieve this by issuing secure passports and by taking fingerprints to ensure that it is possible to check if the person crossing the border is actually the person shown in the passport.
Daher ist dies ein Ziel, mit dem die Sicherheit von Kindern erreicht wird.	This is therefore an objective which can be used to achieve security for children.
Dass jetzt diskutiert wird, ob der Fingerabdruck mit sechs Jahren oder mit zwölf Jahren genommen werden soll, ist eine Frage der Technik, keine Ansichtssache.	That we are now discussing whether fingerprints should be taken at six years old or at twelve years old is a technical question, not a question of perspective.
Ich hätte kein Problem, wenn der Fingerabdruck bereits mit sechs Jahren genommen würde, weil es eben um die Kinder und um die Sicherheit der Kinder geht.	I would have no problem with taking fingerprints from the age of six, because this is all about children and their security.
Für mich muss es eine Selbstverständlichkeit sein, dass Datenschutzbestimmungen eingehalten werden.	For me it goes without saying that data protection laws must be respected.
Darüber sollten wir gar nicht diskutieren.	We should not even be discussing that.
Es ist Sache eines Rechtsstaates, das zu kontrollieren.	It is the duty of a constitutional state to control that.
Wenn es aber der Fall ist, dass wir sichere Pässe haben und die Datenschutzbestimmungen einhalten, dann hat die Europäische Union einen ganz entscheidenden Schritt vorwärts gemacht im Interesse der Kinder und gegen den Kinderhandel und Kinderschmuggel.	If we achieve a situation in which we have secure passports and data protection laws are respected, then the European Union will have made a decisive step forwards in the interests of children and against child trafficking and child smuggling.
