Herr Präsident! Ich danke Ihnen, dass Sie mir das Wort geben.	Mr President, I am obliged to you for giving me the floor.
Ich bitte Sie und auch die Kolleginnen und Kollegen, mir zu gestatten, zwei Bemerkungen zu machen, zunächst eine zu der Entschließung, die zur Abstimmung vorliegt, und danach eine persönliche Bemerkung, die einen Kollegen dieses Hauses betrifft.	With your permission and that of my fellow Members, I should like to make two comments, the first on the resolution being put to the vote, and the second a personal statement regarding a Member of this House.
Zur vorliegenden Entschließung: Meine Fraktion hat gestern Abend noch einmal sehr intensiv und auch sehr leidenschaftlich, aber sehr bedächtig über diese Entschließung diskutiert.	On the subject of the resolution, my group discussed this again yesterday evening. The discussion was very in-depth and very passionate, but also very thoughtful.
Ich glaube, wir alle stehen heute Morgen, bevor wir abstimmen, unter dem Eindruck dessen, was Francis Wurtz gerade berichtet hat.	I believe that, this morning, as we prepare to vote, we are all shaken by what Mr Wurtz has just told us.
Wenn in einer kriegerischen, bewaffneten Auseinandersetzung die internationalen Institutionen nicht mehr sicher sind, dann ist ein Grad erreicht, der äußerst bedenklich ist.	When armed hostilities escalate such that international institutions are no longer secure, the situation is extremely serious.
Man muss einen Appell in diesem Fall insbesondere an Israel richten, die Einrichtungen der internationalen Staatengemeinschaft zu respektieren, weil sonst die Aufrechterhaltung der humanitären Infrastruktur nicht gewährleistet ist, was sicher nicht im Rahmen des internationalen Völkerrechts ist.	An appeal must be made to Israel in particular, in this case, to respect the bodies of the international community, as failure to do so puts the humanitarian infrastructure at risk, which is certainly not consistent with international law.
Zum anderen aber haben wir uns entschlossen, diese Entschließung mitzutragen, weil wir - nach langer Diskussion gestern Abend - glauben, dass es wichtig und richtig ist, sie zum jetzigen Zeitpunkt zu verabschieden, und dass die Signale, die wir aussenden, auch die Signale, die das Europäische Parlament als Institution aussendet, notwendig sind.	We have decided to support this resolution, however, as - following yesterday's lengthy discussion - we believe that it is right and vital to adopt it now, and that it is necessary for us, for the European Parliament as an institution, to send out such signals.
Aber ganz sicher ist eins: Eine Entwicklung der Gewalt, die nicht einmal mehr haltmacht vor Schulen und Kindergärten, ist ein Grad, den man nicht bedauern kann, sondern aufs Schärfste verurteilen muss.	One thing is quite certain, however, and that is that when violence escalates such that it does not even spare schools and kindergartens, it is a matter not for regret, but for condemnation in the strongest terms.
Das findet sich in der Entschließung nicht wieder,	Although this is not contained in the resolution,
(Lebhafter Beifall)	(Loud applause)
aber wir wollen - weil wir glauben, dass wir damit auch dem Gefühl vieler Kolleginnen und Kollegen, auch aus anderen Fraktionen, Ausdruck verleihen - das hier doch so festhalten.	we do want to emphasise it here, as we believe that this reflects the feelings of many of our fellow Members, including those from other groups.
Gestatten Sie mir, zu einem Kollegen, der sich in seiner ganzen politischen Karriere gerade um den Frieden in der Welt und in der Europäischen Union große Verdienste erworben hat, am heutigen Tag etwas zu sagen.	Allow me to say a few words today about a colleague who, throughout his political career, has made a particular contribution to peace in the world and in the European Union.
Das ist heute die letzte Plenarsitzung, an der mein Kollege Michel Rocard teilnehmen wird.	This is the last plenary sitting my colleague Mr Rocard will be attending.
Für uns Sozialistinnen und Sozialisten, aber ich glaube für uns alle ....	For us in the Socialist Group in the European Parliament, but I believe for us all ...
(Die Mitglieder des Parlaments erheben sich und spenden Beifall.)	(Standing ovation)
