Frau Präsidentin! Dem Kollegen Joost Lagendijk geht es wie dem Kosovo.	Madam President, my fellow member Joost Lagendijk is in the same situation as Kosovo.
Er existiert, wird aber nicht von allen als Berichterstatter anerkannt, obwohl er es de facto ist.	He exists, but he is not recognised by everyone as a rapporteur, although, in fact, he is one.
In dem Sinn möchte ich ihm - so wie auch mein Kollege Tabajdi - sehr herzlich für seinen Bericht danken.	In this context I would like to thank him very much, together with Mr Tabajdi, for his report.
Natürlich sind wir noch nicht so weit in der Entwicklung, was die Anerkennung des Kosovos betrifft, wie sich das manche - auch im Kosovo - gewünscht haben.	Of course, we have not made as much progress with the recognition of Kosovo as many people, including those in Kosovo, would have liked.
Es ist auch - und das müssen wir anerkennen - eine schmerzliche Situation für Serbien gewesen.	We must acknowledge that this has been a painful situation for Serbia.
Wir sollten kein Öl ins Feuer gießen, sondern wir sollten uns bemühen, dass die Entwicklung in einem friedlichen Prozess vorangeht.	We should not add fuel to the fire. Instead we should make every effort to ensure that the process is a peaceful one.
Ich bin sehr froh, dass Serbiens Verantwortliche, trotz manch scharfer Worte am Anfang, doch versucht haben, die Sache zu legalisieren und zu neutralisieren, so dass die EULEX-Mission eine Chance bekommen hat.	I am very pleased that the leaders of Serbia, despite their many harsh words at the beginning, have attempted to legalise and neutralise the situation in order to give the EULEX mission a chance.
Alle, die gegen die EULEX-Mission sind, frage ich, wie wäre denn eigentlich die Situation der serbischen und anderer Minderheiten im Land, wenn es keine EULEX-Mission gäbe?	I would ask everyone who is opposed to the EULEX mission what situation the Serbian and other minorities in the country would be in if the EULEX mission did not exist?
Es ist doch unsinnig, aus der Warte der serbischen Minderheit oder von Serbien, die EULEX-Mission abzulehnen.	It is nonsensical from the standpoint of the Serbian minority or of Serbia to condemn the EULEX mission.
Dass hier im Parlament jemand die EULEX-Mission ablehnt, die sogar Serbien befürwortet, halte ich geradezu für grotesk.	I believe that the fact that someone here in Parliament who supports Serbia has condemned the EULEX mission is simply grotesque.
Es gibt allerdings noch offene Fragen. Das ist richtig.	However, it is true that there are some questions which remain unanswered.
Auch die politisch Verantwortlichen im Kosovo müssen sich bemühen, die Dinge umzusetzen.	The political leaders in Kosovo must make an effort to get things done.
Den Ahtisaari-Plan in all seinen Aspekten umzusetzen, das ist eine unserer wesentlichen Aufgaben und Forderungen, über die wir hier mit dieser Entschließung morgen abstimmen werden.	One of our main tasks and demands is to implement all the aspects of the Ahtisaari plan, which we will vote on tomorrow as part of this resolution.
Der letzte Punkt: Wir sollten die Integration der gesamten Region vorantreiben.	Finally, we should promote the integration of the entire region.
Natürlich müssen alle Länder ihre Hausaufgaben machen.	Of course, all the countries will have to do their homework.
Aber je mehr Serbien auch im Integrationsprozess voranschreitet, je mehr Mazedonien im Integrationsprozess voranschreitet, desto eher ist es auch möglich, dass wir diese Kosovo-Frage und die damit zusammenhängenden offenen Fragen lösen.	However, the more progress which Serbia and Macedonia make in the integration process, the sooner we will be able to resolve the Kosovo question and the other related open questions.
Nur die Integration aller Länder dieser Region schafft die Voraussetzungen dafür, dass auch der Kosovo eine friedliche Entwicklung nimmt.	Only the integration of all the countries in the region will create the conditions needed by Kosovo for peaceful development.
