Frau Präsidentin, verehrte Kolleginnen und Kollegen! Ich will zu einigen Punkten Stellung nehmen.	Madam President, ladies and gentlemen, I should like to comment on a few points.
Zunächst einmal zu der Frage: Warum habe ich die Prinzipien "Human Security" und "Responsibility to protect" nicht in meinen Bericht übernommen?	Firstly, I wish to explain why I did not include the principles of 'human security' and 'responsibility to protect' in my report.
Das war sehr umstritten.	This has been very controversial.
Ich persönlich bin der Auffassung, dass das sehr wichtige Konzepte sind, die entwickelt worden sind, dass sie aber für eine Sicherheitspolitik nicht taugen, weil sie dazu missbraucht werden können, militärische Interventionen in allen Gegenden der Welt zu begründen.	In my personal opinion, these concepts that we have developed, whilst very important, are not suitable for a security policy, as they can be misused to justify military intervention all around the world.
Das ist eine Gefahr, die ich ganz konkret sehe.	This is a very real risk I can envisage.
Darum befürworte ich diese beiden Konzepte, aber nicht für die Sicherheitspolitik.	Therefore, I do support these two concepts, but not for the security policy.
Dann wurde gesagt, ich sei dabei und würde mit dem Bericht fordern, eine europäische Armee aufzustellen.	It has also been said that I am in the process of creating a European army and am calling for this in my report.
Ich möchte Sie bitten, den ganzen Bericht noch einmal durchzulesen - das Wort "europäische Armee" werden Sie in diesem Bericht ganz bestimmt nicht finden.	I would ask you to read the whole report through once again - you will most certainly not find the words 'European army' in it.
Was dieser Bericht sagt, ist, dass das Geld des Steuerzahlers in diesem Bereich besser ausgegeben werden soll, als das bis heute der Fall gewesen ist.	What the report says is that taxpayers' money should be spent better in this field than has been the case up to now.
Dann haben wir die Sicherheitsstrategie, die jetzt von allen befürwortet wird.	Then there is the European Security Strategy, which now has everyone's support.
Die hierfür notwendige Arbeit nahm einige Jahre in Anspruch und war sehr erfolgreich.	The work that needed to be done on this took several years and was very successful.
Ich bin der Meinung, dass der nächste Schritt ein Werk über die Umsetzung der Sicherheitspolitik sein muss, ein Weißbuch zur Sicherheitspolitik.	In my opinion, the next step must be to produce a work on the implementation of the security policy, a white paper on the security policy.
Das ist eine Aufgabe für die nächste Legislaturperiode.	This is a job for the next parliamentary term.
Last but not least glaube ich, dass sich die nächsten Gespräche, die wir zu diesem Thema führen müssen, mit der Frage der EUBAM Rafah beschäftigen müssen, in welcher Art und Weise diese Mission wiederbelebt werden kann und in welcher Art und Weise sie möglicherweise erweitert werden könnte.	Last but not least, I believe that the next talks we hold on this subject must deal with the issue of EUBAM Rafah: how to revive this mission and how it can possibly be extended.
