Herr Präsident, Herr Kommissar! Zunächst möchte ich meinem Kollegen El Khadraoui danken.	Mr President, Commissioner, first of all, I would like to thank Mr El Khadraoui.
Er hat hier unter wirklich schwierigen Bedingungen einen tragfähigen Kompromiss vorgelegt.	He has achieved a workable compromise under really difficult conditions.
Für uns Verkehrspolitiker bedeutet es einen Quantensprung, dass jetzt auch Luftverschmutzung, Lärm und Stau in die Mautgebühren einbezogen werden können.	For us transport policy makers, it is a quantum leap forward that air pollution, noise and congestion can now also be included in the tolls.
Das stärkt das Verursacherprinzip.	This reinforces the polluter pays principle.
Das Verursacherprinzip verhindert, dass Gewinne privatisiert und Schäden sozialisiert werden.	The polluter pays principle prevents profits going into private hands while the damage is paid for by society.
Das ist sozialdemokratisch gedacht.	That is a social democratic concept.
Das Parlament hat sich vorgenommen, dieses Prinzip bei allen Verkehrsträgern schrittweise einzuführen.	Parliament has resolved to introduce this principle to all modes of transport step by step.
Dann gibt es endlich einen faireren Wettbewerb zwischen Bahn, Lkws und Binnenschifffahrt.	There will then, at long last, be fair competition between the railways, lorries and inland waterways.
Klar muss hier auch gesagt werden: Ob dieser Mautaufschlag angewandt wird, liegt ausschließlich bei den Mitgliedstaaten.	It must also be made clear at this point that it will be entirely up to the Member States whether or not these additional tolls are implemented.
Keiner wird gezwungen.	Nobody will be forced to do so.
Wir beschließen hier nur die Gestaltungsgrundlage dafür, damit es in Europa keinen Flickenteppich verschiedener Mautmodelle gibt und damit es nicht zu Diskriminierungen kommt. Denn der Straßengüterverkehr sollte im ganzen Binnenmarkt vergleichbar behandelt werden.	All we are doing here is setting up the basic framework for it so that there is no patchwork of different toll models across Europe, thereby avoiding discrimination, as road haulage should be treated in a comparable way throughout the internal market.
Uns geht es dabei nicht um zusätzliche Einnahmequellen, sondern um eine stärkere Verkehrslenkung durch Preissignale.	For us, this is not about additional income streams but is, instead, about directing transport more strongly by means of price signals.
Der Verkehrsausschuss will zu Recht, dass die Mehreinnahmen verpflichtend für die Reduzierung externer Schäden genutzt werden.	The Committee on Transport and Tourism is right to want to see the mandatory ring-fencing of this additional income for use in reducing external damage.
Ein Wermutstropfen bleibt für mich: Leider bindet die Ausschussentscheidung, wie sie bisher vorliegt, die Einführung der Staukosten für Lkws an die Einbeziehung auch anderer Verkehrsträger, zum Beispiel der Pkws.	However, there is still one fly in the ointment, as I see it. Unfortunately, the committee decision, as it currently stands, links the introduction of congestion costs for goods vehicles to the inclusion of other modes of transport, such as passenger cars.
Das wird in den Mitgliedstaaten die Staukosten verhindern, die politisch keine Pkw-Maut wollen, zum Beispiel in Deutschland.	That will prevent the introduction of congestion costs in those Member States, such as Germany, that do not want a toll for passenger cars.
Damit entgeht uns ein wichtiges verkehrspolitisches Steuerungsinstrument.	That therefore denies us an important instrument of taxation in the field of transport policy.
Mein Fazit: Für die Verkehrspolitik bedeutet die morgige Abstimmung einen Durchbruch nach jahrzehntelanger Diskussion über externe Kosten.	My conclusion is as follows: tomorrow's vote offers a breakthrough in transport policy after decades of discussion about external costs.
Ich hoffe, wir erhalten die erforderliche Mehrheit dafür!	I hope that we will receive the necessary majority to achieve that breakthrough.
