Danke, Herr Präsident! Ich möchte diesen Vorschlag ausdrücklich begrüßen.	Thank you, Mr President, I very much welcome this proposal.
Wir sind hier auf dem richtigen Weg, insbesondere auch bei der Einbeziehung der Staukosten in die Gesamtwegekosten.	We are on the right road here, in particular, when it comes to incorporating the costs of congestion into overall road costs.
Wir müssen hier Kostenwahrheit schaffen, um eben wirklich zu erreichen, dass marktwirtschaftliche Instrumente den Verkehr regeln.	We need to achieve cost reality here to really bring about a situation where market economic instruments regulate traffic.
Sonst haben wir hier immer Ungleichgewichte.	Otherwise, we will always have imbalances in this regard.
Die Debatte hat aber auch das Spannungsverhältnis aufgezeigt zwischen peripheren Regionen und Zentralräumen.	This debate has also shown up the tensions between the peripheral regions and those areas in the centre of our continent.
Es muss einfach auch für die peripheren Regionen gelten, wenn sie durch unsere Gebiete fahren, dass auch die Anliegen der Bevölkerung zu berücksichtigen sind.	Quite simply, it must also be the case that when people from the peripheral regions drive though our central areas, they must take account of the concerns of the population.
Das ist ganz wichtig, und hier bitte ich doch auch um Verständnis, weil eben hier die Bevölkerung teilweise an den Belastungsgrenzen angekommen ist.	That is very important and I do ask for understanding on this point, because on this issue some of the population has found itself pushed to the limit.
Das Subsidiaritätsprinzip, das im Vorschlag Ausdruck findet, gibt den Mitgliedstaaten die Möglichkeiten, selbst die Entscheidung zu treffen, ob sie diese externen Kosten internalisieren wollen.	The subsidiarity principle, as expressed in the proposal, allows the Member States to decide for themselves whether they want to internalise these external costs.
Für die Zentralräume - insbesondere für die Alpengebiete -, ist es klar, dass sie von dieser Möglichkeit Gebrauch machen werden.	For the central areas - and for the Alpine regions in particular - it is clear that they will choose to do so.
Wenn periphere Regionen das nicht machen, so habe ich auch dafür Verständnis.	If peripheral regions decide not to take that route, that is something I can understand.
Aber insgesamt müssen wir uns doch bemühen, den einzelnen Sektoren im Transportgewerbe die Kosten anzulasten, die sie tatsächlich verursachen.	Overall, however, we must strive to make the individual sectors in the transport industry bear the costs that they actually give rise to.
Nur so können wir langfristig ein System schaffen, das wirklich nachhaltig ist und das den Anliegen der Bevölkerung gerecht wird.	That is the only way in which, in the long term, we can create a system that is truly sustainable and that satisfies the concerns of the population.
Danke.	Thank you.
