Frau Präsidentin, vielen herzlichen Dank.	Madam President, thank you very much.
Ich mache es auch wirklich ganz kurz.	I will be really brief.
Zunächst einmal: Schuld an der Krise sind natürlich nicht die Sozialisten, das hat hier im Plenarsaal auch niemand behauptet.	Firstly, of course, the socialists are not responsible for the crisis. No one in the Chamber has said that.
Wir wissen alle, wer schuld ist, das ist ja umfangreich analysiert worden.	We all know whose fault it is and this has been investigated in great detail.
Ich habe jedoch zu Recht darauf hingewiesen, dass ein Zustandekommen von klaren Transparenzregeln in den Bereichen Hedge Fonds und Private Equity über Jahre hinweg auch an den Sozialisten in Europa gescheitert ist, und habe dafür Beispiele genannt.	However, I have rightly pointed out that over many years, the socialists have been responsible for blocking the implementation of clear transparency rules relating to hedge funds and private equity and I have given examples of this.
Das ist schlicht und ergreifend eine Tatsache.	This is quite simply a fact.
Was die angesprochenen Änderungsanträge angeht, so möchte ich mich nur auf einen Punkt beziehen, die Thematik Steuerparadiese.	As far as the amendments which have been referred to are concerned, I would like to mention just one point, the subject of tax havens.
Da sind wir uns vollkommen einig.	We are in complete agreement on this.
Die Frage ist nur, an welcher Stelle dem zugestimmt wird.	The question is simply at which point we vote in favour of it.
Wir werden heute bei der Entschließung zur Lissabon-Strategie einen Antrag 25 zu beraten haben, der sich genau mit diesem Thema befasst.	Today we will be debating Amendment 25 on the resolution concerning the Lisbon Strategy, which covers precisely this subject.
Da wird die Fraktion zustimmen.	The group will vote in favour of this.
Von daher habe ich mit den angesprochenen Fragen keine Probleme.	Therefore, I have no problems with the questions that have been mentioned.
