Herr Präsident! Wir befassen uns nun schon lange mit dem Stadtverkehr in der EU.	Mr President, we have been debating urban transport in the EU for a very long time.
Warum eigentlich?	Why exactly?
Wir sind doch gar nicht zuständig!	We are not even competent for it.
Die Zuständigkeit war ja ursprünglich konstruiert: Weil etwa 80 % der Bevölkerung in städtischen Gebilden leben und wegen der Klimadebatte wolle man sich der Sache nun annehmen.	Competence was originally devised because about 80% of the population live in towns and, due to climate change, we now want to take this on.
Glücklicherweise konnten wir diese Ambitionen der Europäischen Kommission durch unseren Protest auf einen Aktionsplan zum Stadtverkehr reduzieren.	Fortunately, thanks to our protests, we were able to reduce these ambitions on the part of the European Commission to an action plan on urban transport.
Ich danke Herrn Kommissar Tajani für seine Einsicht.	My thanks to Commissioner Tajani for his insight.
Subsidere heißt ja tatsächlich wohl eher unterstützen als vorschreiben, aber das weiß er als Italiener natürlich besser als ich als Deutsche mit nur einem großen Latinum.	Subsidere means to support rather than to prescribe, but of course, as an Italian, he knows that better than I, as a German with A-level Latin.
Mir ist in erster Linie wichtig, dass unser Bericht, der Bericht des Parlaments, die strikte Einhaltung des Subsidiaritäts- und des Verhältnismäßigkeitsprinzips hervorhebt.	What is important to me, first and foremost, is that our report, Parliament's report should highlight strict compliance with the principles of subsidiarity and proportionality.
Legislative Maßnahmen auf europäischer Ebene sind für den Stadtverkehr unzulässig.	Legislative measures at European level are inadmissible for urban traffic.
Unterstützende Maßnahmen, das ist unsere Aufgabe.	Supportive measures are what we are here for.
Eine Ideensammlung und die Förderung des Austauschs von besten Praktiken sind sinnvoll.	Brainstorming and encouraging the exchange of best practices make sense.
Nicht jeder muss das Rad neu erfinden.	We do not all need to reinvent the bicycle.
Unsere Städte brauchen maßgeschneiderte Lösungen. Aber die können nur von den Akteuren vor Ort ausgearbeitet werden, denn nur die wissen ja, was notwendig ist.	Our towns need bespoke solutions, but they can only be worked out by local players, because only they know what is needed.
Die Kommunen müssen sehr unterschiedlichen Situationen gerecht werden. Sie benötigen also ausreichenden Handlungsspielraum, auch um den innerstädtischen Handel vital zu erhalten.	Municipalities need to take account of very diverse situations and they therefore need sufficient room for manoeuvre, especially if they are to keep their high streets alive.
Das ist wichtig für die Attraktivität einer Stadt.	They are important to the attractiveness of a town.
Wichtig ist daher, den motorisierten Individualverkehr nicht auszusperren und sich stärker um die Logistik in der Stadt zu kümmern.	It is therefore important not to exclude private cars and to focus more on logistics in the town.
Ich möchte daher die Forschung zur innerstädtischen Feindistribution gefördert sehen.	I should therefore like to see more support for research into inner-city retail logistics.
Das entlastet eine Stadt.	That would take some of the strain off a city.
Wichtig ist auch, dass der demografische Wandel berücksichtigt wird.	It is also important to take account of demographic change.
Unsere Gesellschaft wird schließlich immer älter.	Our society is constantly ageing.
Die Mobilitätsbedürfnisse und Wohnerfordernisse ändern sich.	Mobility requirements and residential requirements are changing.
Wir brauchen eine wohnungsnahe Versorgung der Bevölkerung mit Gütern des täglichen Bedarfs, wenn wir den Verkehr reduzieren wollen, und das ist auch eine Herausforderung an den Einzelhandel.	If we want to reduce traffic, people need to be able to obtain their everyday requirements close to home, and that is also a challenge to the retail trade.
Alles andere würde nur die grüne Wiese fördern.	Anything else would simply promote the countryside.
Eine Beobachtungsstelle für den städtischen Verkehr brauchen wir nicht.	We do not need an urban mobility observatory.
Eine solche Stelle würde viel Geld kosten und viel Papier produzieren, das nur in Brüssel abgeheftet würde.	It would cost a great deal of money and generate a great deal of paper, which would simply be filed away in Brussels.
