Berichterstatterin. - Meine Herren Präsidenten, liebe Kolleginnen und Kollegen!	Presidents, ladies and gentlemen, so much effort, so little effect!
Viel Aufwand, wenig Wirkung! So könnte man zusammenfassend die Arbeit bei der Anpassung des EGF an die Anforderungen der Wirtschafts- und Finanzkrise charakterisieren.	This is how one might summarise the work to adapt the European Globalisation Adjustment Fund (EGF) to the needs of the economic and financial crisis.
Wenig Wirkung deshalb, weil die Summe der für dieses Instrument zur Verfügung gestellten Mittel - nämlich 500 Millionen Euro - angesichts der betroffenen Arbeitnehmer und der Größe der Krise gering erscheint.	Little effect because, in view of the number of employees concerned and the depth of the crisis, the total funds allocated to this instrument - namely EUR 500 million - seems a meagre amount.
Das wäre aber der komplett falsche Schluss!	However, that would be the wrong conclusion altogether.
Denn die Leistungen des EGF sind auch nach der Umstrukturierung im Zusammenhang mit den anderen Solidar- und Unterstützungsinstrumentarien, die wir auf europäischer Ebene haben, zu sehen.	The achievements of the EGF, following restructuring in conjunction with the other solidarity and support instruments, which we have at European level, are there for all to see.
Und hier ist der EGF das jüngste Kind.	The EGF is the baby here.
Er wurde ja erst im Jahr 2006 geschaffen, und er sollte damals ein klares Zeichen dafür setzen, dass die Globalisierung eben nicht nur positive Auswirkungen auf die Arbeitnehmerinnen und Arbeitnehmer hat, sondern durch Massenentlassungen, insbesondere durch Firmenverlagerungen, auch arbeitnehmerfeindliche Auswirkungen haben kann.	It was first created in 2006 and was supposed to be a clear sign that globalisation does not just have positive effects on workers, but through mass redundancies, and especially through company relocations, can also have negative repercussions for workers.
Deshalb haben damals selbst sparsame Haushälter ihre Bedenken zurückgestellt und wir haben einen weiteren Fördertopf aufgemacht.	Thus even the more frugal budget specialists laid aside their concerns and we opened another funding pot.
Nun sind die Auswirkungen der Globalisierung von der weltweiten Finanz- und Wirtschaftskrise geradezu überrollt worden, und unsere angemessene Reaktion ist die Anpassung der Förderkriterien des EGF.	Now the effects of globalisation have been completely overwhelmed by the financial and economic crisis and our measured reaction is the adjustment of the funding criteria of the EGF.
Dabei war es für unsere Novellierungsüberlegungen auch ein Problem, dass aufgrund der kurzen Laufzeit des EGF kein großer Erfahrungsschatz bei der Kommission vorhanden war und wir die Effizienz der bisherigen Regelungen auch jetzt noch schwer einschätzen können.	At the same time, one problem for our deliberations on revision was that, because of the newness of the EFG, there was no great wealth of experience in the Commission and we still find it difficult to judge the efficiency of the present rules.
Ich möchte auch gleich anmerken, dass das Nebeneinander von EGF und Europäischem Sozialfonds gerade für die Zukunft nicht aus dem Auge verloren werden darf.	I would also like to note that, for the future, the coexistence of the EGF and the European Social Fund should not be overlooked.
Die Mehrheit des Beschäftigungsausschusses hat sich für eine befristete Geltung der zu ändernden Verordnung ausgesprochen, sodass die Vorschriften jetzt für alle Anträge gelten, die vor dem 31.12.2011 eingereicht werden und eben inhaltlich die Arbeitnehmerinnen und Arbeitnehmer betreffen, die unmittelbar infolge der globalen Finanz- und Wirtschaftskrise entlassen wurden.	The majority of the Committee on Employment came out in favour of temporary validity for the regulation which is to be amended, so that the provisions will now apply to all applications filed by 31 December 2011 and, as regards content, will affect those workers who have lost their jobs as a direct consequence of the global financial and economic crisis.
Das heißt, ab dem Jahr 2012 müssen wir neue Überlegungen für die Fortgeltung des Europäischen Globalisierungsfonds anstellen.	This means that from 2012 we must once again reflect on the continued validity of the European Globalisation Adjustment Fund.
