Frau Präsidentin! Können Sie bitte für angemessene Ruhe im Saal sorgen?	Madam President, could you please call for silence in the Chamber?
(Heiterkeit)	(Laughter)
Oder werde ich mit Tagegeldentzug bestraft, wenn ich es wage, hier zu rufen: Volksabstimmung?	Or will I be punished through the withdrawal of my daily subsistence allowance if I dare to call out 'referendum'?
Ich habe das Recht auf eine persönliche Bemerkung nach Artikel 149.	I have the right to make a personal comment under Rule 149.
Was der Kollege eben von sich gegeben hat, weise ich in aller Entschiedenheit zurück.	I absolutely reject what my fellow Member has just uttered.
Ich verweise darauf, was ich hier im Plenum in Abwesenheit eines Großteils der rechtsradikalen und der braunen Brut hinter mir tatsächlich gesagt habe.	I recall what I actually said in plenary in the absence of many of the right wing extremists and the mob behind me.
Dazu stehe ich.	I stand by it.
Und wenn mir Vorwürfe gemacht werden ....	And if I am being accused....
(Zwischenrufe)	(Protests)
Sie hören hier noch ganz andere Zwischenrufe, die so grauslig sind, dass ich sie hier nicht öffentlich wiedergeben will.	You can hear many other protests here that are so terrible that I do not wish to repeat them in public.
Aber so sind die Rechtsradikalen.	But that is what the right wing extremists are like.
Das wissen wir aus der Geschichte, und das ist die ganz große Gefahr, die vor uns liegt.	We know that from history and that is the huge danger that lies ahead of us.
Was den Vorwurf der Unrechtmäßigkeit meines Tuns betrifft, weise ich darauf hin, dass es zwar verschiedene Versuche der Kriminalisierung meiner Person gegeben hat, aber niemals je irgendwelche strafrechtlichen Ermittlungen, und zwar nicht, weil die österreichischen Richterinnen und Richter oder Staatsanwälte befangen gewesen wären, sondern weil sie gesehen haben, wie haltlos diese Anschuldigungen sind.	As regards the accusation of the unlawfulness of my action, I would just point out that there may have been various attempts to criminalise me, but never any criminal investigations, not because the Austrian judges or public prosecutors were prejudiced but because they saw how unfounded those allegations were.
Wenn Rechtsradikale jetzt mit solchen Argumenten in die Auseinandersetzung gehen, so muss es der Wähler bewerten.	If the right wing extremists now go on the offensive with such arguments, it is up to the electorate to judge.
(Die Präsidentin unterbricht den Redner.)	(The President cut off the speaker)
