Berichterstatter. - President, dear collegues! Just a few words in German.	Mr President, ladies and gentlemen, I would like to say just a few words in German.
Die Tatsache, dass dieses Haus zum Schluss seiner Arbeiten in dieser Wahlperiode gleich fünf Berichte verabschiedet, die mit dem Lissabon-Vertrag zusammenhängen, ist ein wichtiges Signal für die Europawahlen und für die Zeit danach.	The fact that, to round off its work in this parliamentary term, this House has adopted five reports, all of which are connected with the Treaty of Lisbon, is an important signal for the European elections and for the time after that.
Dieses Haus hat immer kontinuierlich und konsequent für den Reformvertrag gearbeitet, auch in Zeiten, in denen es schwierig war und Viele Zweifel hatten und das Projekt schon aufgeben wollten.	This House has always worked continuously and consistently for the Reform Treaty, even in times of difficulty and when many had doubts and even wanted to abandon the project.
Gestern sind wir mit dem Ja im tschechischen Senat ein gutes Stück vorangekommen.	Yesterday, with the 'yes' in the Czech Senate, we took a huge step forward.
Meinen Glückwunsch an das Land, das die Präsidentschaft innehat!	Congratulations to the country that has the Presidency.
(Beifall)	(Applause)
Wir haben jetzt den berechtigten Optimismus, dass dieses Reformprojekt mit einem positiven Votum in Irland zum Ende des Jahres 2009 in Kraft treten kann.	We may now be justifiably optimistic that this reform project will enter into force at the end of 2009 with a positive vote in Ireland.
Das neu gewählte Europa-Parlament wird eine ganze Menge neuer Möglichkeiten und Kompetenzen haben.	The newly elected European Parliament will have many new powers and capabilities.
Und diese neu gewählte Bürgerkammer in der EU kann das Versprechen wahrmachen, dass wir eine bessere EU mit mehr demokratischer Kontrolle und mit mehr Transparenz verwirklichen wollen.	This newly elected Chamber of Citizens in the European Union can fulfil the promise we have made to achieve a better EU with more democratic control and more transparency.
Ich danke allen, die im Ausschuss für konstitutionelle Fragen mitgearbeitet haben, besonders den heutigen Berichterstattern, aber auch der übergroßen Mehrheit in diesem Haus, die wir bei all den Berichten hatten, um diese Fortschritte zu verwirklichen.	I thank all my colleagues in the Committee on Constitutional Affairs, especially today's rapporteurs and the overwhelming majority of Members in this House who supported all the reports and made this progress possible.
Vielen Dank!	Thank you very much.
(Beifall)	(Applause)
