Herr Präsident, meine Damen und Herren! Die Daten werden besser.	Mr President, ladies and gentlemen, the statistics are improving.
Die vielfältigen Ursachen der Krisen - es geht nicht nur um Regelungslücken - sind aber noch länger nicht beseitigt.	However, the multiple causes of the crisis - and it is not just a question of loopholes in regulations - are far from being removed.
Daher dürfen der politische Wille, die Entschlossenheit und der Mut nicht erlahmen, im Gegenteil.	For that, political will, decisiveness and courage must not fail us; on the contrary.
Wir reden heute über G20.	Today we are talking about the G20.
Das ist ein guter Prozess.	It is a good process.
Ja, wir brauchen neue bzw. veränderte Strukturen, Prioritäten und Bewertungsgrundlagen zum Aufbau einer globalen Wirtschafts- und Finanz-, Sozial- und Gerechtigkeitsordnung in der Welt.	We need new or different structures, priorities and bases for valuation in order to build up a global economy and a financial, social and judicial order in the world.
Dafür gibt es drei Bedingungen: erstens die Erarbeitung eines demokratischen parlamentarischen Legitimierungsprozesses; zweitens mehr EU in Europa und mehr Europa in der Welt - das heißt auch, dass die Werte der Grundrechtecharta unser Exportartikel sind, dass das Verantwortungsmodell der ökosozialen Marktwirtschaft die Grundlage unserer globalen Ordnung ist; und drittens, dass in jenen Bereichen, wo im Rahmen der G20 keine Einigung in Sicht ist, trotzdem europäische Regelungen notwendig sind.	There are three conditions for this: firstly, we need to develop a democratic, parliamentary legitimisation process; secondly, we need more EU in Europe and more Europe in the world, which also means that the values of our Charter of Fundamental Rights are our export articles, that our model of a responsible eco-social market economy is the basis for our global order and, thirdly, European regulation is needed in areas in which no agreement is in sight within the framework of the G20.
Wir sagen ja zu einer europäischen integrierten und nicht bloß koordinierten Finanzmarktaufsicht nach dem Modell der Europäischen Zentralbank.	We say yes to integrated European rather than simply coordinated financial market supervision on the basis of the model of the European Central Bank.
Der De-Larosière-Bericht ist zu wenig.	The de Larosière report is too little.
Wir sagen ja zur Debatte über die Bonuszahlungen, aber mit der Veränderung der Auszahlungsmodalitäten geht sie nicht in die richtige Richtung.	We say yes to the debate on bonus payments, but changing the payment methods is not the right way to go about it.
Wir müssen die Bemessungsgrundlagen verändern, und überall dort, wo es einen Bonus gibt, muss es auch eine Maluskomponente geben.	We must change the basis for assessment and, wherever there is a bonus, it must also have a penalty component.
Für mich kommt die Debatte um die Prozyklizität im Moment zu kurz.	As far as I am concerned, the debate on pro-cyclicity is too brief at the moment.
Wir müssen für die Jahre 2009 und 2010 die prozyklischen Effekte der Krise und der bestehenden Regelungen beseitigen.	We need to remove the procyclic effects of the crisis and the current regulations for 2009 and 2010.
Der politische Wille darf nicht erlahmen.	The political will must not fail us.
Daher gehen wir jetzt nach Ihren Reden Frau Ratspräsidentin und Herr Kommissar mit Optimismus nach Pittsburgh.	That is why, following the speeches of the President-in-Office of the Council and the Commissioner, we are going to Pittsburgh with optimism.
