im Namen der GUE/NGL-Fraktion. - Frau Präsidentin!	Madam President, thank you for the report.
Vielen Dank für die Berichterstattung. Als Mitglied des Ausschusses für auswärtige Angelegenheiten habe ich den zuständigen Vertreter der Kommission in einer Aussprache zur Rolle dieses Abkommens im Rahmen des EU-Migrationsmanagements befragt.	As a member of the Committee on Foreign Affairs, I questioned the competent representative of the Commission in a debate on the role of this agreement within the framework of EU immigration management.
Er erklärte eindeutig, dass nach dessen Inkrafttreten der Weg für die Zusammenarbeit mit der Grenzschutzagentur FRONTEX sowie für vielfältige migrationspolitische Regelungen, etwa im Rahmen von Rücknahmeabkommen und der Grenzsicherung zu Afghanistan, geebnet sei.	He clearly stated that, when it entered into force, it would pave the way for cooperation with the border security agency (Frontex) and for numerous immigration regulations, such as within the framework of readmission agreements and border security with Afghanistan.
Die 1 200 km lange Grenze Tadschikistans zu Afghanistan wurde hier ja schon angesprochen.	The 1 200 km long border between Tajikistan and Afghanistan has already been addressed here.
Sie wird dann also zu einer weiteren Zielscheibe der repressiven EU-Politik zur Flüchtlingsabwehr.	It will then also become another target of the EU's repressive policy to keep out refugees.
Die Europäische Union will sich auf diese Weise schon weit vor ihren Außengrenzen effektiv gegen Flüchtende abschotten.	Thus, the European Union wants to seal itself off from refugees far beyond its external borders.
Wir sehen wieder einmal, dass dies elementarer Bestandteil der EU-Außenpolitik ist.	Yet again, we see that this is a fundamental component of EU foreign policy.
Als Folge solcher Partnerschaftsabkommen werden Flüchtlinge in Lagern interniert, in denen bekannterweise menschenunwürdige Bedingungen herrschen, wie es etwa zurzeit in der Ukraine geschieht.	As a result of such partnership agreements, refugees are interned in camps, in which, as we all know, inhumane conditions prevail, as is currently the case in Ukraine.
Die Problematik wurde hier schon allgemein angesprochen.	The problem has already been addressed here in general terms.
Diese Art des so genannten internationalen Migrationsmanagements beinhaltet schwerwiegende Verstöße gegen die Genfer Flüchtlingskonvention und gegen das internationale Menschenrecht.	This form of so-called international immigration management involves serious infringement of the Geneva Refugee Convention and of international human rights.
Ich fordere die EU deshalb auf, endlich Fluchtursachen statt Flüchtlingen zu bekämpfen.	I therefore call on the EU to start fighting the cause of flight rather than the refugees.
Die Europäische Nachbarschaftspolitik ist ein Mittel, um die Festung Europa noch undurchdringlicher zu machen, und wird deswegen aus unserer Sicht, aus der Sicht der GUE/NGL, sehr skeptisch beurteilt.	The European neighbourhood policy is one means of making fortress Europe even more impenetrable, which is why it is looked on very sceptically from our point of view, from the point of view of the GUE/NGL.
