im Namen der S-D-Fraktion. - Herr Präsident! Herr Kommissar, danke für Ihren Bericht!	on behalf of the S&D Group. - Mr President, Commissioner, thank you for your report.
Die Sicherheit der Versorgung unserer Bürgerinnen und Bürger wird zu einer immer wichtigeren Frage.	The question of security of supply for our citizens is becoming ever more important.
Gerade in diesem Zusammenhang wird Ihr Ressort in Zukunft eine noch größere Rolle spielen - auch für die europäische Identität.	In this context in particular, your portfolio will play an even greater role in future - and it will be important for the European identity, too.
Dabei geht es - das haben Sie richtig erwähnt - natürlich auch um Diversifizierung.	As you quite rightly said, diversification is also necessary.
Ich kann mich dem Kollegen Kasoulides nur anschließen: Die Zusammenarbeit mit Russland wird immer wichtig sein, es ist ein wichtiger Partner für die Gasversorgung.	I absolutely agree with Mr Kasoulides that cooperation with Russia will always be important, as it is an important partner with regard to gas supply.
Aber wir sollten nicht zu sehr von einem Land abhängig sein - unabhängig davon, um welches Land es sich handelt -, sondern wir sollten dementsprechend diversifizieren. Und hier ist Nabucco ein guter Ansatz.	However, we should not be too dependent on any one country, whichever country that may be, but we should diversify, and Nabucco is a good way of going about this.
Mein dritter Punkt betrifft die notwendige Solidarität in der EU.	My third point concerns the solidarity that is needed in the EU.
Hier haben Sie einige Vorschläge gemacht, wie diese Solidarität verstärkt werden soll, und wie auch die Rolle der EU als Vermittler bei Streitigkeiten, die uns betreffen, insbesondere zwischen Russland und der Ukraine, gestärkt werden kann.	You have presented a number of proposals as to how we should increase our solidarity and also how the role of the EU as a mediator in conflicts that affect us, in particular between Russia and Ukraine, can be strengthened.
Sie haben auch von Desertec gesprochen.	You also talked about Desertec.
Ich glaube, beide Projekte sind mit ihrer unterschiedlichen Kurz- bzw. Langfristigkeit wichtig.	I believe both projects are important, as they differ in terms of their timescales.
Ferner ist zu überlegen - und das wäre eine Aufgabe Ihres Nachfolgers, ob Sie das selbst sind oder wer auch immer -, wie wir uns in Europa einerseits zu einigen großen Projekten bekennen, wie z. B. Nabucco und Desertec, aber gleichzeitig auch für die Dezentralisierung gewisser Strom- oder Energieproduktionen eintreten.	We also need to consider - and that would be a task for your successor, whether that is you or someone else - how we in Europe, on the one hand, can be in favour of a number of large projects, such as Nabucco and Desertec, while at the same time advocating the decentralisation of some of our electricity and energy production.
Derzeit befinden sich - auch wieder industry driven - eine Reihe von Industrieprojekten in der Entwicklung, die es möglich machen, dass der Verbraucher und auch der Haushalt selbst stärker in eine Energieproduktion einsteigt, die Energiesicherheit mit sich bringt.	There are currently a number of industrial projects under development - which are also industry-driven - which enable consumers and even households to become more involved with a type of energy production that brings energy security.
Das geht von den Smart Meters auf der einen Seite bis zur direkten Produktion durch einzelne Haushalte.	This ranges from smart meters on the one hand to actual production by individual households.
Das könnte der europäische Aspekt sein, zu sagen: Ja, wir brauchen natürlich die Versorgung von außen, wir brauchen die Versorgungssicherheit, wir brauchen große Projekte, innovative Projekte wie Desertec, wir müssen aber auch dafür sorgen, dass die Menschen, die Firmen, die Unternehmen, aber auch die einzelnen Haushalte ihren Energiehaushalt, ihren Energieverbrauch sowohl preislich als auch ökonomisch als auch ökologisch verstärkt kontrollieren können.	In this regard, Europe's approach could be to say 'yes, of course we need an external supply, we need security of supply and large, innovative projects like Desertec, but we must also ensure that the people, the companies and enterprises as well as individual households can have greater control over their energy budgets and energy consumption in terms of price, the economy and the environment'.
