Herr Präsident, meine Damen und Herren! Die Mehrheit freut sich, ist erleichtert.	Mr President, ladies and gentlemen, the majority is happy and relieved.
Von der Minderheit erwarte ich, dass sie das Ergebnis respektiert!	I expect the minority to accept the outcome.
27 Völker und das Europäische Parlament haben mehrfach mehrheitlich Ja zur Weiterentwicklung der Europäischen Union gesagt.	The majority in 27 nations and in the European Parliament has repeatedly said 'yes' to the further development of the European Union.
Wir stellen fest, dass es eine demokratische Mehrheit gibt und eine blockierende Minderheit.	We can see a democratic majority and a blocking minority.
Dieses Ja der demokratischen Mehrheit war ein Ja der Vernunft, ein Ja zu einer demokratischeren, transparenteren und bürgernäheren Europäischen Union, ein Ja der proeuropäisch positiv denkenden und handelnden Menschen, ein Ja zur Stärkung der Europäischen Union in der Welt, ein wichtiger Schritt in die richtige Richtung.	This 'yes' of the democratic majority was the 'yes' of common sense, a 'yes' to a more democratic, more transparent European Union that is closer to its citizens, the 'yes' of positive pro-European thinkers and actors, a 'yes' to the strengthening of the European Union's position in the world and an important step in the right direction.
Wir sind noch lange nicht fertig, weil wir eine gemeinsame Außen- und Sicherheitspolitik benötigen, um ein global player zu werden.	We still have a long way to go, because we need a common foreign and security policy in order to be a global player.
Wir müssen die Demokratie weiterentwickeln, z.B. durch die Möglichkeit einer europäischen Volksabstimmung, durch ein einheitliches europäisches Wahlrecht und vieles mehr.	We need to continue to further democracy, for example, by allowing the possibility of a European referendum, a uniform European right to vote and many other things.
Wir haben jetzt einiges zu tun, wir dürfen keine Zeit verlieren.	We have work to do now and we must not waste any time.
Von der Kommission erwarte ich, dass sie rasch die Reform der Dossiers vorantreibt und die Gespräche mit den Mitgliedstaaten über die Kommissare beginnt.	I expect the Commission to expedite the reform of the dossier and to begin talks with the Member States regarding the commissioners.
Vom Rat erwarte ich, dass er Klarheit schafft, wie er zu diesem Ergebnis steht.	I expect the Council to provide clarity with regard to its position on this outcome.
Und von uns selbst erwarte ich, dass wir uns der Information, der Kommunikation und dem Dialog mit dem Bürger verstärkt stellen.	I also expect us, in Parliament, to improve our communications and dialogue with citizens and to provide them with better information.
Wir haben doch deutlich gesehen: Je besser Information, Kommunikation und der Dialog sind, umso größer ist die Mehrheit.	We have clearly seen that the better the information, communication and dialogue, the larger the majority.
Politiker, die sich das nicht zutrauen, sind fehl am Platz, genauso wie Politiker, die sich hinter Volksabstimmungen verstecken, weil sie selbst nicht auf den Bürger zugehen und Verantwortung übernehmen wollen.	Politicians who do not believe themselves capable of this are in the wrong place, as are politicians who hide behind referendums because they do not want to approach the citizens themselves and take any responsibility.
Je europäischer die Debatte war, umso größer war die Mehrheit.	The more the debate was focused on Europe, the larger the majority was.
Wir sagen Nein zu einer Nationalisierung der Europapolitik, nein zu nationalen Volksabstimmungen in europäischen Angelegenheiten, außer beim Beitritt des eigenen Landes! <BRK>	We say 'no' to the nationalisation of European policy and 'no' to national referendums on European matters, except with regard to the accession of one's own country.
