Die Kommission ist nicht Teil der Lösung des Problems, sondern sie ist selbst das Problem.	The Commission is not part of the solution to the problem, but is actually the problem.
Deshalb muss man darauf hinweisen, dass die Kommission einen Teil der Probleme durch die Erhöhung der Milchmenge selbst verursacht hat.	We must point out, therefore, that the Commission has caused part of the problems itself by increasing the quantity of milk.
Sie hat während der Krise monatelang überhaupt nicht reagiert.	It failed to react in any way for months as the crisis went on.
Die Kommissarin hat noch vor vier Wochen gesagt, es gäbe kein Problem, der Markt würde sich verbessern, man müsse nur Geduld haben.	The Commissioner told us as recently as four weeks ago that there were no problems, that the market would improve and that we must be patient.
Ausgerechnet an diese Kommission geben wir unsere Befugnisse ab, und ausgerechnet von dieser Kommission erwarten wir Hilfe.	This, of all Commissions, is the Commission to which we are handing our powers and this, of all Commissions, is the Commission from which we are expecting help.
Nein, ich glaube nicht, dass dies der richtige Weg ist!	No, I do not think that is the right way to proceed.
Die Kommission hat auch gestern nicht sagen können, wofür zusätzliche Mittel jetzt ausgegeben werden sollen.	Even yesterday, the Commission was unable to tell us what the additional funds are to be spent on.
Sie spricht von Umstrukturierung.	The Commission talks of restructuring.
Das hieß aber in den letzten Jahren immer nur weniger Milchbauern.	Over recent years, all restructuring has meant has been fewer and fewer dairy farmers.
Sie hat auch nicht gesagt, wie sie die Erzeugerorganisationen weiterhin stärken will.	The Commission has also failed to say how it intends to reinforce the producer organisations going forwards.
Nein, sie will weiterhin für Exporterstattung Geld ausgeben.	No, it wants to continue paying out export refunds.
Und es gibt keine Antwort darauf, wie wir die Erzeuger im Kampf gegen die Supermärkte stärken können.	We have also heard no answer about how we are to strengthen the producers' position in their struggle against the supermarkets.
Auch da konnte die Kommission gestern keine Lösung vorschlagen.	The Commission was unable to put forward any solution in this regard yesterday either.
Insofern haben wir große Zweifel daran, dass die Kommission jetzt ernsthaft bemüht sein wird, die Krise zu lösen.	In the light of all this, we are highly doubtful that the Commission is wholeheartedly working to resolve this crisis.
Wir stellen einen Blankoscheck aus, ohne zu wissen, was die Kommission macht, wie sie es macht und womit sie es machen will.	We are writing a blank cheque without knowing what the Commission is doing, how it is doing it and with what it intends to do it.
Aber noch ein weiterer Punkt ist für unsere Ablehnung entscheidend.	Yet another issue was the crucial reason for our decision to reject this procedure, however.
Wir haben als Parlament lange dafür gekämpft, dass wir mehr Rechte bekommen - gerade im Agrarbereich!	We, Parliament, have long been fighting for more rights - particularly in the field of agriculture.
Das Erste, was wir jetzt tun, kurz bevor wir den Lissabon-Vertrag haben, ist, dass wir diese Rechte wieder abgeben.	Yet just as we are on the verge of the Treaty of Lisbon being ratified, the first thing we do is to give these rights away again!
Das darf ja nicht sein!	That simply cannot be allowed to happen.
Das erscheint mir als neuem Abgeordneten etwas ungewöhnlich.	As a new Member of this House, this strikes me as somewhat extraordinary.
Wir müssen unsere Rechte wahrnehmen, wir müssen die Debatten hier führen, und wir müssen das Heft des Handelns in die Hand nehmen!	We must exercise our rights, we must hold the debates in this House and we must keep our hand on the tiller.
Wir sind dann auch verantwortlich dafür, das nehme ich gerne in Kauf.	We, too, have responsibility here, I am happy to accept that.
Aber wir können keine Verantwortung abgeben, sondern wir sind als Parlamentarier gefordert.	We must not, however, give up any responsibility. Rather, as parliamentarians, that responsibility is our calling.
Wir wollen den Milchbauern ernsthaft und dauerhaft helfen.	We must provide the dairy farmers with serious and long-lasting help.
(Beifall	(Applause)
