Herr Präsident, meine sehr geehrten Damen und Herren! Der Herr Farage geht jetzt hinaus.	Mr President, ladies and gentlemen, Mr Farage is now leaving.
Ich hoffe nur, dass in diesem Saal niemand ist, der hasst, was er uns unterstellt hat.	I hope that there is no one in this Chamber who hates what he has implied about us.
Hass widerspricht der europäischen Gesinnung, und Egoismus, Protektionismus und Nationalismus sind die größten Feinde des Gemeinschaftsprojekts der Europäischen Union.	Hate goes against the European ethos, and egoism, protectionism and nationalism are the greatest enemies of the Community of the European Union.
Zum Zweiten: Es gibt hoffentlich in diesem Saal niemanden, der die parlamentarische Demokratie gegen die Bürger ausspielt und eine Trennlinie zwischen uns und unserer Aufgabe als Vertreter der Bürgerinnen und Bürger sieht, wie er uns das unterstellt hat.	Secondly, I hope that there is no one in this Chamber who is playing off parliamentary democracy against the citizens and who sees a dividing line between us and our job as representatives of the citizens, as he has implied.
Wir spüren alle das Knistern vor dem Gipfel. Wir hoffen auf den entscheidenden, befreienden Pass des Verfassungsgerichtshofs.	We have all seen the sparks flying in the run-up to the summit and we are hoping for a decisive, liberating judgment from the constitutional court.
Wir erwarten, dass der Rat seiner Verantwortung für Europa gerecht wird, sich nicht in Geiselhaft von einer Person nehmen lässt und die nötigen Entscheidungen personell, institutionell, zeitlich, inhaltlich und finanziell trifft.	We expect the Council to fulfil its responsibility to Europe, not to allow itself to be held hostage by one person and to take the necessary decisions concerning staffing, the institutions, the schedule, the content and the finances.
Ich appelliere aber auch an die Regierungen, bei der Auswahl der Kommissare und der Nominierung nicht den kleinsten gemeinsamen Nenner zu suchen, sondern die beste Lösung für die Gemeinschaft, deren Teil wir sind.	However, I also call on the governments not to look for the lowest common denominator when selecting and nominating the commissioners, but instead to find the best solution for the Community of which we are all a part.
Ich appelliere an die Regierungen, nicht die bekannten parteipolitischen Spielchen bei der Auswahl der Kommissare zu spielen, sondern die gemeinsame europäische Verantwortung in das Zentrum der Personalauswahl zu stellen.	I call on the governments not to play the familiar old party political games when selecting the commissioners, but instead to put common European responsibility at the heart of the selection process.
Ich fordere vom Kommissionspräsident, ein ehrgeiziges Anforderungsprofil an die Kommissare und an die Mitgliedstaaten zu richten.	I call on the President of the Commission to produce an ambitious set of requirements for the commissioners and the Member States.
Mein zweiter Punkt ist die Finanzmarktaufsicht.	My second point concerns supervision of the financial markets.
Ja, ich begrüße die Makroaufsicht, aber damit ist es ja noch lange nicht getan.	I welcome the proposals for macro-supervision, but they do not go nearly far enough.
Wir brauchen auch die Mikroaufsicht, und der Vorschlag der Kommission ist meiner Ansicht nach der kleinste gemeinsame Nenner, das Mindestmaß.	We also need micro-supervision and, in my opinion, the Commission proposal represents the lowest common denominator, the minimum. We must go further.
Wir müssen weiter gehen, wir müssen zu einer europäischen Finanzmarktaufsicht mit Weisungsrecht kommen, analog zur Europäischen Zentralbank.	We must put in place a supervisory body for the European financial markets which has the authority to take the necessary measures, similar to the European Central Bank.
(Der Präsident entzieht dem Redner das Wort)	(The President cut off the speaker)
