Verfasser. - Herr Präsident! Ich habe zwei Minuten.	Mr President, I have two minutes.
Der 25-jährige Bürgerkrieg in Sri Lanka scheint beendet zu sein.	The 25-year civil war in Sri Lanka appears to be over.
Im Mai eroberten die Regierungstruppen die von der LTTE gehaltenen Gebiete im Norden.	In May, government troops captured the areas in the north held by the LTTE.
Möge es gelingen, dass ein Neuanfang Frieden bringt, der mit Freiheit verbunden ist.	Hopefully, a new beginning will bring peace and, with it, freedom.
Die Menschen leiden nicht nur unter den Auswirkungen des Bürgerkrieges, sondern auch unter den Folgen des Tsunami und anderer Naturkatastrophen.	The people are suffering not only from the effects of the civil war, but also from the consequences of the tsunami and other natural disasters.
Die EU hat den Außenhandel intensiviert und gewährt höhere Zollvergünstigungen als jedem anderen Land in Südasien.	The EU has stepped up foreign trade and is granting higher tariff preferences than to any other country in southeast Asia.
Internationale Hilfe ist auch eine Verpflichtung für die politischen Kräfte in Sri Lanka, die Menschenrechte zu verwirklichen.	International aid brings with it the obligation for the political forces in Sri Lanka to implement human rights.
In überfüllten Lagern werden 250 000 Menschen festgehalten. Ihre Versorgung mit Trinkwasser und Medikamenten ist mangelhaft.	Two hundred and fifty thousand people are being held in overcrowded camps with poor drinking water and medical supplies.
Den Hilfsorganisationen wird der Zutritt verwehrt.	The aid organisations are being refused access.
Es sollte im eigenen Interesse der Regierung sein, schnellstmöglich die Rückkehr in die Heimatdörfer zu organisieren.	It should be in the government's own interest to organise the return to home villages as quickly as possible.
Die EVP plädiert dafür, dass dabei das Internationale Rote Kreuz eine Schlüsselrolle erhält.	The European People's Party (Christian Democrats) is lobbying for the International Red Cross to be given a key role.
Ein weiteres Feld für notwendige Veränderungen ist die Presse- und die Meinungsfreiheit.	Another sector in which change is needed is freedom of the press and freedom of expression.
Entführung und Verhaftung von Journalisten müssen ein Ende haben.	The abduction and arrest of journalists must end.
Kritische Artikel dürfen nicht mehr mit Gefängnisstrafen geahndet werden.	Critical articles should stop being punished with prison sentences.
Als Mitglied der SAARC-Delegation habe ich Sri Lanka mehrfach besuchen können.	As a member of the SAARC delegation, I have been able to visit Sri Lanka many times.
Ich halte einen Neubeginn für dieses Land dann für chancenreich, wenn sich die Tamilenführer konstruktiv einbringen.	I believe a new beginning for this country will be rich in opportunity if the Tamil leaders are included in a constructive manner.
Dazu gehört aber die Absage an jede Art von Terrorismus und Gewalt, und dazu gehört die Mitarbeit an einer Strategie zur Verwirklichung der Menschenrechte.	However, this means rejecting all forms of terrorism and violence and it means cooperation on a strategy to implement human rights.
Den Bürgern von Sri Lanka wünsche ich, dass eine Aussage, die ich immer wieder gehört habe: "war is an institution" endlich der Vergangenheit angehört.	I wish, for the sake of the citizens of Sri Lanka, that an expression which I have heard time and again - 'war is an institution' - will finally be consigned to the past.
(Beifall)	(Applause)
