im Namen der GUE/NGL-Fraktion. - Herr Präsident!	Mr President, the Treaty of Lisbon has been ratified by all 27 Member States.
Der Vertrag von Lissabon wurde von allen 27 Mitgliedstaaten ratifiziert. Das mögen viele als großen Erfolg feiern, meine Fraktion tut das nicht.	Many will be celebrating this as a great success, but my group will not be joining in these celebrations.
Die Gründe dafür habe ich hier schon mehrfach wiederholt und will das nicht erneut tun.	I have stated the reasons for this many times in this House and I do not intend to do so again.
Die Tatsache, dass die Grundrechtecharta für die Bürgerinnen und Bürger von drei Mitgliedstaaten nicht gelten wird, lässt mich leider am großen Fortschritt beim Grundrechteschutz der EU zweifeln.	Unfortunately, the fact that the Charter of Fundamental Rights will not apply for the citizens of three Member States gives me doubts about the EU's great progress in the protection of fundamental rights.
Ich ergänze dies ausdrücklich auch mit Rückblick auf den Anlass unserer heutigen feierlichen Sitzung und den Vortrag von Václav Havel.	I mention this specifically in view of our celebratory sitting today and Václav Havel's speech.
Aber gerade weil die Linke in Europa eine soziale, eine friedliche und ökologisch nachhaltige europäische Integration will, werden wir die vertraglichen Grundlagen auch weiterhin in diesem Sinne nutzen.	However, precisely because the Left in Europe wants a social, peaceful and environmentally sustainable European integration, we will also continue to use the framework provided by the treaty for this purpose.
Das haben wir bisher getan, das werden wir weiterhin tun.	We have done this up to now, and we will continue to do so.
Dass dem Europäischen Parlament nun mehr Rechte zugedacht werden, kann ich in diesem Zusammenhang nur begrüßen.	In this connection, I can only welcome the fact that the European Parliament will now have more rights.
Bei allem Freudentaumel - auch die Staats- und Regierungschefs wären gut beraten gewesen, ihren kürzlichen Gipfel für mehr konkrete Politik zu nutzen.	Amidst all the rejoicing, the Heads of State or Government would also have been well advised to use their recent summit for more tangible policies.
Die größte Herausforderung, vor der die Welt steht, ist der Klimawandel.	The greatest challenge facing the world is climate change.
Auf dem Weg zur Weltklimakonferenz in Kopenhagen fällt die Europäische Union leider aus der Führungsrolle heraus, die sie sich selber zugesprochen hat.	In the run-up to the world climate conference in Copenhagen, the European Union has, unfortunately, lost the leading role that it had set itself.
Denn zum einen entsprechen die inhaltlichen Verpflichtungen zur Reduzierung der CO2-Emissionen nicht den Notwendigkeiten.	For one thing, the substance of the commitments to reduce CO2 emissions does not correspond to what is actually needed.
Darüber hinaus ist es nicht hinnehmbar, dass sich die EU-Mitgliedstaaten ganz offensichtlich vor ihren finanziellen Verantwortlichkeiten drücken wollen, und das in einer Situation, die keinen Aufschub dulden kann.	Moreover, it is unacceptable that the EU Member States quite clearly want to avoid their financial responsibilities, even though this is a situation where we cannot afford to delay our action.
Es geht hier nicht darum, ob Schweden bald ein großes Weinanbaugebiet wird - obwohl ich Ihnen das gönne.	It is not about whether Sweden will soon become a great wine-growing region - although I do not begrudge you that.
Es geht ganz konkret um das Überleben und übrigens auch um den Frieden in unserer Welt.	It is quite simply about survival and, incidentally, also about peace in our world.
Bereits heute schaffen Klimaveränderungen Armut und Hunger und zwingen Millionen Menschen zur Flucht aus ihrer Heimat.	Climate change is already causing poverty and hunger and forcing millions of people to flee from their homelands.
Sicher hat jeder in diesem Saal schon einmal von globalen Herausforderungen gesprochen, die nicht national zu bewältigen sind.	Everyone in this Chamber has surely spoken at one time or another of global challenges that cannot be overcome at national level.
Klimaschutz, Armutsbekämpfung und Frieden sind genau solche Herausforderungen.	Climate protection, peace and combating poverty are just such challenges.
Wenn die Europäische Union hier nicht konsequent und vorbildlich handelt, wird sie international an Akzeptanz verlieren!	If the European Union does not act in a consistent and exemplary manner in this regard, it will lose its acceptance as an international player.
