Herr Präsident! Die Demokratie braucht eine Revolution.	Mr President, democracy needs a revolution.
Das sage ich jetzt immer, und ich sage es diesmal ganz besonders intensiv zu Ihnen, Herr Präsident.	I am always saying that nowadays, and this time I am directing the comment at you in particular, Mr President.
Was machen Sie nur hier?	What is it that you are doing here?
Sie machen das Leben für Leute, die die europäischen Ideale teilen, aber aus grundsätzlicher Überzeugung keiner politischen Gruppe angehören wollen, vollkommen unnötigerweise schwierig und schießen sich damit ein Eigentor.	You are making the lives of people who share the European ideal but who, because of their fundamental principles, do not wish to belong to a political party, quite unnecessarily difficult and are thereby shooting yourself in the foot.
Worauf beziehe ich mich?	To what am I referring?
Auf Artikel 192 Absatz 1, wo in einer Husch-Husch-Aktion - das haben viele nicht bemerkt - durchgesetzt wurde, dass die Fraktionen einen Koordinator bestimmen können.	I am referring to Article 192(1). The provision stipulating that the Groups may elect a coordinator has been pushed through via the back door, and unnoticed by many.
Früher gab es dazu immer den Zusatz, Herr Präsident: "Analog gilt das auch für die Fraktionslosen." Das wurde jetzt nicht mehr dazu interpretiert.	Previously, Mr President, we always had the following addendum: 'the relevant provisions shall apply mutatis mutandis to Non-attached Members'.
Ich habe Ihnen einen Brief geschrieben.	This interpretation no longer stands.
Zwei Monate später haben Sie mir geantwortet und einfach nur den Paragrafen wiederholt.	I wrote a letter to you. Two months later, you responded and merely repeated the paragraph.
Bitte lesen Sie diesen Brief noch einmal!	Please read my letter again.
Verstehen Sie bitte, dass Sie im Augenblick dabei sind, ein Parlament, das ich im Prinzip unterstütze, zu einem Zweiklassen-Parlament absinken zu lassen.	Please understand that you are currently very close to letting a Parliament which, in principle, I support, degenerate into a two-tier Parliament.
Bei Ihrer persönlichen Geschichte - wie können Sie das nur machen?	In view of your personal background, how can you do such a thing?
Weil wir als Fraktionslose nicht die Möglichkeit haben, die relevanten Informationen tatsächlich zeitgerecht zu bekommen und bei der Entscheidung über Berichte und Ähnliches aktiv teilnehmen zu können.	Because we, as Non-attached Members, do not have the opportunity to obtain the relevant information in time and take an active part in making decisions concerning reports and similar matters.
Dahingehend gehört die Geschäftsordnung geändert!	In this respect, the Rules of Procedure must be changed.
Außerdem möchte ich gerne wissen, warum Herr Corbett, der, genau weil er solche Dinge macht, von Rechtsradikalen rausgewählt wurde, heute Abend im Plenum quasi als Supervisor sitzen kann.	Furthermore, I would like to know why Mr Corbett, who was voted out by right-wing radicals precisely because he does these kinds of things, is allowed to sit in Plenary today, virtually in the role of a supervisor.
Das ist ein Zweiklassen-Parlament.	This is a two-tier Parliament.
Wir werden klagen müssen, aber ich würde gerne diese Klage vermeiden.	We will be forced to file a complaint, although I would very much like to avoid this course of action.
