Ihre Stabilität bedingt die unsere, wie wir in den 90er Jahren umgekehrt leidvoll erfahren haben.	Our stability is determined by their stability as we unfortunately found out in the 1990s.
Alle Länder müssen natürlich die Voraussetzungen erfüllen, die die Kopenhagener Kriterien beinhalten, und, da sie verfeindet waren, natürlich auch eine regionale Zusammenarbeit pflegen.	All the countries must, of course, meet the requirements of the Copenhagen criteria and, as these countries were formerly enemies, they must also take part in regional cooperation programmes.
Das gilt aber auch für die Länder, die Nachbarländer dieser Beitrittskandidaten sind.	This also applies to the countries which are the neighbours of these accession candidates.
Ich erwarte von Slowenien und auch von Griechenland, dass sie den Beitrittskandidaten helfen, diesen Weg schnell und zügig zu gehen.	I expect Slovenia and Greece to help the accession candidates to achieve their objective quickly and easily.
Leider ist das Land Bosnien und Herzegowina in einer ganz ganz schwierigen Situation, und ich glaube nicht, dass ich das in anderthalb Minuten überhaupt abhandeln kann, obgleich ich Berichterstatterin für diese Region bin.	Unfortunately, Bosnia and Herzegovina is in a very difficult situation and I do not believe that I can cover it in one-and-a-half minutes, although I am the rapporteur for this region.
Ich spare mir das.	I will not even try.
Ich wünsche nur, lieber Herr Ratspräsident und lieber Herr Kommissar, dass die Verhandlungen dort unten so geführt werden, dass sie nah bei den Menschen erfolgen und nicht zu sehr von außen diktiert werden.	I only wish, Mr Bildt and Mr Rehn, that the negotiations there could take place close to the people and not be dictated from the outside.
Alle Länder in der Region haben unterschiedlich lange Wege zurückzulegen, und wir müssen ihnen bei der Bewältigung helfen.	All the countries in the region have different distances to cover and we must help them to overcome their problems.
Lieber Herr Kollege Lambsdorff, das Thema, dass die Beitrittskandidaten mehr Kommissare als die Gründungsmitglieder haben, ist wohl ein ganz erbärmliches Argument.	Mr Lambsdorff, the idea that the accession candidates will have more commissioners than the founding members is a quite pathetic argument.
Es ist nämlich kein Argument, es ist ein Totschlagargument.	It is actually not an argument at all; it is a knock-out argument.
Denn dieses Problem kann man lösen. Aber die Menschen dort unten dürfen nicht ausgeschlossen bleiben, weil Sie das Problem nicht lösen wollen.	This problem can be resolved, but the people in these countries should not be excluded just because you do not want to resolve the problem.
