Frau Präsidentin, sehr geehrte Damen und Herren, was bedeutet eigentlich Religionsfreiheit?	Madam President, ladies and gentlemen, what does freedom of religion actually mean?
Die Antwort ist einfach: Es ist die Freiheit, Religion auszuüben.	The answer is quite simple. It is the freedom to practise religion.
Religionsfreiheit ist nicht die Freiheit von Religion, sondern die Freiheit zur Religion.	Freedom of religion is not freedom from religion but the freedom to have religion.
Religionsfreiheit schafft keine religionsfreie Gesellschaft, sondern gibt dem Menschen das Recht, seine Religion in der Gesellschaft auch öffentlich zu leben.	Freedom of religion does not create a religion-free society, but rather gives people the right to practice their religion openly within society.
Ein Kreuz im Klassenzimmer zwingt niemandem auf, was er zu glauben hat oder nicht.	A crucifix in the classroom does not force anyone to believe, or not to believe.
Deshalb ist es auch kein Verstoß gegen die Religionsfreiheit.	Therefore, it does not violate the freedom of religion.
Ich habe auch noch nie von einem Recht gehört, nicht mit religiösen Symbolen konfrontiert zu werden.	Nor have I ever heard of a right entitling someone not to be confronted with religious symbols.
Sonst müsste man eigentlich auch gleich alle Kreuze auf Friedhofsgräbern und alle Kirchtürme verbieten.	If this were the case, we would, in fact, immediately have to prohibit all crosses on gravestones and all church spires.
Das Kruzifixurteil des Europäischen Gerichtshofs für Menschenrechte ist aus diesen Gründen nicht nur ein Angriff auf das Subsidiaritätsprinzip, sondern verstößt auch gegen das Menschenrecht auf Religionsfreiheit.	The crucifix ruling of the European Court of Human Rights is therefore not only an attack on the principle of subsidiarity, but it also violates the right to religious freedom itself.
Dieses Urteil können und dürfen wir als Europäisches Parlament nicht akzeptieren.	We, the European Parliament, cannot and must not accept this ruling.
Der Europäische Gerichtshof für Menschenrechte muss Recht sprechen und darf nicht zum Spielball ideologisch geleiteter und christophober Interessen werden.	The European Court of Human Rights should administer justice and not become a puppet for ideological and anti-Christian interests.
Ansonsten müssen wir ernsthaft darüber nachdenken, welchen Sinn der Gerichtshof überhaupt noch hat.	Otherwise, we will have to seriously consider whether this Court actually still has a purpose at all.
