Herr Präsident! Wenn wir von Kopenhagen eines lernen können, dann ist es Realitätssinn.	Mr President, if we can learn anything from Copenhagen, then it is a sense of reality.
Ich kann mich noch gut an die Debatte vor Kopenhagen hier im Hause erinnern.	I still remember the debate we had here in this House before Copenhagen.
Alle Kolleginnen und Kollegen haben vor Optimismus nur so geglüht.	Everyone was glowing with optimism, but it came to nothing.
Aber es nützt nichts. Es ist eine internationale Konferenz mit ihren Regeln, und nur mit gutem Willen alleine kann man wenig erreichen.	It was an international conference with its own rules, and we can achieve little with good will alone.
Darum lassen Sie uns an die nächsten Verhandlungen in Mexiko mit dem nötigen Realitätssinn herangehen.	So, let us approach the next negotiations in Mexico with the necessary sense of reality.
Wenn man Kopenhagen bewertet, so muss man fairerweise sagen, dass es nicht so schlecht ist, weil das Ergebnis doch als Basis für die Verhandlungen in Mexiko dienen kann und man doch einiges erreicht hat.	If we were to assess Copenhagen, we have to say, to be fair, that it was not so bad, because the result can serve as a basis for the negotiations in Mexico and something, at least, was achieved.
Was die größte Enttäuschung für uns Europäer sein muss, ist, dass wir - die EU - nicht dabei waren, als dieses Abschlussdokument entworfen wurde.	The greatest disappointment for us Europeans has to be that we - the EU - were not there when the final document was drawn up.
Das muss uns doch zu denken geben, weil wir doch immer betonen, dass wir diejenigen sind, die im Kampf gegen den Klimawandel weltweit führend sein wollen.	That must give us pause for thought, because we are always emphasising the fact that we are the ones who want to take a leading role in the global fight against climate change.
Warum ist das so?	Why should this be?
Zum einen wahrscheinlich, weil wir mit unseren 14 % CO2-Ausstoß nicht zu den größten Emittenten gehören.	First of all, probably because, with our 14% CO2 emissions, we are not among the largest emitters.
USA und China haben ja zusammen fast die Hälfte.	The US and China together account for almost half.
Aber wir in Europa sprechen nun einmal nicht mit einer Stimme.	However, in Europe, we do not speak with one voice.
Der letzte Umwelt-Ministerrat hat sehr gut gezeigt, wie differenziert die Ansichten dort sind.	The last Environment Council showed very clearly how different the views are there.
Manche Länder sehen die Problematik ganz anders als beispielsweise die Mehrheit in diesem Haus.	Many Member States view the problem very differently to the majority in this House, for example.
Ein weiterer Grund ist aber sicher auch, dass wir Europäer nicht so gut sind wie wir immer zu sein behaupten.	However, another reason is surely the fact that we Europeans are not as good as we always claim to be.
Rechnen wir nämlich diese CDMs, also diese joint implementation measures, und diese anderen Maßnahmen heraus, und berücksichtigen wir nur unsere eigenen Maßnahmen zur Senkung des an CO2-Ausstoßes, dann sehen wir, dass unsere Bilanz nicht so gut ist, wie wir immer vorgeben.	If we take these clean development mechanisms, in other words, these joint implementation measures, and the other measures out of the equation and consider only our own measures for reducing CO2 emissions, then we can see that our balance sheet is not as good as we maintain.
Zum Dritten muss man auch sagen, andere Länder und andere Regionen in der Welt haben einen anderen Zugang zu diesem Problem.	Thirdly, we also have to say that other countries and other regions of the world have a different approach to this problem.
Unser großes Ziel ist eine rechtlich bindende Übereinkunft.	Our big goal is a legally binding agreement.
Aber China und die USA wählen da einen anderen Zugang.	However, China and the US are opting for a different route.
Wir sollten insgesamt überlegen, ob wir nicht mehr Flexibilität in unseren Verhandlungen an den Tag legen sollten, weil der gemeinsame Kampf gegen das Phänomen Klimawandel wichtig ist, doch die Methoden, die dahin führen, durchaus unterschiedlich sein können.	Overall, we need to consider whether we should not be more flexible in our negotiations, because working together to combat the phenomenon of climate change is important, but the methods we employ to achieve this could be quite different.
