Herr Präsident! Wir brauchen eine Revolution der Demokratie.	Mr President, we need to overhaul the democratic process.
Als junger Buchautor und Journalist habe ich aus Überzeugung 62 % Steuern bezahlt, weil ich damals der Überzeugung war und den Eindruck hatte, dass wir gut verwaltet werden.	As a young author and journalist, I used to pay 62% tax out of conviction, because I was convinced, and had the impression, that we were governed by good people.
Seitdem ich Mitglied des Europäischen Parlaments bin, sehe ich, was mit diesen - damals waren es Millionen Schillinge jedes Jahr - tatsächlich passiert.	However, since becoming a Member of the European Parliament, I have seen what actually happens to tax revenue. Back then, we used to pay millions of schillings every year.
Es stört mich an dieser Debatte um die Förderung des verantwortungsvollen Handelns im Steuerbereich, dass wir nicht auf die Ausgabenseite schauen, dass man immer nur vom bösen Steuerbetrüger spricht!	What bothers me in this debate on the promotion of good governance in tax matters is the fact that we are not looking at our own spending, but simply talking about evil tax fraudsters.
Damals, als der Steuersatz 62 % betrug, hieß mein Steuerberater Christoph Matznetter, der spätere Finanzstaatssekretär Österreichs.	Back then, when the tax rate was 62%, my tax adviser was Christoph Matznetter, who later became Austria's Secretary of State for Finance.
Dieser hat gesagt: Du kommst doch aus Vorarlberg, geh nach Liechtenstein, geh in die Schweiz!	He told me: 'you are from Vorarlberg, go across the border, to Liechtenstein or Switzerland!'
Ich habe es nicht getan, viele andere aber schon.	I did not do it, but others did.
Aber wenn man gerade angesichts der konkreten Erfahrungen, die man hier macht, mit dem nüchternen, vernünftigen Blick eines Menschen, der nicht Beamter war, der nicht irgendwelchen Sozialsystemen zur Last gelegen ist, der nicht in irgendwelchen öffentlichen Bereichen tätig war - wie die Mehrheit der Abgeordneten hier -, an die Sache herangeht, dann sagt man: Um Gottes Willen, wie kann ich mein oft sehr redlich erworbenes Geld vor dieser Verschwendung retten?	However, if, in the light of these experiences, you approach this with the sober and rational mind of someone who was not a civil servant, who was not an expense to the social security system, who was not active in any public domain, as the majority of Members here are, then you have to ask yourself how in all the world can I my save my hard-earned money from this wastefulness?
Darum mein Vorschlag: Setzen wir doch dort an, wo wir beweisen können, dass vernünftige Verwaltung entsprechende Gelder braucht, nämlich bei uns selbst.	My suggestion therefore is as follows: let us begin at the point where we can demonstrate that a sensible administration will use money sensibly, that is, with ourselves.
Wozu jetzt wieder 200 neue Dienststellen?	Why do we need another 200 new jobs?
Wozu in dieser Woche die geförderten Schulskikurse?	Why do we need to fund school skiing lessons this week?
Wozu das alles?	What is all that for?
Wenn Sie wirklich die Bekämpfung von Steueroasen und das Eintreiben von Steuerschulden und das Heranführen von Bürgern an die Europäische Union ernst nehmen wollen, dann müssen wir bei uns selbst beginnen und zeigen, dass gerade die Einrichtungen, für die wir stehen, verantwortungsvoll mit Steuergeldern umgehen.	If you really want to take the fight against tax havens, the recovery of tax claims and the attraction of people to the project of the European Union seriously, then we have to begin with ourselves and show people that the institutions we stand for are spending the taxpayer's money responsibly.
Sonst wird es bei diesen Steuerausfällen bleiben, und man kann den Leuten nicht einmal wirklich Böses nachsagen.	Otherwise, we will continue to lose tax revenue, without any justification for calling those people to account.
