Herr Präsident! Wir wissen, dass Venezuela eines der ölreichsten Länder ist.	Mr President, we know that Venezuela is one of the most oil-rich countries in the world.
Wir wissen auch, dass das Land über ein enormes Potenzial an Wasserkraft verfügt.	We also know that this country has enormous hydroelectric power potential.
Dennoch leidet die Bevölkerung bekanntlich unter den Folgen jahrelanger Misswirtschaft.	Nonetheless, as we all know, the population of Venezuela is suffering the consequences of years of mismanagement.
Seit Jahrzehnten schafft es das Land nicht, die Öleinnahmen in eine nachhaltige Entwicklung und in den Ausbau der Infrastrukturen zu stecken.	For decades, this country has not been able to invest its oil revenues in sustainable development or in developing infrastructure.
Die Koppelung der Landeswährung an den US-Dollar war wahrscheinlich auch kontraproduktiv.	The pegging of the national currency to the US dollar was probably another counterproductive move.
Präsident Chávez hat vor kurzem versucht, das Problem mit einer Währungsabwertung zu bewältigen und die Staatsschulden in den Griff zu bekommen.	Recently, President Chávez has tried to overcome this problem by depreciating the currency and getting public debt under control.
Verstaatlichung der Banken, Enteignung und vorübergehende Schließung von Lebensmittelgeschäften werden aber wahrscheinlich den drohenden Inflationsgalopp nicht lange aufhalten können.	However, the nationalisation of banks, expropriation and the temporary closure of food shops will probably not be sufficient to ward off the threat of runaway inflation for long.
Chávez betreibt eben eine dirigistische, eine realsozialistische Wirtschaftspolitik, wie sie auch unter anderen autoritären Regimen besteht, die zweifellos zwangsläufig zum Scheitern verurteilt ist.	President Chávez is pursuing a dirigistic economic policy, a centrally planned economy similar to those of other authoritarian regimes, which is undoubtedly and inevitably doomed to failure.
Eine Verschärfung der Lage steht wahrscheinlich noch bevor, dann nämlich, wenn die Lebensmittelhersteller, die seit Jahren zu festgesetzten, unwirtschaftlichen Preisen produzieren sollen, womöglich irgendwann einmal den Aufstand proben.	The situation is likely to worsen even further, which will probably happen if food producers, who have been forced to produce food at fixed, non-market prices for years, attempt to rise up in protest at some point, wherever possible.
Kritikwürdig ist meines Erachtens auch, dass Chávez in dieser prekären Situation, in der die Bevölkerung unter Stromausfällen, Wassermangel und desolater Wirtschaftslage leidet, für über 70 Millionen US-Dollar Waffen für die Nationalgarde eingekauft hat.	I must also express my criticism of the fact that, in this precarious situation in which Venezuelans suffer from power cuts, water shortages and a deplorable economy, President Chávez has bought over USD 70 million worth of arms for the National Guard.
Gerade im Zusammenhang mit den nach wie vor anhaltenden Protesten nach der Schließung eines regierungskritischen Senders, bei denen es immer wieder zu schweren Zusammenstößen von Studenten und Oppositionellen mit Sicherheitskräften kommt, lässt dies nichts Gutes erahnen.	This does not augur well, in particular in the context of the continued protests following the closure of a broadcaster critical of the government, in which students and opposition members have time and again clashed violently with the security forces.
Nachdem die Menschenrechte - wie wir ja alle übereinstimmen - für die Europäische Union ein besonderes Anliegen sind, müssen wir bemüht sein, zu helfen.	Since, as we all agree, human rights are of particular concern to the European Union, we must make it our business to help.
Es gilt allerdings, nicht nur gegen Menschenrechtsverletzungen vorzugehen, sondern auch nach Möglichkeiten zu suchen, die Lebenssituation der Bevölkerung Venezuelas zu verbessern, ohne sich direkt in die innerstaatlichen Angelegenheiten einzumischen.	We must act, not only in cases involving violations of human rights, but also in exploring possibilities which could improve the conditions under which the population of Venezuela lives, without directly intervening in this country's domestic affairs.
Dazu ist viel diplomatisches Geschick und Fingerspitzengefühl gefragt.	Much diplomatic skill and sensitivity is required for this task.
Ich hoffe, dass die Europäische Union dazu in der Lage ist.	I hope that the European Union is in a position to do that.
