schriftlich. - Wirtschafts- und Finanzkrise sowie Griechenland benötigen europäisches Handeln.	The economic and financial crisis, and Greece, require European action.
Es muss ein Ende haben mit dem öffentlichen Streit.	An end needs to be brought to the public arguments.
Wir warten auf eine gemeinsame Antwort des Gipfels.	We await a joint answer from the summit.
Wir sagen JA zum Spar- und Reformprogramm der griechischen Regierung - Griechenland ist fest entschlossen, seine Hausaufgaben zu erfüllen und die europäischen Regeln einzuhalten.	We say 'yes' to the Greek Government's savings and reform programme - Greece is firmly resolved to do its homework and comply with the European rules.
Wir sagen auch JA zu Darlehen, wenn der Reformkurs sonst gefährdet wird.	We also say 'yes' to loaning money where the reform programme would otherwise be threatened.
Aber wir sagen definitiv NEIN zu Strafzahlungen und zum Ausschluss eines Landes aus der Eurozone.	We do, however, say a definitive 'no' to fines and to expelling a country from the euro area.
Das würde nur einen Dominoeffekt hervorrufen, der zu einem Vertrauensverlust der Märkte führen würde.	All that would do is to institute a domino effect that would lead to a loss of confidence by the markets.
Zum Vorschlag von Kommissar Rehn zur Vorabgenehmigung der Budgetentwürfe durch die Kommission sagen wir ebenfalls JA.	We also say 'yes' to Commissioner Rehn's proposal for prior approval of the draft budgets by the Commission.
Die Budget- und Wirtschaftsdaten müssen durch Eurostat und Kommission kontrolliert werden.	Budgetary and economic data must be inspected by Eurostat and the Commission.
Ich fordere einen Kassensturz in allen Mitgliedstaaten auf Basis eines gemeinsamen Kriterienkatalogs.	I demand a strict review of the books in all the Member States based on a joint list of criteria.
Die Steuersysteme und binnenmarktrelevanten Steuersätze müssen harmonisiert, die Wirtschafts-, Budget- und Sozialpolitiken koordiniert werden.	The tax systems and those tax rates relevant to the internal market must be harmonised, the economic, budget and social policies coordinated.
Ich fordere einen Planungsausschuss "Europa2020" zwischen Kommission, Mitgliedstaaten, EIB, EZB und Eurostat.	I demand a 'Europe 2020' planning committee involving the Commission, the Member States, the European Investment Bank, the European Central Bank and Eurostat.
Ich fordere daher die Staats- und Regierungschefs auf, unzweifelhaft einen gemeinsamen europäischen Willen zu dokumentieren.	I therefore call on the Heads of State or Government to put a joint European willingness to act unambiguously on the record.
Griechenland ist ein "Lernbeispiel" für Europa.	Greece is an example that Europe must learn from.
Die Konsequenzen müssen auf der lokalen, europäischen und globalen Ebene gezogen werden.	The conclusions must be drawn at the local, the European and the global level.
Mehr europäische Zusammenarbeit und weniger nationaler Egoismus sind das Gebot der Stunde.	More European collaboration and less national egoism are the order of the day.
