Frau Präsidentin! Zur Klarstellung gleich an den Herrn Kommissar!	Madam President, I will go straight to the Commissioner for clarification.
Für mich ist Tibet ein besetztes Land. Und ich glaube, dass viele Kollegen hier in diesem Saal, quer durch alle Fraktionen diese Anschauung teilen.	For me, Tibet is an occupied country, and I believe that many other Members in this House, across all the groups, share this view.
Und auch Sie können das Völkerrecht nicht außer Kraft setzen.	Even you, Commissioner, cannot render international law null and void.
Ich glaube, es ist ein Anliegen, das alle europäischen Bürger wirklich im Herzen trifft.	I believe this to be a concern that really pulls on the heart strings of every European citizen.
Alle wissen Bescheid über die Sorgen, den kulturellen Genozid in Tibet, und alle leiden mit, und es ist wirklich richtig, die wichtige Frage zu stellen: Wo bleibt die EU?	Everyone knows of the sorrows and the cultural genocide in Tibet, and everyone feels sympathy, and it is only right to ask the important question: where is the EU in all this?
Wir sind sehr schnell bei der Verurteilung von kleinen Ländern, die Übertretungen begehen.	We are very quick to judge small countries that commit transgressions.
Wir haben scharfe Reaktionen, wir verurteilen kleine Länder sehr schnell.	We react strongly, and we pass our judgment on small countries very quickly.
Wir sind aber politisch sehr vorsichtig, wenn es darum geht, ein großes Land, ein wirtschaftlich wichtiges Land wie China zu verurteilen.	Yet, when it comes to judging large countries, economically important countries such as China, we are very careful politically.
Da geht man politisch und diplomatisch wie auf rohen Eiern.	We tread on eggshells, both politically and diplomatically.
Es ist kein Zeichen von Mut und Rückgrat, wenn wir hier auf kleine Sünder einhauen, aber bei China beide Augen zudrücken.	It is no sign of courage and backbone for us to tear into the minor offenders only to screw our eyes shut when it comes to China.
Wir können auch China nicht mit Millionen Entwicklungshilfe unter Druck setzen.	We are likewise unable to put pressure on China through millions in development aid.
Daher erwarte ich von der Hohen Vertreterin...	I therefore expect the High Representative...
(Die Präsidentin entzieht dem Redner das Wort)	(The President cut off the speaker)
