Als nächster Punkt folgen die Ausführungen von einer Minute gemäß Artikel 150.	The next item is the one-minute speeches in accordance with Rule 150.
Nun ist es so, dass Artikel 150 vorsieht, dass wir maximal 30 Minuten für diesen Tagesordnungspunkt verwenden dürfen.	Rule 150 states that we may spend a maximum of 30 minutes on this item.
Wir hatten mehr als 74 Anfragen, um zu diesem Tagesordnungspunkt zu sprechen.	We had more than 74 requests to speak under this item.
Dass das nicht funktioniert, liegt auf der Hand.	That will clearly not be possible.
30 Minuten und 74 Redner für eine Minute, das klappt nicht.	Thirty minutes and 74 speakers for one minute will simply not work.
Wir haben es deswegen zum ersten Mal so gemacht, dass es vorab eine Auswahl der Abgeordneten gab, die Redezeit erhalten können, und zwar nach klaren Kriterien, nämlich dass diejenigen, die schon einmal bei einer anderen Debatte bei den Ausführungen von einer Minute vergeblich um Redezeit gebeten haben, möglichst jetzt Redezeit erhalten, während diejenigen, die in anderen Debatten schon Redezeit erhalten haben, jetzt keine erhalten.	Therefore, we have, for the first time, selected in advance the Members who will be granted speaking time using clear criteria, namely that those who requested speaking time in another debate with one-minute speeches but did not get chance to speak will now be granted speaking time where possible, whereas those who have already spoken in other debates will not be granted any speaking time.
Alle diejenigen, die keine Redezeit erhalten haben, wurden vorab per E-mail davon informiert.	All of those who have not been granted speaking time were informed of this in advance by e-mail.
Insofern muss man jetzt nicht hier anwesend sein und vergeblich auf seine Redezeit warten.	Therefore, they do not need to be here to wait in vain for their speaking time.
Ich hoffe, Sie verstehen das.	I hope that you understand that.
Das war das einzig mögliche Verfahren, um einen geordneten Ablauf der Debatte zu ermöglichen.	This was the only possible way to enable the debate to proceed in an orderly manner.
Deswegen gehen wir jetzt so vor, dass diejenigen, die Redezeit erhalten haben, dann auch sofort beginnen können.	Therefore, those who have been granted speaking time can now begin straight away.
