Herr Präsident! Vielen Dank an den Berichterstatter für seinen hervorragenden Bericht.	Mr President, many thanks to the rapporteur for his excellent report.
Die Förderung benachteiligter Gebiete ist ein zentraler Bestandteil der gemeinsamen Agrarpolitik, um die flächendeckende Landwirtschaft in Europa zu erhalten.	Subsidising disadvantaged areas is a core element of the common agricultural policy, with the aim of maintaining the universal spread of agriculture throughout Europe.
Der Ansatz der Kommission, ein EU-weit anwendbares System zur Abgrenzung dieser Gebiete zu entwickeln, ist daher zu begrüßen.	The Commission's approach to develop a system that can be used EU-wide for delimiting these areas is therefore to be welcomed.
Kritisch sehe ich allerdings, ob die dafür entwickelten acht Kriterien wirklich ausreichend sind.	The crucial point, however, is whether the eight criteria that have been developed to do this will actually be sufficient.
Ich bin nicht davon überzeugt, dass sie wirklich geeignet sind.	I am not convinced that these are really the right criteria to use.
Nicht nachvollziehbar war für mich - und ich denke auch für den Berichterstatter und den gesamten Ausschuss für Landwirtschaft und ländliche Entwicklung -, dass uns die Kommission die Simulationsergebnisse für die Auswirkungen dieser acht Kriterien nicht zur Verfügung gestellt hat.	I cannot understand - and I think the same can be said of the rapporteur and the entire Committee on Agriculture and Rural Development - why the Commission has not made the simulation results for the effects of these eight criteria available to us.
Daher ein Aufruf von mir an die Kommission: Das sollte nicht so oft passieren.	I therefore appeal to the Commission: this really should not happen as often as it does.
Wir müssen natürlich, wenn wir Dinge beurteilen wollen und müssen, auch die Ergebnisse kennen.	When we want and need to evaluate something, we naturally also need to know the results.
Ich betrachte das ein klein wenig auch als mangelndes Vertrauen gegenüber dem Parlament.	I view this to a certain extent as a lack of trust in Parliament.
Das heißt, für den konkreten Verordnungsvorschlag bleibt noch viel zu tun.	That means that, for this particular proposed regulation, there is still much to be done.
Ich hoffe, dass sich die Kommission den Bericht des Kollegen Dorfmann, den wir zu unserem eigenen Bericht gemacht haben, genau anschauen wird.	I hope that the Commission will look closely at the Dorfmann report that we have made into our own report.
Ich persönlich hoffe, dass Kollege Dorfmann dieses Thema weiterhin politisch begleiten kann.	Personally, I hope that Mr Dorfmann will be able to continue to have political input on this matter.
