Herr Präsident! Ich möchte mich gegen die unerträgliche europafeindliche Haltung des Rates wenden.	Mr President, I am opposed to the Council's unacceptable anti-European approach.
Sie jammern über die Krise, und Sie führen jetzt ein Wirtschaftsprotektorat ein, dabei sind Sie für viele Ursachen zentral mitverantwortlich!	You are complaining about the crisis and you are now introducing an economic protectorate, while you bear the central responsibility for many of the causes of the crisis.
Sie haben Regulierungen nicht zugelassen, als sie notwendig waren.	You have not allowed regulations to be imposed when they were needed.
Um nur ein Beispiel zu nennen: Eurostat.	Just one example of this is Eurostat.
Die ach so viel gescholtenen - auch von mir immer wieder in anderen Bereichen kritisierten - Beamten haben rechtzeitig auf die Probleme in Griechenland, im Übrigen auch in Spanien und Portugal, hingewiesen.	The officials, who have been the subject of so much condemnation and whom I have repeatedly criticised in other areas, highlighted the problems in Greece and also in Spain and Portugal at an early stage.
Die Kommission hat verlangt, dass entsprechende Untersuchungsrechte für Eurostat eingerichtet werden.	The Commission called for Eurostat to be given appropriate powers to conduct investigations.
Und wer hat blockiert?	Who blocked this move?
Sie aus Spanien, aus England - Herr Martin ist nicht da -, die Deutschen, Daul und seine Leute aus Frankreich und jawohl, auch die Österreicher, weil Sie nicht wollten, dass man Ihnen selbst in die Bücher schaut, weil Sie wussten, dass da vieles im Verborgenen liegt.	The Spanish, the British - Mr Martin is not here - the Germans, Mr Daul and his people from France and the Austrians, because you did not want your books to be looked at, because you knew how much they concealed.
Dies gilt übrigens auch für den Ex-Finanzminister Karl-Heinz Grasser, der jetzt in deutschen Fernsehshows herumtut und herumturnt, statt sich entsprechenden strafrechtlichen Vorwürfen in Österreich auszusetzen.	This applies also to Mr Grasser, the former finance minister, who is now appearing all over the place on German television, instead of facing criminal charges in Austria.
Was wir in Wirklichkeit brauchen, ist natürlich keine Notregierung.	What we really need is, of course, not an emergency government.
Sie werden nicht das tun, was die Amerikaner sinnvollerweise in einer ähnlichen Krise gemacht haben, also einen Glass-Steagall Act zu verabschieden, das Eigenkapital der Banken entsprechend zu erhöhen, die Schattenbanken einzudämmen, die systemischen Risiken abzubauen.	You will not do what the Americans sensibly did in a similar crisis, which is to pass a Glass-Steagall Act, to increase the banks' capital, put a check on the conduit banks and reduce the systemic risks.
Was wir stattdessen brauchen, ist eine demokratische Legitimation, ein Zwei-Kammer-System, das endlich diesem Unfug des Rates, der sich nach außen hin so proeuropäisch gebart, aber nach innen seine Entscheidungen nicht demokratisch legitimiert trifft, ein Ende bereitet, damit wir zu einer echten Demokratie in Europa kommen!	What we need instead is democratic legitimacy, a two-chamber system which will finally put an end to the nonsense of the Council, which is outwardly so pro-European, but internally makes decisions without democratic legitimacy, so that we can bring about true democracy in Europe.
