Herr Präsident! Ein paar Anmerkungen zum Haushaltsplan 2011.	Mr President, I would like to make a couple of comments with regard to the 2011 budget.
Zur Einwanderung: Anstatt die Migrationsflut nach Europa einzudämmen und die Außengrenzen zu sichern, soll 2011 das Budget der Frontex gekürzt werden.	As regards immigration: instead of stemming the flow of migrants into Europe and securing our external borders, Frontex's budget for 2011 is to be cut.
Mehr Geld soll hingegen in den europäischen Flüchtlingsfonds fließen, dessen Ziel die Neuansiedlung von Flüchtlingen in der EU ist.	On the other hand, more money is to be put into the European Refugee Fund, the aim of which is the resettlement of refugees in the EU.
Eine solche Budgetpolitik entbehrt jeder Logik und wird illegaler Einwanderung und Asylmissbrauch Tür und Tor öffnen.	Such a budgetary policy defies logic and will open the floodgates to illegal immigration and abuse of the asylum system.
Außerhalb der EU soll die finanzielle Hilfe für Palästina gekürzt werden.	Outside the EU, financial aid for Palestine is to be cut.
Stattdessen erfolgt eine wesentliche Aufstockung der Mittel für die Erweiterung, wie etwa für den Beitrittskandidaten Türkei.	Instead, a significant increase in resources is being provided for enlargement, for example for the candidate country Turkey.
Ich verlange eine Erklärung, warum die Türkei, die mehr Rück- als Fortschritte verzeichnet, nun auch noch mit mehr Geld belohnt werden soll.	I demand an explanation as to why Turkey, which has moved backwards rather than forwards, is now to be rewarded with more money.
8 Millionen im Jahr sind ja immerhin schon einiges.	Eight million a year is still a significant amount.
Im Bereich der Verwaltung muss das Parlament der Neugründung von zig Agenturen endlich einen Riegel vorschieben.	In the area of administration, Parliament must finally put a stop to the establishment of umpteen new agencies.
Es geht nicht an, dass sich die EU in Zeiten der Wirtschaftskrise für jedes Problem eine Agentur leistet.	It is unacceptable during times of economic crisis for the EU to indulge itself with an agency for every problem.
Es muss zudem der konkrete Mehrwert jeder bestehenden Agentur geprüft und kontrolliert werden.	In addition, the added value, in specific terms, provided by every existing agency needs to be examined and monitored.
