Herr Präsident! Ich nehme an, Sie haben mich gemeint.	Mr President, I assume you were referring to me.
Ich möchte genau das aufgreifen, was die Vorrednerin gesagt hat.	I would like to pick up on what the previous speaker said.
Natürlich ein Danke, dass Sie so großzügig waren, statt fünf zehn Redner zu nehmen.	Of course I would like to thank you for your generosity in allowing ten speakers rather than five.
Wir verstehen natürlich Ihren Zeithorizont, aber bitte verstehen Sie auch uns.	We understand your time constraints, naturally, but I hope you will understand us too.
Das Thema ist sehr wichtig.	This is a very important issue.
Es gibt Teile von Europa, die besonders belastet und besonders bedroht sind, und das geht natürlich auch über die Ausschüsse hinaus.	There are parts of Europe that are operating under a considerable burden and that are under extreme threat. Naturally this is also true beyond the work of the committees.
Zum Zweiten haben Sie angeschnitten, dass das Problem mit dem Catch-the-eye-Verfahren nicht geregelt ist.	Secondly, you indicated that the problem regarding the 'catch the eye' procedure has not been resolved.
Dann bitten wir, dass es bald geregelt wird, denn ich weiß nicht, ob wir uns einen Tag vorher anstellen sollen oder bereits drei Tage vorher eine Eingabe machen und hier nächtigen sollen, damit wir auch drankommen?	We would ask that this issue be resolved as soon as possible, because I do not know if we should start forming a queue the day before, or make a submission three days in advance and then spend the night here so that we might finally get a chance to speak.
Es ist auch sehr wichtig, dass man uns auch sagt - wenn nur zehn drankommen - wer die zehn sind.	It is also important, if only 10 speakers are to be heard, that we should be told who the 10 are.
Es wäre hilfreich und sehr fair, das möglichst bald zu strukturieren.	It would be helpful and fair to put the appropriate structures in place as soon as possible.
Dann haben Sie weniger Stress, Sie sind dann auch dementsprechend besonders geschätzt, wenn Sie mehr drannehmen, und wir sind glücklich, wenn wir zu einer Lösung kommen, die auch uns gerecht wird.	That way, you will experience less stress and will be all the more popular if you can allow more people to speak. We will also be happy to have a solution that is fair to us.
Ich bitte um Verständnis, und nochmals Danke für Ihr Verständnis.	I beg your indulgence and thank you again for your understanding.
